test_view,protocol,method,class_index,class_name,recall,predicted_fraction,auroc
car,none,identity,0,left_fist,0.6319290465631929,0.2113144758735441,0.8787261050394258
car,none,identity,1,right_fist,0.6815144766146993,0.26400443704936216,0.8591848618133847
car,none,identity,2,both_fists,0.5088888888888888,0.24070992789794787,0.7992411924119242
car,none,identity,3,both_feet,0.6225165562913907,0.2839711591791459,0.816149129261712
car,view_specific,temperature,0,left_fist,0.6319290465631929,0.2113144758735441,0.8754788832180953
car,view_specific,temperature,1,right_fist,0.6815144766146993,0.26400443704936216,0.8585055251617744
car,view_specific,temperature,2,both_fists,0.5088888888888888,0.24070992789794787,0.7969696969696971
car,view_specific,temperature,3,both_feet,0.6225165562913907,0.2839711591791459,0.8169356553021011
car,view_specific,bias,0,left_fist,0.656319290465632,0.2290626733222407,0.8751410409477952
car,view_specific,bias,1,right_fist,0.6614699331848553,0.2512479201331115,0.8586765929868772
car,view_specific,bias,2,both_fists,0.6133333333333333,0.3161397670549085,0.8017360597848403
car,view_specific,bias,3,both_feet,0.5165562913907285,0.20354963948973934,0.817594636579184
car,view_specific,vector,0,left_fist,0.6385809312638581,0.21630615640599002,0.8741963945997717
car,view_specific,vector,1,right_fist,0.6614699331848553,0.25346644481419855,0.8581749036921041
car,view_specific,vector,2,both_fists,0.62,0.3233499722684415,0.799806192001314
car,view_specific,vector,3,both_feet,0.5253863134657837,0.20687742651136995,0.8167198103180443
native16@car,none,identity,0,left_fist,0.7716186252771619,0.49528563505268997,0.7735931985462943
native16@car,none,identity,1,right_fist,0.7616926503340757,0.5013865779256794,0.7513808792228256
native16@car,none,identity,2,both_fists,0.0,0.0011092623405435386,0.6145241028167857
native16@car,none,identity,3,both_feet,0.004415011037527594,0.0022185246810870773,0.6809631264818903
native16@car,view_specific,temperature,0,left_fist,0.7716186252771619,0.49528563505268997,0.7752561697214606
native16@car,view_specific,temperature,1,right_fist,0.7616926503340757,0.5013865779256794,0.748439828537403
native16@car,view_specific,temperature,2,both_fists,0.0,0.0011092623405435386,0.6051638334565164
native16@car,view_specific,temperature,3,both_feet,0.004415011037527594,0.0022185246810870773,0.6780884637396778
native16@car,view_specific,bias,0,left_fist,0.3902439024390244,0.1569606211869107,0.7727797530799407
native16@car,view_specific,bias,1,right_fist,0.5189309576837416,0.2823072656683306,0.7443588739789389
native16@car,view_specific,bias,2,both_fists,0.4711111111111111,0.35496394897393235,0.6203613369467027
native16@car,view_specific,bias,3,both_feet,0.3487858719646799,0.2057681641708264,0.6855056822827242
native16@car,view_specific,vector,0,left_fist,0.3991130820399113,0.16084303937881309,0.7763287369291121
native16@car,view_specific,vector,1,right_fist,0.5412026726057907,0.30227398779811426,0.7463409579140253
native16@car,view_specific,vector,2,both_fists,0.44666666666666666,0.33277870216306155,0.6156590293175659
native16@car,view_specific,vector,3,both_feet,0.3554083885209713,0.2041042706600111,0.6810416155670018
native16@car,leave_one_view_out,temperature,0,left_fist,0.7716186252771619,0.49528563505268997,0.7753348902504623
native16@car,leave_one_view_out,temperature,1,right_fist,0.7616926503340757,0.5013865779256794,0.7487951232510782
native16@car,leave_one_view_out,temperature,2,both_fists,0.0,0.0011092623405435386,0.6063890941939722
native16@car,leave_one_view_out,temperature,3,both_feet,0.004415011037527594,0.0022185246810870773,0.6794260485651215
native16@car,leave_one_view_out,bias,0,left_fist,0.4678492239467849,0.20854132002218526,0.7677186790695233
native16@car,leave_one_view_out,bias,1,right_fist,0.6057906458797327,0.3777038269550749,0.7436943412737316
native16@car,leave_one_view_out,bias,2,both_fists,0.4666666666666667,0.3538546866333888,0.6133448304180011
native16@car,leave_one_view_out,bias,3,both_feet,0.12582781456953643,0.059900166389351084,0.6823415910391628
native16@car,leave_one_view_out,vector,0,left_fist,0.4700665188470067,0.21075984470327233,0.7692406092968946
native16@car,leave_one_view_out,vector,1,right_fist,0.6347438752783965,0.4082085413200222,0.7457816977165734
native16@car,leave_one_view_out,vector,2,both_fists,0.4288888888888889,0.32945091514143093,0.6075059538474173
native16@car,leave_one_view_out,vector,3,both_feet,0.10375275938189846,0.051580698835274545,0.6780999100645899
native16@cz,none,identity,0,left_fist,0.7760532150776053,0.511924570160843,0.7614128366942626
native16@cz,none,identity,1,right_fist,0.7483296213808464,0.47420965058236275,0.7504252022383566
native16@cz,none,identity,2,both_fists,0.0,0.0022185246810870773,0.6178582573704525
native16@cz,none,identity,3,both_feet,0.01545253863134658,0.011647254575707155,0.6625868694301366
native16@cz,view_specific,temperature,0,left_fist,0.7760532150776053,0.511924570160843,0.7586526981461315
native16@cz,view_specific,temperature,1,right_fist,0.7483296213808464,0.47420965058236275,0.7459379615952733
native16@cz,view_specific,temperature,2,both_fists,0.0,0.0022185246810870773,0.6111554570091154
native16@cz,view_specific,temperature,3,both_feet,0.01545253863134658,0.011647254575707155,0.6643218052489576
native16@cz,view_specific,bias,0,left_fist,0.4079822616407982,0.17748197448696618,0.7500738004959393
native16@cz,view_specific,bias,1,right_fist,0.5189309576837416,0.2762063227953411,0.7419195125882893
native16@cz,view_specific,bias,2,both_fists,0.4533333333333333,0.331669439822518,0.6267816375133448
native16@cz,view_specific,bias,3,both_feet,0.38852097130242824,0.2146422628951747,0.6758057395143487
native16@cz,view_specific,vector,0,left_fist,0.41019955654101997,0.17581808097615087,0.7514169695220352
native16@cz,view_specific,vector,1,right_fist,0.5478841870824054,0.2983915696062119,0.7430594164613306
native16@cz,view_specific,vector,2,both_fists,0.4444444444444444,0.324459234608985,0.6168284470723495
native16@cz,view_specific,vector,3,both_feet,0.3730684326710817,0.20133111480865223,0.6694628403237675
native16@cz,leave_one_view_out,temperature,0,left_fist,0.7760532150776053,0.511924570160843,0.7591381414083103
native16@cz,leave_one_view_out,temperature,1,right_fist,0.7483296213808464,0.47420965058236275,0.7463146397870863
native16@cz,leave_one_view_out,temperature,2,both_fists,0.0,0.0022185246810870773,0.6121277818838794
native16@cz,leave_one_view_out,temperature,3,both_feet,0.01545253863134658,0.011647254575707155,0.6651884555637316
