test_view,protocol,method,fit_views,n_validation,n_test,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall,prediction_disagreement_from_identity
car,none,identity,car,1734,1803,0.6112035496394898,0.611212242089543,0.6123183203820777,0.8383253221316116,1.0925008676522139,0.1448416367681602,0.5088888888888888,0.0
car,view_specific,temperature,car,1734,1803,0.6112035496394898,0.611212242089543,0.6123183203820777,0.8369724401629169,0.9664015464391847,0.05995336654368173,0.5088888888888888,0.0
car,view_specific,bias,car,1734,1803,0.6117581808097615,0.6119197120936373,0.6139074871140868,0.8382870825746742,1.0996595354572822,0.14674622364805173,0.5165562913907285,0.1064891846921797
car,view_specific,vector,car,1734,1803,0.6112035496394898,0.6113592944786242,0.6142433762792335,0.8372243251528085,0.9639583032069801,0.047048699006070865,0.5253863134657837,0.10593455352190793
native16@car,none,identity,native16@car,1734,1803,0.38380476982806433,0.38443157166219133,0.25803827883436414,0.705115326766949,2.0152239062519937,0.36886645265906187,0.0,0.0
native16@car,view_specific,temperature,native16@car,1734,1803,0.38380476982806433,0.38443157166219133,0.25803827883436414,0.7017370738637645,1.3240255005519452,0.09680770672194922,0.0,0.0
native16@car,view_specific,bias,native16@car,1734,1803,0.43205768164170827,0.43226796079963925,0.4346200166617923,0.7057514115720765,1.3196949282442036,0.15422186678211602,0.3487858719646799,0.5612867443150305
native16@car,view_specific,vector,native16@car,1734,1803,0.4353854686633389,0.435597702458335,0.4374563331206994,0.7048425849319263,1.2325483231741496,0.03825814481282827,0.3554083885209713,0.5418746533555185
native16@car,leave_one_view_out,temperature,native16@cz|native16@fz|native16@pz,5202,1803,0.38380476982806433,0.38443157166219133,0.25803827883436414,0.7024862890651585,1.3212453911802526,0.0865530924797546,0.0,0.0
native16@car,leave_one_view_out,bias,native16@cz|native16@fz|native16@pz,5202,1803,0.415973377703827,0.41653358776568017,0.39523300269545586,0.7017748604501046,1.4168770880053947,0.20090027868745264,0.12582781456953643,0.42872989462007766
native16@car,leave_one_view_out,vector,native16@cz|native16@fz|native16@pz,5202,1803,0.408763172490294,0.4093630105990476,0.38328356783696077,0.7001570427313688,1.2565634576496851,0.03987503868753548,0.10375275938189846,0.403771491957848
native16@cz,none,identity,native16@cz,1734,1803,0.3843594009983361,0.38495884377244954,0.2635836786959452,0.6980707914333021,1.9824170895799496,0.35773600767575464,0.0,0.0
native16@cz,view_specific,temperature,native16@cz,1734,1803,0.3843594009983361,0.38495884377244954,0.2635836786959452,0.6950169804998694,1.3248393402021048,0.08379219800167621,0.0,0.0
native16@cz,view_specific,bias,native16@cz,1734,1803,0.4420410427066001,0.44219188099007534,0.4444357636268525,0.6986451725279805,1.3448172216054688,0.14930298967969377,0.38852097130242824,0.5385468663338879
