test_view,protocol,method,fit_views,n_validation,objective,optimizer_success,optimizer_message,parameters
native16@pz,view_specific,vector,native16@pz,1734,1.2774617297125235,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.0188215981118407, -0.9258346816463111, -0.8582769963016168, -1.0754210795577968, -0.42180787634815575, -0.19179312006593865, 0.6158850754536629]"
native16@pz,leave_one_view_out,temperature,native16@car|native16@cz|native16@fz,5202,1.3433446764420396,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.7981738370544245]
native16@pz,leave_one_view_out,bias,native16@car|native16@cz|native16@fz,5202,1.4277282172728827,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.6825119450376425, -1.1326289334193334, 1.787657881094069]"
native16@pz,leave_one_view_out,vector,native16@car|native16@cz|native16@fz,5202,1.2819853165709847,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.8757099289381882, -0.8726718150119193, -0.818930465694808, -0.9268070317131714, -0.7068944703961807, -0.43829772093738595, 0.7477671590070583]"
native32@car,none,identity,native32@car,1734,1.5584057344245146,True,not fitted,[]
native32@car,view_specific,temperature,native32@car,1734,1.2214401677388338,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.0862568755566393]
native32@car,view_specific,bias,native32@car,1734,1.3965895692827113,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.7694184979537675, -0.5332141952182617, 1.1317906933185586]"
native32@car,view_specific,vector,native32@car,1734,1.1862429093904123,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.7688693811321203, -0.9582348673218501, -0.8830377277141084, -0.8766896054715303, -0.40415470788060465, -0.15683206430104352, 0.4884549504282252]"
native32@car,leave_one_view_out,temperature,native32@cz|native32@fz|native32@pz,5202,1.2519828078268735,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.2404941063467638]
native32@car,leave_one_view_out,bias,native32@cz|native32@fz|native32@pz,5202,1.4698419401798253,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.8057683124175047, -0.5390294703235937, 1.55133969458108]"
native32@car,leave_one_view_out,vector,native32@cz|native32@fz|native32@pz,5202,1.2130490474299744,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,"[-0.896709690940806, -0.9218680829289222, -0.9534189585089067, -1.1450726420029111, -0.3637719269939311, -0.19821291269010174, 0.5881057060903642]"
native32@cz,none,identity,native32@cz,1734,1.6277327119019451,True,not fitted,[]
native32@cz,view_specific,temperature,native32@cz,1734,1.239850269079057,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.162791523805449]
native32@cz,view_specific,bias,native32@cz,1734,1.4558743155166525,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.6210136514859655, -0.5310353849559104, 1.3480987135836735]"
native32@cz,view_specific,vector,native32@cz,1734,1.2065253025621512,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.8646507980496607, -0.9025218598040459, -0.9711229913708801, -1.0780507135283501, -0.2994252455828919, -0.2003127124699515, 0.5286424748466737]"
native32@cz,leave_one_view_out,temperature,native32@car|native32@fz|native32@pz,5202,1.2465106495668332,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.2157129563963376]
native32@cz,leave_one_view_out,bias,native32@car|native32@fz|native32@pz,5202,1.4552347863112485,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.849528424841024, -0.5349768568672071, 1.4753280396999924]"
native32@cz,leave_one_view_out,vector,native32@car|native32@fz|native32@pz,5202,1.207572315162408,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.8603803981377565, -0.9357319336535471, -0.9520474797697475, -1.0967429145772818, -0.3975649868609341, -0.18207627431294834, 0.5715516706157652]"
native32@fz,none,identity,native32@fz,1734,1.8091480098482708,True,not fitted,[]
native32@fz,view_specific,temperature,native32@fz,1734,1.2706693198681005,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.3581319264309222]
native32@fz,view_specific,bias,native32@fz,1734,1.3795672901004872,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.3166025805228023, -0.901741744746051, 1.797013540317535]"
native32@fz,view_specific,vector,native32@fz,1734,1.1995418820786565,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.7607524314198378, -0.8506294041720626, -0.8431469085696908, -0.9194263431256465, -0.6454844511342696, -0.34001909902378913, 0.7875676640055378]"
native32@fz,leave_one_view_out,temperature,native32@car|native32@cz|native32@pz,5202,1.2349709756482992,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.1479629409110097]
native32@fz,leave_one_view_out,bias,native32@car|native32@cz|native32@pz,5202,1.4521756957289227,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.5934550392438729, -0.4086376688720357, 1.3086677423605362]"
native32@fz,leave_one_view_out,vector,native32@car|native32@cz|native32@pz,5202,1.203767729366386,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,"[-0.853828830356447, -0.9443732120880655, -0.9451976818866332, -1.0681764445161486, -0.3029315808296764, -0.13889080959332056, 0.5125733838114395]"
native32@pz,none,identity,native32@pz,1734,1.6501999548120465,True,not fitted,[]
native32@pz,view_specific,temperature,native32@pz,1734,1.242813832143007,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.1940265330892914]
native32@pz,view_specific,bias,native32@pz,1734,1.453404533273417,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.4082952175343237, -0.18392394369871679, 1.3880543258058056]"
native32@pz,view_specific,vector,native32@pz,1734,1.2075232427231395,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.9017786110655696, -0.9743062970434189, -1.0285013523264415, -0.9332361204268583, -0.1929948031422777, -0.0349261993090131, 0.5291315624656328]"
native32@pz,leave_one_view_out,temperature,native32@car|native32@cz|native32@fz,5202,1.245605479714253,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.205613968937071]
native32@pz,leave_one_view_out,bias,native32@car|native32@cz|native32@fz,5202,1.4312760641161892,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.9211361314571258, -0.6530271140786391, 1.4292298206599745]"
native32@pz,leave_one_view_out,vector,native32@car|native32@cz|native32@fz,5202,1.2023450557212412,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.8276253595233605, -0.9035324390768068, -0.9780376927339129, -0.9989740235403312, -0.4282031716847132, -0.22774609714294333, 0.5730153392531242]"
