seed,encoder,defense,train_view,test_view,n_train,n_val,n_test,selected_c,validation_balanced_accuracy,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,bandpower,none,car,car,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.125,0.07692307692307693,0.23471908526256352,1.0,0.0,1.0,0.0
7,bandpower,none,car,cz,30,30,30,0.01,0.3348214285714286,0.23333333333333334,0.25,0.0945945945945946,0.34578804347826086,-0.05713506121965909,20.96114209210777,0.9695440404940069,-0.125
7,bandpower,none,car,pz,30,30,30,0.01,0.3348214285714286,0.26666666666666666,0.25,0.10526315789473684,0.27203910220214567,-0.06565763609145514,20.9703560983432,0.9435645103805369,-0.125
7,bandpower,none,car,fcz,30,30,30,0.01,0.3348214285714286,0.23333333333333334,0.25,0.0945945945945946,0.4340062111801242,-0.058548636820064864,20.96365118672131,0.9762129546035384,-0.125
7,bandpower,none,car,random_linear,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.1294642857142857,0.09583333333333333,0.22659337944664032,0.999761911773883,0.021739305577229428,0.9997250105751404,-0.004464285714285698
7,bandpower,car_canonicalize,car,car,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.125,0.07692307692307693,0.23471908526256352,1.0,0.0,1.0,0.0
7,bandpower,car_canonicalize,car,cz,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.125,0.07692307692307693,0.23471908526256352,0.9999999999999998,2.5695180456266242e-08,0.9999999999999996,0.0
7,bandpower,car_canonicalize,car,pz,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.125,0.07692307692307693,0.23471908526256352,0.9999999999999996,3.216861630888103e-08,0.9999999999999978,0.0
7,bandpower,car_canonicalize,car,fcz,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.125,0.07692307692307693,0.23471908526256352,0.9999999999999998,2.417626364851873e-08,0.9999999999999994,0.0
7,bandpower,car_canonicalize,car,random_linear,30,30,30,0.01,0.3348214285714286,0.13333333333333333,0.125,0.07692307692307693,0.23471908526256352,0.9999999999999999,1.8817516364109316e-08,0.9999999999999996,0.0
