epoch,train_loss,train_ce_loss,train_consistency_loss,train_auxiliary_preservation_loss,train_auxiliary_residual_consistency_loss,train_auxiliary_gate_supervision_loss,validation_auxiliary_preservation_loss,validation_auxiliary_consistency_loss,validation_auxiliary_gate_target_mean,validation_auxiliary_gate_nontarget_mean,validation_auxiliary_gate_supervision_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4310584059468021,1.4310584059468021,0.0,0.0,0.0,0.0,2.0662659153458662e-05,1.1559824088180903e-05,0.25447314977645874,0.25430452823638916,0.8312278806949083,0.2459145859671302,0.2464625376535406,0.0011415871558710933,0.7411111111111112,6.450892358088527e-06
2.0,1.4074049059549967,1.4074049059549967,0.0,0.0,0.0,0.0,0.00022388334036804736,0.00017192783707287163,0.26802077889442444,0.26772570610046387,0.8159978015024455,0.2556051587301587,0.2602777777777778,0.0007581354584544897,0.7144444444444444,1.6722788633201854e-05
3.0,1.4076387553744847,1.4076387553744847,0.0,0.0,0.0,0.0,0.0006986130611039698,0.0012935143895447254,0.26783496141433716,0.26709461212158203,0.8253803548190183,0.25,0.25012291052114066,0.0008790423162281513,0.0011111111111111111,3.3002647113295634e-05
4.0,1.390698321836966,1.390698321836966,0.0,0.0,0.0,0.0,0.0024040646385401487,0.003815490985289216,0.2013152688741684,0.2000061422586441,0.9553973931440098,0.39992239078522257,0.35691804794680904,0.01723366044461727,0.8577777777777778,5.880448399262659e-05
5.0,1.316747010725516,1.316747010725516,0.0,0.0,0.0,0.0,0.005985289812088013,0.012020501308143139,0.21145987510681152,0.21010196208953857,0.9330927238180275,0.4662513168984408,0.40235390231149815,0.038072146475315094,0.6377777777777778,9.969763961567034e-05
6.0,1.2220907462084736,1.2220907462084736,0.0,0.0,0.0,0.0,0.016048569232225418,0.04067077115178108,0.23947682976722717,0.23368893563747406,1.0148062755133171,0.5779225049164208,0.4855035088027344,0.054471276700496674,0.72,9.969763961567034e-05
7.0,1.137499975628323,1.137499975628323,0.0,0.0,0.0,0.0,0.01699734665453434,0.04221845045685768,0.23629647493362427,0.2301211804151535,0.9835962233717359,0.5944797812192724,0.510646597134429,0.05713057518005371,0.7144444444444444,9.969763961567034e-05
8.0,1.095603805647956,1.095603805647956,0.0,0.0,0.0,0.0,0.02979334443807602,0.06532477587461472,0.26411813497543335,0.25477975606918335,0.9807529745193694,0.6011565441073186,0.512387873413869,0.06448639184236526,0.6588888888888889,9.969763961567034e-05
9.0,1.0513120993861447,1.0513120993861447,0.0,0.0,0.0,0.0,0.012522626668214798,0.0429534837603569,0.21392737329006195,0.2091786116361618,1.0699704741407268,0.607902883129653,0.5235815930764308,0.07516933232545853,0.6544444444444445,9.969763961567034e-05
10.0,1.0148496263115494,1.0148496263115494,0.0,0.0,0.0,0.0,0.010331942699849606,0.035542912781238556,0.22266188263893127,0.21745683252811432,0.9989563938334921,0.6277352419581402,0.5489194019135022,0.079865463078022,0.6822222222222222,9.969763961567034e-05
11.0,0.990535298983256,0.990535298983256,0.0,0.0,0.0,0.0,0.023420240730047226,0.07044737040996552,0.2529393434524536,0.2570754289627075,0.9371652351679539,0.6478337459615114,0.5569638955221551,0.08157570660114288,0.6922222222222222,9.969763961567034e-05
12.0,0.9658157343334622,0.9658157343334622,0.0,0.0,0.0,0.0,0.017695270478725433,0.07342008501291275,0.26624614000320435,0.25500959157943726,0.9780982900451652,0.6121251668071358,0.5285933427369636,0.10067173093557358,0.6477777777777778,9.969763961567034e-05
13.0,0.9432623853506865,0.9432623853506865,0.0,0.0,0.0,0.0,0.027407802641391754,0.08706966787576675,0.30175167322158813,0.29672151803970337,0.9691242353322441,0.6410483828487147,0.5575070380905558,0.11142457276582718,0.67,9.969763961567034e-05
14.0,0.9252004674628929,0.9252004674628929,0.0,0.0,0.0,0.0,0.013832899741828442,0.05571835860610008,0.243631973862648,0.23901037871837616,1.0086540940817108,0.6310340286557101,0.5619597009567511,0.11014670133590698,0.68,9.969763961567034e-05
15.0,0.9080664452800045,0.9080664452800045,0.0,0.0,0.0,0.0,0.015451819635927677,0.04950956627726555,0.23024576902389526,0.2269243448972702,1.0419209034273558,0.6454728104368591,0.5670173030700316,0.10089770704507828,0.6655555555555556,9.969763961567034e-05
16.0,0.8698412428078828,0.8698412428078828,0.0,0.0,0.0,0.0,0.01313052698969841,0.047101739794015884,0.23499737679958344,0.2326073795557022,0.9838075303801855,0.6468655183312263,0.5677878544895507,0.11048419028520584,0.6866666666666666,9.969763961567034e-05
17.0,0.8534870480608057,0.8534870480608057,0.0,0.0,0.0,0.0,0.016352644190192223,0.07471714168787003,0.21728266775608063,0.2130909413099289,1.0702313546155908,0.653226269490097,0.574814507538512,0.12690018117427826,0.6888888888888889,9.969763961567034e-05
18.0,0.8449513885709975,0.8449513885709975,0.0,0.0,0.0,0.0,0.012461102567613125,0.06025790795683861,0.21603794395923615,0.21441508829593658,1.0667421319461299,0.6353992836072482,0.5666933704406049,0.11951025575399399,0.6611111111111111,9.969763961567034e-05
19.0,0.8290598100203055,0.8290598100203055,0.0,0.0,0.0,0.0,0.01654542237520218,0.07485717535018921,0.25508689880371094,0.25240135192871094,1.0054865242727837,0.6245007638010956,0.5493209242480998,0.12872567772865295,0.6555555555555556,9.969763961567034e-05
20.0,0.802657627971084,0.802657627971084,0.0,0.0,0.0,0.0,0.022454936057329178,0.07396407425403595,0.23363740742206573,0.2290482521057129,1.0190902689955683,0.6187018454136817,0.548727539565482,0.13558009266853333,0.6755555555555556,9.969763961567034e-05
