epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.430999755329556,1.430999755329556,0.0,0.2504680257058575,0.2504680257058575,0.0,0.0,6.450892358088527e-06
2.0,1.4096351791311192,1.4096351791311192,0.0,0.2634672619047619,0.2634672619047619,0.0,0.0,1.6722788633201854e-05
3.0,1.4123395451792964,1.4123395451792964,0.0,0.2632688492063492,0.2632688492063492,0.0,0.0,3.3002647113295634e-05
4.0,1.3564037564948752,1.3564037564948752,0.0,0.47132870663014464,0.47132870663014464,0.0,0.0,5.880448399262659e-05
5.0,1.1887646129396228,1.1887646129396228,0.0,0.5311273967551623,0.5311273967551623,0.0,0.0,9.969763961567034e-05
6.0,1.0961865569927074,1.0961865569927074,0.0,0.5778738674673409,0.5778738674673409,0.0,0.0,9.969763961567034e-05
7.0,1.0333458767996895,1.0333458767996895,0.0,0.5631578346677903,0.5631578346677903,0.0,0.0,9.969763961567034e-05
8.0,0.9739953695403205,0.9739953695403205,0.0,0.5869894823711196,0.5869894823711196,0.0,0.0,9.969763961567034e-05
9.0,0.9067339001761543,0.9067339001761543,0.0,0.6051373525073747,0.6051373525073747,0.0,0.0,9.969763961567034e-05
10.0,0.8699703376381486,0.8699703376381486,0.0,0.6107918510324485,0.6107918510324485,0.0,0.0,9.969763961567034e-05
11.0,0.8231821948510629,0.8231821948510629,0.0,0.635403761061947,0.635403761061947,0.0,0.0,9.969763961567034e-05
12.0,0.7772864870671873,0.7772864870671873,0.0,0.6165904621435595,0.6165904621435595,0.0,0.0,9.969763961567034e-05
13.0,0.7602855030695598,0.7602855030695598,0.0,0.6179218025705858,0.6179218025705858,0.0,0.0,9.969763961567034e-05
14.0,0.716072129673428,0.716072129673428,0.0,0.6276755425621576,0.6276755425621576,0.0,0.0,9.969763961567034e-05
15.0,0.6981743813444067,0.6981743813444067,0.0,0.604460378915578,0.604460378915578,0.0,0.0,9.969763961567034e-05
16.0,0.6532054292714154,0.6532054292714154,0.0,0.6145605070936929,0.6145605070936929,0.0,0.0,9.969763961567034e-05
17.0,0.6163106316107291,0.6163106316107291,0.0,0.5864009165613148,0.5864009165613148,0.0,0.0,4.984881980783517e-05
