epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4143596755133734,1.4143596755133734,0.0,0.2533481703890996,0.2519465222175399,0.0012410480994731188,0.30333333333333334,6.450892358088527e-06
2.0,1.4105509035675614,1.4105509035675614,0.0,0.25,0.2503780181361302,0.0006623900262638927,0.052222222222222225,1.6722788633201854e-05
3.0,1.4172454335954454,1.4172454335954454,0.0,0.25,0.25148148148148153,0.0005357163026928902,0.05,3.3002647113295634e-05
4.0,1.4214341228979606,1.4214341228979606,0.0,0.25,0.24962963450703127,0.0006563071510754526,0.0077777777777777776,5.880448399262659e-05
5.0,1.378809407375477,1.378809407375477,0.0,0.41642273317881723,0.36964932945482354,0.02718253992497921,0.51,9.969763961567034e-05
6.0,1.2870290187553124,1.2870290187553124,0.0,0.5154233389520999,0.43861832478812574,0.031184501945972443,0.6166666666666667,9.969763961567034e-05
7.0,1.2106949057402434,1.2106949057402434,0.0,0.49552583754740837,0.4263530985157092,0.0322393923997879,0.6255555555555555,9.969763961567034e-05
8.0,1.1759746355480618,1.1759746355480618,0.0,0.5788267312824835,0.4970516594871315,0.0582006461918354,0.7133333333333334,9.969763961567034e-05
9.0,1.1234253881595753,1.1234253881595753,0.0,0.5734777092990588,0.4952696959232726,0.06452882289886475,0.7122222222222222,9.969763961567034e-05
10.0,1.0869502841101752,1.0869502841101752,0.0,0.5921543580559068,0.4996651761327278,0.06865765154361725,0.6744444444444444,9.969763961567034e-05
11.0,1.0670092606544495,1.0670092606544495,0.0,0.607586388537716,0.5066281400711711,0.09404709935188293,0.6822222222222222,9.969763961567034e-05
12.0,1.0336005322138468,1.0336005322138468,0.0,0.6034734952240484,0.5228024379204321,0.08296366780996323,0.6777777777777778,9.969763961567034e-05
13.0,0.9770066573884753,0.9770066573884753,0.0,0.6012072885939036,0.5194556966100108,0.10423847287893295,0.6577777777777778,9.969763961567034e-05
14.0,0.9663502569551821,0.9663502569551821,0.0,0.6079908958421126,0.5202591851227544,0.09793832153081894,0.6988888888888889,9.969763961567034e-05
15.0,0.9415321353629783,0.9415321353629783,0.0,0.608647457508077,0.5174310286635139,0.08863819390535355,0.6733333333333333,9.969763961567034e-05
16.0,0.9169407827765853,0.9169407827765853,0.0,0.6422633972468044,0.5522178910895725,0.10687196254730225,0.6788888888888889,9.969763961567034e-05
17.0,0.9013963747024536,0.9013963747024536,0.0,0.613241984478157,0.5256457533439466,0.10427723824977875,0.6177777777777778,9.969763961567034e-05
18.0,0.8801416601958099,0.8801416601958099,0.0,0.6477347151987638,0.5602772412635981,0.11207270622253418,0.6555555555555556,9.969763961567034e-05
19.0,0.8532483156522115,0.8532483156522115,0.0,0.6355970817530552,0.5518160322142623,0.12078110128641129,0.6955555555555556,9.969763961567034e-05
20.0,0.8254023394761262,0.8254023394761262,0.0,0.6366730316757971,0.5528678438763247,0.13135747611522675,0.6766666666666666,9.969763961567034e-05
