epoch,train_loss,validation_balanced_accuracy,learning_rate
1.0,1.418740324444241,0.3322438317557991,6.45769549087854e-06
2.0,1.3526214437636117,0.2684158544767555,1.6733570872048158e-05
3.0,1.2590799934901888,0.35596616478695003,3.301973581024263e-05
4.0,1.1298919445749314,0.392213829056247,5.883156775208591e-05
5.0,1.0011620298264519,0.4237127957904684,9.974056448166367e-05
6.0,0.8562591922093952,0.495558768613518,9.974056448166367e-05
7.0,0.7163113656119695,0.4806245221312916,9.974056448166367e-05
8.0,0.5941581431267754,0.4761666810013687,9.974056448166367e-05
9.0,0.5415368620554606,0.5155685403540908,9.974056448166367e-05
10.0,0.49925000133968533,0.4787927917445382,9.974056448166367e-05
11.0,0.4202916717907739,0.500389263106675,9.974056448166367e-05
12.0,0.36506396229304966,0.41867574970100835,9.974056448166367e-05
13.0,0.30825660576896063,0.5193671953179727,9.974056448166367e-05
14.0,0.26796879305726007,0.49472598431269477,9.974056448166367e-05
15.0,0.24301002934811608,0.5178296566139374,9.974056448166367e-05
16.0,0.19386941716784523,0.5156556375160026,9.974056448166367e-05
17.0,0.18352070597429124,0.5062835311311534,9.974056448166367e-05
18.0,0.1583119488235504,0.4838841071775343,9.974056448166367e-05
19.0,0.13762103879735582,0.5137927566341177,4.9870282240831836e-05
