probe_seed,reference_seed,defense,test_view,n_subjects,n_resamples,confidence,point_gap,bootstrap_mean_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
21,7,none,cz,20,10000,0.95,0.0057580422067037285,0.005760417866300697,-0.0099919803252802,0.021763228612655283,0.7602,False
21,7,none,pz,20,10000,0.95,-0.006561136843848403,-0.006481060135081924,-0.01932387935113151,0.0057724768376491535,0.1576,False
21,7,none,fcz,20,10000,0.95,-0.0005689423893484591,-0.0006096391141606182,-0.014928603235648534,0.013465351995820643,0.4685,False
21,7,none,random_linear,20,10000,0.95,-8.661222469674712e-06,-2.2209452476343676e-05,-0.005649988415961024,0.005646688808241601,0.4925,False
