epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4216798423585437,1.4187239848242865,0.00985286817486797,0.32979588983095254,0.32366434652511483,0.0006695790798403323,0.3494809688581315,6.45769549087854e-06
2.0,1.3586617435727801,1.3557622224565535,0.009665070533279389,0.26323685635420896,0.2605482367729772,0.0008516845409758389,0.029411764705882353,1.6733570872048158e-05
3.0,1.258380102732825,1.2554712963861132,0.009696015291625545,0.3128571156217187,0.31169391054914414,0.0021528343204408884,0.14186851211072665,3.301973581024263e-05
4.0,1.1552470370701382,1.152208097397335,0.0101297957284583,0.42603889228082903,0.4254827615702028,0.0036873449571430683,0.19953863898500576,5.883156775208591e-05
5.0,1.0377172122304401,1.0343675565341162,0.011165514302750429,0.4136005506985772,0.4110897652837215,0.005647872108966112,0.1568627450980392,9.974056448166367e-05
6.0,0.911542815405225,0.9079247834947374,0.012060115175351264,0.44677520302607004,0.4423544409948959,0.007866855710744858,0.15397923875432526,9.974056448166367e-05
7.0,0.7678827224837409,0.7639898876159911,0.012976121580198645,0.48352883054160545,0.48028277249348256,0.011316805146634579,0.21683967704728951,9.974056448166367e-05
8.0,0.6540897406093658,0.6500871666840145,0.013341910425159666,0.5031892828218598,0.495676366873616,0.013402309268712997,0.21914648212226068,9.974056448166367e-05
9.0,0.5764744773365202,0.5723096657934643,0.013882706342708497,0.496317297900546,0.48881768120983266,0.01498783566057682,0.20703575547866204,9.974056448166367e-05
10.0,0.5360244981447856,0.5317709244622124,0.014178573263306467,0.49510105908863056,0.4918341834268675,0.016406437382102013,0.19434832756632064,9.974056448166367e-05
11.0,0.4729108424413772,0.4685475376674107,0.014544342357724432,0.4685378879087262,0.4604388093383436,0.016930701211094856,0.1908881199538639,9.974056448166367e-05
12.0,0.40454795042673747,0.40019087055372815,0.014523595474542133,0.5008159068754688,0.4969591778206404,0.019859692081809044,0.19896193771626297,9.974056448166367e-05
13.0,0.37128997541609265,0.36685168881264946,0.01479428471021709,0.5333477927015668,0.5268104772979935,0.02189868502318859,0.21395617070357556,9.974056448166367e-05
14.0,0.3225685068917653,0.3182326556955065,0.01445283465915256,0.4720187837130546,0.4662508130162053,0.02093447558581829,0.1839677047289504,9.974056448166367e-05
15.0,0.27309323005259983,0.26886915411267964,0.014080250764650012,0.5202125952439602,0.5225345032472033,0.024950027465820312,0.2422145328719723,9.974056448166367e-05
16.0,0.24642342406605916,0.24230200892403012,0.013738050697341797,0.5145289271755409,0.5043344949720292,0.026872621849179268,0.23298731257208766,9.974056448166367e-05
17.0,0.20824882511108642,0.20417867612271082,0.013567162860953618,0.5270064578656672,0.5150702049097035,0.028643809258937836,0.24740484429065743,9.974056448166367e-05
18.0,0.19137810559499832,0.18728484758308955,0.013644195189551702,0.49075378830138255,0.48996624377307824,0.027851922437548637,0.20703575547866204,9.974056448166367e-05
19.0,0.17118390435264225,0.1673658601821415,0.012726814180376038,0.510283279053116,0.5058647444056082,0.028435295447707176,0.19434832756632064,4.9870282240831836e-05
