probe_seed,reference_seed,defense,test_view,n_subjects,n_resamples,confidence,point_gap,bootstrap_mean_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
7,7,none,native32@car,20,10000,0.95,0.13716660501790973,0.13730645415113524,0.10702838091185736,0.1676944352323398,1.0,True
7,7,none,native16@car,20,10000,0.95,0.14988702634096895,0.15001438986338717,0.1128788296681179,0.18851199365802218,1.0,True
7,7,none,native8@car,20,10000,0.95,0.1488104064838613,0.14898150596827361,0.11478473377651031,0.1845967734398142,1.0,True
7,7,none,native32@cz,20,10000,0.95,0.1342928638668665,0.13440757264216446,0.10161036289654392,0.1694193534341866,1.0,True
7,7,none,native16@cz,20,10000,0.95,0.1381845713272556,0.138287816096704,0.10212904240825896,0.17403388919203325,1.0,True
7,7,none,native8@cz,20,10000,0.95,0.1488140693440901,0.14895631019598662,0.114253810459801,0.185655468049231,1.0,True
7,7,none,native_drop_left_motor@cz,20,10000,0.95,0.12051421133481666,0.12055692114432007,0.08480299617383535,0.15750948116718452,1.0,True
7,7,none,native_drop_right_motor@cz,20,10000,0.95,0.12189948989873373,0.12169741346600868,0.07937477669217936,0.1646279215016559,1.0,True
