candidate,baseline,test_view,n_probe_seeds,n_resamples,confidence,candidate_minus_baseline,bootstrap_mean,ci_lower,ci_upper
joint_multiview_ce,car_only,car,3,10000,0.95,0.017419538458364896,0.01745497734022773,0.0008746722075485009,0.034028363776801546
joint_multiview_ce,car_only,native32@car,3,10000,0.95,0.06909628185251664,0.06915797505387541,0.042771567208724576,0.09601600908899886
joint_multiview_ce,car_only,native16@car,3,10000,0.95,0.09092830371324362,0.09100048711237795,0.06934368557611535,0.1132205986563314
joint_multiview_ce,car_only,native16@cz,3,10000,0.95,0.07973631133537014,0.07980696290429232,0.05642626160630069,0.10282172710962878
joint_multiview_ce,car_only,native16_reference_mean,3,10000,0.95,0.08874989768876146,0.08883881835185467,0.06573491620227064,0.11318258145954088
ssi_car_only,car_only,car,3,10000,0.95,0.0,0.0,0.0,0.0
ssi_car_only,car_only,native32@car,3,10000,0.95,-0.0362908839820815,-0.036418683046179894,-0.06525532911851518,-0.006483947770855578
ssi_car_only,car_only,native16@car,3,10000,0.95,-0.0451813052019685,-0.044901081423420905,-0.07701948813742611,-0.00917812570257179
ssi_car_only,car_only,native16@cz,3,10000,0.95,-0.05313232612521244,-0.053038437368026776,-0.08009794235165588,-0.027343059217285973
ssi_car_only,car_only,native16_reference_mean,3,10000,0.95,-0.04969395452226272,-0.04948088886105468,-0.07437022939175421,-0.026945843185165096
ssi_joint_multiview_ce,car_only,car,3,10000,0.95,0.00871758685497396,0.008861461391756368,-0.011281723116305662,0.0286531012915491
ssi_joint_multiview_ce,car_only,native32@car,3,10000,0.95,0.05506234135068102,0.055190370161740825,0.033640598544663336,0.07745389279038073
ssi_joint_multiview_ce,car_only,native16@car,3,10000,0.95,0.08116305248000845,0.08120623468187596,0.060602809280257394,0.1036229636594804
ssi_joint_multiview_ce,car_only,native16@cz,3,10000,0.95,0.07744531419347106,0.07770584550630225,0.047493605665344475,0.10839731509806017
ssi_joint_multiview_ce,car_only,native16_reference_mean,3,10000,0.95,0.08401258772825182,0.08393643049591988,0.06292739120268837,0.10865717381262938
ssi_joint_multiview_ce,joint_multiview_ce,car,3,10000,0.95,-0.008701951603390934,-0.008447272030254256,-0.02894849326883785,0.009599078234791744
ssi_joint_multiview_ce,joint_multiview_ce,native32@car,3,10000,0.95,-0.014033940501835615,-0.013972947471702827,-0.03501818810314115,0.00527330199420094
ssi_joint_multiview_ce,joint_multiview_ce,native16@car,3,10000,0.95,-0.009765251233235165,-0.009821771465178852,-0.024118644566055003,0.00434505611679221
ssi_joint_multiview_ce,joint_multiview_ce,native16@cz,3,10000,0.95,-0.0022909971418990835,-0.002331259705369133,-0.022685984776863875,0.01720143417060158
ssi_joint_multiview_ce,joint_multiview_ce,native16_reference_mean,3,10000,0.95,-0.004737309960509635,-0.004706913072009457,-0.01681013491238471,0.006862379181319661
