method,defense,clean_car_bacc,clean_delta_vs_car_only,clean_delta_ci_lower,clean_delta_ci_upper,clean_noninferiority_passed,native32_car_bacc,native16_car_bacc,native16_reference_bacc_mean,native16_worst_class_recall,suite_bacc_mean,suite_worst_view_bacc
car_only,none,0.5326149286108618,0.0,0.0,0.0,True,0.41551319668662384,0.3517974706697759,0.35284938611957123,0.06075747739310281,0.42561103543648365,0.3446371834076481
joint_multiview_ce,none,0.5500344670692267,0.017419538458364858,0.0008746722075485009,0.034028363776801546,True,0.48460947853914044,0.44272577438301947,0.4415992838083327,0.2980030721966206,0.4870657385173356,0.43507595261494253
ssi_car_only,spherical_spline,0.5326149286108618,0.0,0.0,0.0,True,0.3792223127045424,0.3066161654678074,0.30315543159730857,0.06994269548959946,0.3949804329653661,0.2939789913572422
ssi_joint_multiview_ce,spherical_spline,0.5413325154658358,0.008717586854974035,-0.011281723116305662,0.0286531012915491,False,0.47057553803730484,0.43296052314978434,0.4368619738478231,0.3413029519339584,0.4811830482394282,0.43278495547304346
