probe_seed,method,run_dir,car_balanced_accuracy,target_balanced_accuracy,balanced_accuracy_gap,target_class_recall_gap,balanced_accuracy_gap_relative_reduction,target_class_recall_gap_relative_reduction,clean_balanced_accuracy_change
7,car_only,outputs/reve_statistical_audit_s7,0.5707541359019275,0.5104665541258443,0.06028758177608318,0.22172949002217296,0.0,0.0,0.0
7,multi_view_ce,outputs/reve_multiview_ce_s7,0.5828320590440257,0.5593196821026644,0.023512376941361324,0.11973392461197341,0.6099963500163317,0.45999999999999996,0.012077923142098212
7,rule_consistency,outputs/reve_rule_consistency_s7,0.5935629189654952,0.5828910845446775,0.01067183442081765,0.09756097560975607,0.8229845333578913,0.5600000000000002,0.022808783063567706
21,car_only,outputs/reve_statistical_audit_s21,0.5590636774953904,0.537451324998776,0.021612352496614418,0.1973392461197339,0.0,0.0,0.0
21,multi_view_ce,outputs/reve_multiview_ce_s21,0.5914559451980106,0.5829668646043986,0.008489080593611975,0.08647450110864752,0.6072116353394758,0.5617977528089884,0.03239226770262016
21,rule_consistency,outputs/reve_rule_consistency_s21,0.5866763620606148,0.5831368851389526,0.0035394769216622324,0.04434589800443467,0.8362289842247995,0.7752808988764041,0.027612684565224366
42,car_only,outputs/reve_statistical_audit_s42,0.5883246386256558,0.5645022950012951,0.023822343624360642,0.2017738359201774,0.0,0.0,0.0
42,multi_view_ce,outputs/reve_multiview_ce_s42,0.5880629936049866,0.5878509524957328,0.00021204110925376884,0.08647450110864752,0.9910990659610444,0.5714285714285711,-0.0002616450206691656
42,rule_consistency,outputs/reve_rule_consistency_s42,0.5864501844159218,0.5968366718667033,-0.010386487450781523,0.07538802660753885,1.435997717712389,0.6263736263736261,-0.0018744542097339778
