method,n_probe_seeds,car_balanced_accuracy_mean,car_balanced_accuracy_std,target_balanced_accuracy_mean,target_balanced_accuracy_std,balanced_accuracy_gap_mean,balanced_accuracy_gap_std,target_class_recall_gap_mean,target_class_recall_gap_std,balanced_accuracy_gap_relative_reduction_mean,balanced_accuracy_gap_relative_reduction_std,target_class_recall_gap_relative_reduction_mean,target_class_recall_gap_relative_reduction_std,clean_balanced_accuracy_change_mean,clean_balanced_accuracy_change_std
car_only,3,0.5727141506743246,0.01472861857058345,0.537473391375305,0.027017877196098265,0.03524075929901941,0.021719311737353447,0.20694752402069475,0.012992162476900928,0.0,0.0,0.0,0.0,0.0,0.0
multi_view_ce,3,0.5874503326156743,0.0043444640883648685,0.5767124997342653,0.015259297411976899,0.010737832881409023,0.01181181940308745,0.09756097560975614,0.01920233711273697,0.7361023504389506,0.22083802289064625,0.5310754414125198,0.06174120946182727,0.014736181941349735,0.01648845835479769
rule_consistency,3,0.5888964884806772,0.0040428293538026395,0.5876215471834444,0.007981478351724148,0.0012749412972327863,0.010710243751087114,0.07243163340724319,0.026730438019253643,1.0317370784316933,0.35016260825996126,0.6538848417500102,0.11024571004747735,0.016182337806352698,0.01582103570704407
