test_view,candidate,baseline,metric,candidate_value,baseline_value,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_subjects
car,operator_consistency,car_only,balanced_accuracy,0.5284028315690148,0.5386123007112825,-0.010209469142267724,-0.045216467698446595,0.020443632974049848,0.95,5000,19
car,operator_consistency,car_only,worst_class_recall,0.4539170506912442,0.39400921658986177,0.05990783410138245,-0.0833350951374207,0.1261467889908257,0.95,5000,19
car,operator_consistency,multi_view_ce,balanced_accuracy,0.5284028315690148,0.5547955957291484,-0.026392764160133586,-0.06279633583427421,0.0047020564324746624,0.95,5000,19
car,operator_consistency,multi_view_ce,worst_class_recall,0.4539170506912442,0.5127020785219399,-0.058785027830695724,-0.18879485426266107,0.0419153869411498,0.95,5000,19
native32@car,operator_consistency,car_only,balanced_accuracy,0.48741769261133217,0.4134370330687865,0.07398065954254568,0.04114844568595948,0.109804723740892,0.95,5000,19
native32@car,operator_consistency,car_only,worst_class_recall,0.4009216589861751,0.06221198156682028,0.3387096774193548,0.24193548387096772,0.4184400551053411,0.95,5000,19
native32@car,operator_consistency,multi_view_ce,balanced_accuracy,0.48741769261133217,0.4970199444467347,-0.009602251835402531,-0.039431255326539016,0.02075635620434897,0.95,5000,19
native32@car,operator_consistency,multi_view_ce,worst_class_recall,0.4009216589861751,0.44675925925925924,-0.045837600273084145,-0.1646791886549015,0.08054991105637645,0.95,5000,19
native16@car,operator_consistency,car_only,balanced_accuracy,0.45459400737688205,0.3470125211795775,0.10758148619730457,0.06738666525724152,0.15057068133497856,0.95,5000,19
native16@car,operator_consistency,car_only,worst_class_recall,0.38018433179723504,0.020737327188940093,0.35944700460829493,0.24432457729733945,0.4292237442922374,0.95,5000,19
native16@car,operator_consistency,multi_view_ce,balanced_accuracy,0.45459400737688205,0.45605312955207916,-0.001459122175197114,-0.01953118613848087,0.017467113584722593,0.95,5000,19
native16@car,operator_consistency,multi_view_ce,worst_class_recall,0.38018433179723504,0.3680555555555556,0.012128776241679462,-0.12057629817573677,0.10089346714882687,0.95,5000,19
