method,run_dir,test_view,n_trials,n_subjects,balanced_accuracy,macro_f1,worst_class_recall,class_0_recall,class_1_recall,class_2_recall,class_3_recall
car_only,outputs/reve_set_operator_screen_car_only_s7,car,1734,19,0.5386123007112825,0.5351164853558351,0.39400921658986177,0.6436781609195402,0.5578703703703703,0.39400921658986177,0.558891454965358
car_only,outputs/reve_set_operator_screen_car_only_s7,native32@car,1734,19,0.4134370330687865,0.36373716822606494,0.06221198156682028,0.7310344827586207,0.5972222222222222,0.06221198156682028,0.2632794457274827
car_only,outputs/reve_set_operator_screen_car_only_s7,native16@car,1734,19,0.3470125211795775,0.2988675359632068,0.020737327188940093,0.6758620689655173,0.39814814814814814,0.020737327188940093,0.29330254041570436
car_only,outputs/reve_set_operator_screen_car_only_s7,native32@cz,1734,19,0.4093966025505704,0.3666350128099015,0.07142857142857142,0.7034482758620689,0.5532407407407407,0.07142857142857142,0.3094688221709007
car_only,outputs/reve_set_operator_screen_car_only_s7,native16@cz,1734,19,0.36436954285692263,0.3122745140050102,0.01152073732718894,0.6689655172413793,0.4375,0.01152073732718894,0.3394919168591224
car_only,outputs/reve_set_operator_screen_car_only_s7,native32@pz,1734,19,0.422726386792118,0.39059756628645365,0.0967741935483871,0.639080459770115,0.5370370370370371,0.0967741935483871,0.418013856812933
car_only,outputs/reve_set_operator_screen_car_only_s7,native16@pz,1734,19,0.3656324693957764,0.3281341151737701,0.059907834101382486,0.4781609195402299,0.2916666666666667,0.059907834101382486,0.6327944572748267
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,car,1734,19,0.5547955957291484,0.5582162546808942,0.5127020785219399,0.5264367816091954,0.5694444444444444,0.6105990783410138,0.5127020785219399
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,native32@car,1734,19,0.4970199444467347,0.49869225769235215,0.44675925925925924,0.5172413793103449,0.44675925925925924,0.5737327188940092,0.4503464203233256
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,native16@car,1734,19,0.45605312955207916,0.45773364660031,0.3680555555555556,0.46436781609195404,0.3680555555555556,0.5552995391705069,0.43648960739030024
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,native32@cz,1734,19,0.4821293048858496,0.4836890581270759,0.4375,0.4689655172413793,0.4375,0.45161290322580644,0.5704387990762124
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,native16@cz,1734,19,0.4364371674755197,0.4371342941628784,0.3287037037037037,0.46206896551724136,0.3287037037037037,0.49539170506912444,0.45958429561200925
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,native32@pz,1734,19,0.48088130469316615,0.4816102803165,0.36342592592592593,0.4896551724137931,0.36342592592592593,0.4976958525345622,0.5727482678983834
multi_view_ce,outputs/reve_set_operator_screen_multi_view_ce_s7,native16@pz,1734,19,0.40866997060905264,0.3963674940165906,0.18287037037037038,0.4735632183908046,0.18287037037037038,0.41935483870967744,0.558891454965358
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,car,1734,19,0.5284028315690148,0.5288771140768027,0.4539170506912442,0.46206896551724136,0.5717592592592593,0.4539170506912442,0.625866050808314
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,native32@car,1734,19,0.48741769261133217,0.4874888929561539,0.4009216589861751,0.4689655172413793,0.5462962962962963,0.4009216589861751,0.5334872979214781
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,native16@car,1734,19,0.45459400737688205,0.45379721630922276,0.38018433179723504,0.39770114942528734,0.5324074074074074,0.38018433179723504,0.5080831408775982
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,native32@cz,1734,19,0.46380121053186063,0.46204069985533647,0.33640552995391704,0.4206896551724138,0.48148148148148145,0.33640552995391704,0.6166281755196305
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,native16@cz,1734,19,0.4493907619537891,0.44764407812488827,0.36551724137931035,0.36551724137931035,0.45601851851851855,0.38018433179723504,0.5958429561200924
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,native32@pz,1734,19,0.4568367123710725,0.45504218557986,0.32027649769585254,0.42528735632183906,0.41203703703703703,0.32027649769585254,0.6697459584295612
operator_consistency,outputs/reve_set_operator_screen_consistency_s7,native16@pz,1734,19,0.413521706991541,0.4043762581722673,0.2708333333333333,0.3816091954022989,0.2708333333333333,0.2880184331797235,0.7136258660508084
