epoch,train_loss,validation_balanced_accuracy,learning_rate
1.0,1.4154948275429862,0.3293782142982531,6.45769549087854e-06
2.0,1.3514272343923175,0.2626634863251938,1.6733570872048158e-05
3.0,1.2492278538809882,0.31689072853390177,3.301973581024263e-05
4.0,1.1365625074931553,0.3800503470601774,5.883156775208591e-05
5.0,1.0166860316291688,0.3881847972766288,9.974056448166367e-05
6.0,0.8769888573601132,0.49854645395083425,9.974056448166367e-05
7.0,0.7215425548099336,0.4879852014598378,9.974056448166367e-05
8.0,0.6177920655220274,0.5174558938276789,9.974056448166367e-05
9.0,0.5342667032045031,0.5139890307655701,9.974056448166367e-05
10.0,0.45484853422830973,0.4904313526088233,9.974056448166367e-05
11.0,0.40377678943058803,0.46448973938441324,9.974056448166367e-05
12.0,0.34974533319473267,0.47189368357742184,9.974056448166367e-05
13.0,0.306082060743892,0.512595115513742,9.974056448166367e-05
14.0,0.25984578967094424,0.501020536361021,4.9870282240831836e-05
