seed,encoder,defense,train_view,test_view,n_train,n_val,n_test,selected_c,validation_balanced_accuracy,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,reve,none,car,car,720,180,180,1.0,0.28820816864295123,0.2388888888888889,0.24431818181818182,0.14031333279496083,0.5428791887603369,1.0,0.0,1.0,0.0
7,reve,none,car,cz,720,180,180,1.0,0.28820816864295123,0.25,0.25271739130434784,0.19961063451279015,0.5163994397129096,0.9862746577561581,0.16286520428845228,0.7287991709298388,-0.008399209486166015
7,reve,none,car,pz,720,180,180,1.0,0.28820816864295123,0.25,0.2556818181818182,0.11994520030234315,0.5363388324955668,0.9861180260934544,0.16211271986069486,0.721599743960355,-0.011363636363636354
7,reve,none,car,fcz,720,180,180,1.0,0.28820816864295123,0.2611111111111111,0.26531620553359686,0.1919592777247204,0.5095402172394826,0.9873996494687617,0.1566872706059718,0.723008748299295,-0.020998023715415037
7,reve,none,car,random_linear,720,180,180,1.0,0.28820816864295123,0.2611111111111111,0.26679841897233203,0.16857553497285213,0.5459174118219643,0.9998371285372682,0.017809355092048604,0.9962148505264323,-0.022480237154150207
7,reve,car_canonicalize,car,car,720,180,180,1.0,0.28820816864295123,0.2388888888888889,0.24431818181818182,0.14031333279496083,0.5430057429806328,1.0,0.0,1.0,0.0
7,reve,car_canonicalize,car,cz,720,180,180,1.0,0.28820816864295123,0.2388888888888889,0.24431818181818182,0.14031333279496083,0.5430057429806328,0.9999999999999539,3.120081917564231e-07,0.999999999997623,0.0
7,reve,car_canonicalize,car,pz,720,180,180,1.0,0.28820816864295123,0.2388888888888889,0.24431818181818182,0.14031333279496083,0.5430057429806328,0.9999999999999526,3.1263521816338073e-07,0.9999999999975442,0.0
7,reve,car_canonicalize,car,fcz,720,180,180,1.0,0.28820816864295123,0.2388888888888889,0.24431818181818182,0.14031333279496083,0.5430057429806328,0.999999999999955,3.0831638089538354e-07,0.9999999999978272,0.0
7,reve,car_canonicalize,car,random_linear,720,180,180,1.0,0.28820816864295123,0.2388888888888889,0.24431818181818182,0.14031333279496083,0.5430057429806328,0.9999999999999584,2.990495853437213e-07,0.9999999999981081,0.0
