condition,batch_size,repeat,target_view,montage,held_out_reference,base_prior_weight,class_trust_caps,applied_class_weights,safe_bias,target_reference_labels_used
random,16,0,native16@FC1,native16,fc1,0.1683502706687112,"[0.2287274852076284, 0.2008263310985494, 0.5424070404752712, 0.6112989641137782]","[0.1683502706687112, 0.1683502706687112, 0.1683502706687112, 0.1683502706687112]","[0.5646156860175838, -0.3804108407890545, -0.6236498651647621]",False
random,16,0,native16@FC2,native16,fc2,0.1684415773073765,"[0.22565043790641387, 0.20261402014929597, 0.5435806048199231, 0.6129684513739169]","[0.1684415773073765, 0.1684415773073765, 0.1684415773073765, 0.1684415773073765]","[0.2802684047181628, -0.03694270279936604, -0.462189487784778]",False
random,16,0,native16@FC3,native16,fc3,0.1650137078060756,"[0.2221675154223658, 0.20213401039781914, 0.5364202961699899, 0.616031560617357]","[0.1650137078060756, 0.1650137078060756, 0.1650137078060756, 0.1650137078060756]","[0.8271752924523492, -0.6370234874756242, -0.7850940963002268]",False
random,16,0,native16@FC4,native16,fc4,0.1679775045286455,"[0.2221429150051158, 0.20640920400598747, 0.5447479749249313, 0.6137200262828023]","[0.1679775045286455, 0.1679775045286455, 0.1679775045286455, 0.1679775045286455]","[0.21866592083519965, 0.08898321984265417, -0.47457962846218393]",False
random,16,0,native16@Fz,native16,fz,0.1684729627364511,"[0.22801952825050031, 0.20740575169986195, 0.5385096117423437, 0.6104628760427677]","[0.1684729627364511, 0.1684729627364511, 0.1684729627364511, 0.1684729627364511]","[0.4343896445919302, -0.23594963074784386, -0.5749341375712197]",False
random,16,0,native16@Pz,native16,pz,0.1712143537438113,"[0.23267415084513782, 0.20339591984947714, 0.5495071360448649, 0.6040107936688658]","[0.1712143537438113, 0.1712143537438113, 0.1712143537438113, 0.1712143537438113]","[0.3146788893661474, 0.08148758426007938, -0.6020195701732967]",False
random,16,0,native32@C1,native32,c1,0.1683873544172754,"[0.22284113483248713, 0.20877965111563845, 0.5260354484801006, 0.6181126263806869]","[0.1683873544172754, 0.1683873544172754, 0.1683873544172754, 0.1683873544172754]","[0.5209160716365011, 0.001860188076784508, -0.07279740348132892]",False
random,16,0,native32@C2,native32,c2,0.16976212455871,"[0.22742891024114725, 0.20380651643833186, 0.545099549704242, 0.6125542591001236]","[0.16976212455871, 0.16976212455871, 0.16976212455871, 0.16976212455871]","[0.23319463832078002, 0.37522525742832474, 0.06083333127920071]",False
random,16,0,native32@C3,native32,c3,0.1669875553267121,"[0.23185925598314744, 0.19253234013075612, 0.5343954893958238, 0.5866758195906233]","[0.1669875553267121, 0.1669875553267121, 0.1669875553267121, 0.1669875553267121]","[0.8458573566616125, -0.33042381659181513, -0.30922788022508396]",False
random,16,0,native32@C4,native32,c4,0.1697300085352867,"[0.2326535425147668, 0.19685718338612768, 0.5483161039481318, 0.6012557469146528]","[0.1697300085352867, 0.1697300085352867, 0.1697300085352867, 0.1697300085352867]","[0.27119801878166444, 0.44447418338942335, -0.04342686067414511]",False
random,16,0,native32@C5,native32,c5,0.1728644936151507,"[0.23111445776243159, 0.21015633356475433, 0.5460651136641607, 0.6224065683482388]","[0.1728644936151507, 0.1728644936151507, 0.1728644936151507, 0.1728644936151507]","[1.230208988766354, -0.5692954877245534, -0.6040894300340052]",False
random,16,0,native32@C6,native32,c6,0.1704193788347906,"[0.22914894948407266, 0.20707763716425023, 0.541565345964942, 0.6145835736527483]","[0.1704193788347906, 0.1704193788347906, 0.1704193788347906, 0.1704193788347906]","[0.4644697203519042, 0.5524351248970103, -0.20347682185196028]",False
random,16,0,native32@CP1,native32,cp1,0.1720911292866992,"[0.23150712384573893, 0.20496769128817055, 0.5461658504783018, 0.6107147190401401]","[0.1720911292866992, 0.1720911292866992, 0.1720911292866992, 0.1720911292866992]","[0.43556828453583885, 0.15189411027029576, -0.07082166634596157]",False
random,16,0,native32@CP2,native32,cp2,0.1703488370363574,"[0.2288618990057936, 0.20321400943278833, 0.5442994519492337, 0.6106254665007087]","[0.1703488370363574, 0.1703488370363574, 0.1703488370363574, 0.1703488370363574]","[0.27689241290648103, 0.4756546134619594, 0.025561548342063825]",False
random,16,0,native32@CP3,native32,cp3,0.165727415057644,"[0.22686675772518308, 0.19703671331748157, 0.5395188411218907, 0.6155746103707505]","[0.165727415057644, 0.165727415057644, 0.165727415057644, 0.165727415057644]","[0.678328344183026, -0.15992292609521633, -0.2914162297281858]",False
