held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@C2,native16,random,32,0,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.2599419113754276, -0.015513073681679243, -0.6665445512510951]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,random,32,1,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.06189994737064916, 0.23834149387807613, -0.6539077745942014]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,random,32,2,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[-0.011466921505148225, 0.1460757968854857, -0.5192567260747353]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,random,32,3,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.42949648605950486, -0.08635441304076433, -0.596154362157128]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,random,32,4,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.23383542140581437, 0.07489578958611673, -0.583184893574529]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,balanced,128,0,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.09243360330969567, 0.06202781859478668, -0.44414142926711425]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,balanced,128,1,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.13918951959022063, 0.0032088300779034187, -0.5378480067222388]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,balanced,128,2,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.15761014576550095, -0.022592954252403652, -0.4899768323027251]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,balanced,128,3,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.28610723779964975, -0.021395102728787602, -0.5123501474961]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,balanced,128,4,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.2742037807840855, -0.1052740902718146, -0.5435973730594879]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_0,128,0,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[-0.20202789548060168, 0.25213363560671825, -0.4507071078646587]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_0,128,1,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[-0.21698557460473436, 0.4518168195405789, -0.46528118062224905]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_0,128,2,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[-0.2216904567713669, 0.41697857311796677, -0.4751780313272764]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_0,128,3,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[-0.2090522796523559, 0.38317090916964364, -0.4598620843867247]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_0,128,4,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[-0.2815878359918183, 0.36574148244813237, -0.47688793803759016]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_1,128,0,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.366858777990864, -0.32213015730050026, -0.585038889777958]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_1,128,1,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.37400485310169473, -0.37643835438582013, -0.5570676531925992]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_1,128,2,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.46972401306820577, -0.37070013353998377, -0.5347243068537844]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_1,128,3,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.47673341550598963, -0.41227929114566636, -0.5799540727994247]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_1,128,4,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.4899126539685092, -0.4361770604514492, -0.5672033151551029]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_2,128,0,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.261116202095575, -0.05180450064313282, -0.5964245116628264]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_2,128,1,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.11982033179095512, -0.005081829364868426, -0.5525481819255171]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_2,128,2,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.2796932228630386, -0.007177754697421401, -0.6334659215859993]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_2,128,3,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.23496374154904415, 0.030373120397232955, -0.6567348614650071]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_2,128,4,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.19555928945569592, -0.012423266872683941, -0.5499145804777261]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_3,128,0,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.28656414924106927, 0.23160583827810968, -0.5037912329098314]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
c1,native16@C2,native16,skew_0.7_class_3,128,1,"[0.2769643830755466, 0.008692769408394113, -0.5167080876824979]","[0.43524712777048047, 0.03963946970528978, -0.5466204724920682]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",False
