held_out_reference,n_source_examples,n_source_views,source_gate_resamples,class_trust_caps,cap_left_fist,cap_right_fist,cap_both_fists,cap_both_feet,source_condition_audit,all_source_conditions_improve_topology,target_reference_labels_used
c1,1380,46,5,"[0.22284113483248713, 0.20877965111563845, 0.5260354484801006, 0.6181126263806869]",0.22284113483248713,0.20877965111563845,0.5260354484801006,0.6181126263806869,"{""balanced"": {""topology_mean_rmse"": 0.14376259251782042, ""safe_mean_rmse"": 0.10543892635328288}, ""random"": {""topology_mean_rmse"": 0.14376259251782042, ""safe_mean_rmse"": 0.1141563953799887}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14376259251782042, ""safe_mean_rmse"": 0.14768876758949556}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14376259251782042, ""safe_mean_rmse"": 0.1307938050525044}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14376259251782042, ""safe_mean_rmse"": 0.11382099183554037}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14376259251782042, ""safe_mean_rmse"": 0.11873720321834384}}",False,False
c2,1380,46,5,"[0.22742891024114725, 0.20380651643833186, 0.545099549704242, 0.6125542591001236]",0.22742891024114725,0.20380651643833186,0.545099549704242,0.6125542591001236,"{""balanced"": {""topology_mean_rmse"": 0.1456017011815334, ""safe_mean_rmse"": 0.10610813688731993}, ""random"": {""topology_mean_rmse"": 0.1456017011815334, ""safe_mean_rmse"": 0.11467210428820154}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.1456017011815334, ""safe_mean_rmse"": 0.14997630563007444}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.1456017011815334, ""safe_mean_rmse"": 0.1304752435287145}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.1456017011815334, ""safe_mean_rmse"": 0.11456606151417231}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.1456017011815334, ""safe_mean_rmse"": 0.11947484551326083}}",False,False
c3,1380,46,5,"[0.23185925598314744, 0.19253234013075612, 0.5343954893958238, 0.5866758195906233]",0.23185925598314744,0.19253234013075612,0.5343954893958238,0.5866758195906233,"{""balanced"": {""topology_mean_rmse"": 0.14291589934566662, ""safe_mean_rmse"": 0.10524094400918559}, ""random"": {""topology_mean_rmse"": 0.14291589934566662, ""safe_mean_rmse"": 0.11387764162974687}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14291589934566662, ""safe_mean_rmse"": 0.14862799189040285}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14291589934566662, ""safe_mean_rmse"": 0.12924488696955375}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14291589934566662, ""safe_mean_rmse"": 0.11389719705881943}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14291589934566662, ""safe_mean_rmse"": 0.11770098806515009}}",False,False
c4,1380,46,5,"[0.2326535425147668, 0.19685718338612768, 0.5483161039481318, 0.6012557469146528]",0.2326535425147668,0.19685718338612768,0.5483161039481318,0.6012557469146528,"{""balanced"": {""topology_mean_rmse"": 0.14466395365424706, ""safe_mean_rmse"": 0.10554206166262367}, ""random"": {""topology_mean_rmse"": 0.14466395365424706, ""safe_mean_rmse"": 0.11411692190347418}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14466395365424706, ""safe_mean_rmse"": 0.14958641727737407}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14466395365424706, ""safe_mean_rmse"": 0.129479827579214}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14466395365424706, ""safe_mean_rmse"": 0.11389176391210495}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14466395365424706, ""safe_mean_rmse"": 0.11854489632874254}}",False,False
c5,1410,47,5,"[0.23111445776243159, 0.21015633356475433, 0.5460651136641607, 0.6224065683482388]",0.23111445776243159,0.21015633356475433,0.5460651136641607,0.6224065683482388,"{""balanced"": {""topology_mean_rmse"": 0.14531419123942302, ""safe_mean_rmse"": 0.10586561648930276}, ""random"": {""topology_mean_rmse"": 0.14531419123942302, ""safe_mean_rmse"": 0.11444770405021336}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14531419123942302, ""safe_mean_rmse"": 0.15004451679850395}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14531419123942302, ""safe_mean_rmse"": 0.13205428546640605}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14531419123942302, ""safe_mean_rmse"": 0.11374864264924389}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14531419123942302, ""safe_mean_rmse"": 0.1186464606680128}}",False,False
c6,1410,47,5,"[0.22914894948407266, 0.20707763716425023, 0.541565345964942, 0.6145835736527483]",0.22914894948407266,0.20707763716425023,0.541565345964942,0.6145835736527483,"{""balanced"": {""topology_mean_rmse"": 0.14463061257959284, ""safe_mean_rmse"": 0.10566029569517996}, ""random"": {""topology_mean_rmse"": 0.14463061257959284, ""safe_mean_rmse"": 0.11441477820007163}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14463061257959284, ""safe_mean_rmse"": 0.14804447776393798}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14463061257959284, ""safe_mean_rmse"": 0.13040726314684195}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14463061257959284, ""safe_mean_rmse"": 0.11355098198064678}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14463061257959284, ""safe_mean_rmse"": 0.11881442012588393}}",False,False
cp1,1380,46,5,"[0.23150712384573893, 0.20496769128817055, 0.5461658504783018, 0.6107147190401401]",0.23150712384573893,0.20496769128817055,0.5461658504783018,0.6107147190401401,"{""balanced"": {""topology_mean_rmse"": 0.1452542244728281, ""safe_mean_rmse"": 0.10597971402915078}, ""random"": {""topology_mean_rmse"": 0.1452542244728281, ""safe_mean_rmse"": 0.11478728247403995}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.1452542244728281, ""safe_mean_rmse"": 0.15091149915393834}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.1452542244728281, ""safe_mean_rmse"": 0.13059833482421626}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.1452542244728281, ""safe_mean_rmse"": 0.11462107731610252}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.1452542244728281, ""safe_mean_rmse"": 0.11922280845051973}}",False,False
cp2,1380,46,5,"[0.2288618990057936, 0.20321400943278833, 0.5442994519492337, 0.6106254665007087]",0.2288618990057936,0.20321400943278833,0.5442994519492337,0.6106254665007087,"{""balanced"": {""topology_mean_rmse"": 0.14486455081433966, ""safe_mean_rmse"": 0.10579613451128092}, ""random"": {""topology_mean_rmse"": 0.14486455081433966, ""safe_mean_rmse"": 0.11416169984456309}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14486455081433966, ""safe_mean_rmse"": 0.1492003735871132}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14486455081433966, ""safe_mean_rmse"": 0.13037388381677995}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14486455081433966, ""safe_mean_rmse"": 0.11422391808561372}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14486455081433966, ""safe_mean_rmse"": 0.11909248967189776}}",False,False
cp3,1380,46,5,"[0.22686675772518308, 0.19703671331748157, 0.5395188411218907, 0.6155746103707505]",0.22686675772518308,0.19703671331748157,0.5395188411218907,0.6155746103707505,"{""balanced"": {""topology_mean_rmse"": 0.14146206459306582, ""safe_mean_rmse"": 0.10279504204168524}, ""random"": {""topology_mean_rmse"": 0.14146206459306582, ""safe_mean_rmse"": 0.11086969795564303}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14146206459306582, ""safe_mean_rmse"": 0.14596245595498145}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14146206459306582, ""safe_mean_rmse"": 0.12909486347614949}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14146206459306582, ""safe_mean_rmse"": 0.11189811399372589}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14146206459306582, ""safe_mean_rmse"": 0.11637499087543532}}",False,False
cp4,1380,46,5,"[0.2314420002192196, 0.20607485251771085, 0.5459549207783865, 0.6126776529480911]",0.2314420002192196,0.20607485251771085,0.5459549207783865,0.6126776529480911,"{""balanced"": {""topology_mean_rmse"": 0.14672580186180484, ""safe_mean_rmse"": 0.10727167234728867}, ""random"": {""topology_mean_rmse"": 0.14672580186180484, ""safe_mean_rmse"": 0.11586565289544179}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14672580186180484, ""safe_mean_rmse"": 0.15053667253866163}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14672580186180484, ""safe_mean_rmse"": 0.13146220968104574}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14672580186180484, ""safe_mean_rmse"": 0.11556477950210436}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14672580186180484, ""safe_mean_rmse"": 0.12020479448217897}}",False,False
cp5,1410,47,5,"[0.23068643584872278, 0.18487562989624626, 0.5477890640624828, 0.5783789226831423]",0.23068643584872278,0.18487562989624626,0.5477890640624828,0.5783789226831423,"{""balanced"": {""topology_mean_rmse"": 0.14205141285706402, ""safe_mean_rmse"": 0.10466999818866236}, ""random"": {""topology_mean_rmse"": 0.14205141285706402, ""safe_mean_rmse"": 0.11273155227924973}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14205141285706402, ""safe_mean_rmse"": 0.14602512766687029}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14205141285706402, ""safe_mean_rmse"": 0.12772281868025487}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14205141285706402, ""safe_mean_rmse"": 0.11332905752138794}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14205141285706402, ""safe_mean_rmse"": 0.11671150714269465}}",False,False
cp6,1410,47,5,"[0.2287208161274286, 0.20718939085139346, 0.5406012068084364, 0.613674724619726]",0.2287208161274286,0.20718939085139346,0.5406012068084364,0.613674724619726,"{""balanced"": {""topology_mean_rmse"": 0.14437420168397996, ""safe_mean_rmse"": 0.1054321385620288}, ""random"": {""topology_mean_rmse"": 0.14437420168397996, ""safe_mean_rmse"": 0.1143348157470442}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14437420168397996, ""safe_mean_rmse"": 0.1478263975107106}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14437420168397996, ""safe_mean_rmse"": 0.1306706888870626}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14437420168397996, ""safe_mean_rmse"": 0.11342663070149006}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14437420168397996, ""safe_mean_rmse"": 0.11877233993353234}}",False,False
cpz,1380,46,5,"[0.23048303489960167, 0.20863179792637707, 0.5463272243662726, 0.6130612221715688]",0.23048303489960167,0.20863179792637707,0.5463272243662726,0.6130612221715688,"{""balanced"": {""topology_mean_rmse"": 0.1472405690245233, ""safe_mean_rmse"": 0.1071408765903618}, ""random"": {""topology_mean_rmse"": 0.1472405690245233, ""safe_mean_rmse"": 0.11553566205257969}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.1472405690245233, ""safe_mean_rmse"": 0.15120705284210215}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.1472405690245233, ""safe_mean_rmse"": 0.13181796332592693}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.1472405690245233, ""safe_mean_rmse"": 0.11569308865921518}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.1472405690245233, ""safe_mean_rmse"": 0.1206195677347318}}",False,False
cz,1380,46,5,"[0.22786432427818415, 0.20052187127095988, 0.5434675124303016, 0.6117719055191798]",0.22786432427818415,0.20052187127095988,0.5434675124303016,0.6117719055191798,"{""balanced"": {""topology_mean_rmse"": 0.14317211129031965, ""safe_mean_rmse"": 0.1046165353197633}, ""random"": {""topology_mean_rmse"": 0.14317211129031965, ""safe_mean_rmse"": 0.11328968250493276}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.14317211129031965, ""safe_mean_rmse"": 0.14874624784196386}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.14317211129031965, ""safe_mean_rmse"": 0.13033770292991914}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.14317211129031965, ""safe_mean_rmse"": 0.11284106858781418}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.14317211129031965, ""safe_mean_rmse"": 0.11798613307010497}}",False,False
f1,1410,47,5,"[0.20080683729694038, 0.206562485877772, 0.5171068149176872, 0.6082153672314716]",0.20080683729694038,0.206562485877772,0.5171068149176872,0.6082153672314716,"{""balanced"": {""topology_mean_rmse"": 0.13630655440984238, ""safe_mean_rmse"": 0.10096203496326914}, ""random"": {""topology_mean_rmse"": 0.13630655440984238, ""safe_mean_rmse"": 0.10896543501092616}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.13630655440984238, ""safe_mean_rmse"": 0.1408316469662562}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.13630655440984238, ""safe_mean_rmse"": 0.1256159868165721}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.13630655440984238, ""safe_mean_rmse"": 0.1087716226953228}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.13630655440984238, ""safe_mean_rmse"": 0.11381290620136265}}",False,False
f2,1410,47,5,"[0.23023706494635, 0.20501236172130163, 0.5439646674992935, 0.6130267461145084]",0.23023706494635,0.20501236172130163,0.5439646674992935,0.6130267461145084,"{""balanced"": {""topology_mean_rmse"": 0.1454037907775996, ""safe_mean_rmse"": 0.10571949071019876}, ""random"": {""topology_mean_rmse"": 0.1454037907775996, ""safe_mean_rmse"": 0.11442101511509427}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.1454037907775996, ""safe_mean_rmse"": 0.14913507784628913}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.1454037907775996, ""safe_mean_rmse"": 0.1304273150426551}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.1454037907775996, ""safe_mean_rmse"": 0.11415637777004517}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.1454037907775996, ""safe_mean_rmse"": 0.11868608524688348}}",False,False
f3,1410,47,5,"[0.2166971684387624, 0.2110508626720769, 0.47910343271062683, 0.6272982029890639]",0.2166971684387624,0.2110508626720769,0.47910343271062683,0.6272982029890639,"{""balanced"": {""topology_mean_rmse"": 0.13702319788146466, ""safe_mean_rmse"": 0.10162278565490102}, ""random"": {""topology_mean_rmse"": 0.13702319788146466, ""safe_mean_rmse"": 0.10939355321663459}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.13702319788146466, ""safe_mean_rmse"": 0.14621180272077147}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.13702319788146466, ""safe_mean_rmse"": 0.12792675393429076}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.13702319788146466, ""safe_mean_rmse"": 0.10728866047331487}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.13702319788146466, ""safe_mean_rmse"": 0.11471165046581447}}",False,False
