epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4168018084985239,1.4168018084985239,0.0,0.25225663716814156,0.24930194140094578,0.00034981052158400416,0.07666666666666666,6.450892358088527e-06
2.0,1.4064944938377097,1.4064944938377097,0.0,0.25222222222222224,0.2503720091773189,0.00025673804339021444,0.012222222222222223,1.6722788633201854e-05
3.0,1.4147183743229619,1.4147183743229619,0.0,0.25,0.2525925925925926,0.00026712502585723996,0.03333333333333333,3.3002647113295634e-05
4.0,1.4156345563464694,1.4156345563464694,0.0,0.31032242063492066,0.28313822751322754,0.0011660015443339944,0.11888888888888889,5.880448399262659e-05
5.0,1.3080866315629747,1.3080866315629747,0.0,0.41455598574237956,0.3968076772252658,0.02736993320286274,0.29777777777777775,9.969763961567034e-05
6.0,1.240179835955302,1.240179835955302,0.0,0.4617727208877651,0.4127812602425434,0.02799474075436592,0.33555555555555555,9.969763961567034e-05
7.0,1.1775216568840874,1.1775216568840874,0.0,0.5810194988762467,0.5179868866179707,0.04321236535906792,0.5411111111111111,9.969763961567034e-05
8.0,1.1060417814607972,1.1060417814607972,0.0,0.5888319110830174,0.5328760476658707,0.052897773683071136,0.49444444444444446,9.969763961567034e-05
9.0,1.0503120035595364,1.0503120035595364,0.0,0.6022725716392752,0.5262818689422671,0.05889645218849182,0.48,9.969763961567034e-05
10.0,1.0025744803746541,1.0025744803746541,0.0,0.6032158659924147,0.5405454593341762,0.06482888758182526,0.4777777777777778,9.969763961567034e-05
11.0,0.9699561192371227,0.9699561192371227,0.0,0.6009540051271247,0.5467840901109707,0.08290699124336243,0.47333333333333333,9.969763961567034e-05
12.0,0.9287831455689889,0.9287831455689889,0.0,0.6210149775249334,0.5476136775998502,0.07391072064638138,0.44333333333333336,9.969763961567034e-05
13.0,0.8871984780276263,0.8871984780276263,0.0,0.6377603508217446,0.547274459193707,0.0927819013595581,0.49,9.969763961567034e-05
14.0,0.863344869878557,0.863344869878557,0.0,0.6157147246804326,0.5545700619234911,0.09445144981145859,0.47444444444444445,9.969763961567034e-05
15.0,0.8388688676445573,0.8388688676445573,0.0,0.6199908695041438,0.5565668165004448,0.09990158677101135,0.49444444444444446,9.969763961567034e-05
16.0,0.8308218623973705,0.8308218623973705,0.0,0.6276704066582386,0.5701949594980569,0.09326133131980896,0.46444444444444444,9.969763961567034e-05
17.0,0.8075406586682355,0.8075406586682355,0.0,0.6085739306784661,0.5518114230697195,0.100165955722332,0.45666666666666667,9.969763961567034e-05
18.0,0.7921865572752776,0.7921865572752776,0.0,0.5963972292456806,0.5233104046682587,0.09904620051383972,0.45444444444444443,9.969763961567034e-05
19.0,0.7663171021143595,0.7663171021143595,0.0,0.6099624683944375,0.5480181410076322,0.09400845319032669,0.4666666666666667,9.969763961567034e-05
20.0,0.7415790003317374,0.7415790003317374,0.0,0.6155073131760078,0.5613687403427448,0.11904884874820709,0.5,9.969763961567034e-05
