seed,encoder,defense,train_view,test_view,n_train,n_val,n_test,selected_c,validation_balanced_accuracy,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,bandpower,none,car,car,720,180,180,10.0,0.2773738942217203,0.26666666666666666,0.2675395256916996,0.2633745236704696,0.5121995503041639,1.0,0.0,1.0,0.0
7,bandpower,none,car,cz,720,180,180,10.0,0.2773738942217203,0.25555555555555554,0.25,0.10176991150442478,0.5,-0.06358804831943847,36.59994411154077,0.9775974506561916,0.017539525691699587
7,bandpower,none,car,pz,720,180,180,10.0,0.2773738942217203,0.24444444444444444,0.25,0.09821428571428571,0.5,-0.07397916013350227,36.611140235256244,0.9764237237641312,0.017539525691699587
7,bandpower,none,car,fcz,720,180,180,10.0,0.2773738942217203,0.25555555555555554,0.25,0.10176991150442478,0.5,-0.07505283728059219,36.61246472208911,0.9832928849309882,0.017539525691699587
7,bandpower,none,car,random_linear,720,180,180,10.0,0.2773738942217203,0.25555555555555554,0.2559288537549407,0.2413529696649496,0.5067537606231802,0.9988193673724756,0.047136554215068495,0.9996125635518002,0.01161067193675891
7,bandpower,car_canonicalize,car,car,720,180,180,10.0,0.2773738942217203,0.2611111111111111,0.26210474308300397,0.2586462092166907,0.5122794464668058,1.0,0.0,1.0,0.0
7,bandpower,car_canonicalize,car,cz,720,180,180,10.0,0.2773738942217203,0.2611111111111111,0.26210474308300397,0.2586462092166907,0.5122794464668058,0.9999999999999996,3.4370341594997753e-08,0.9999999999999997,0.0
7,bandpower,car_canonicalize,car,pz,720,180,180,10.0,0.2773738942217203,0.2611111111111111,0.26210474308300397,0.2586462092166907,0.5122794464668058,0.9999999999999992,4.069780995690086e-08,1.0,0.0
7,bandpower,car_canonicalize,car,fcz,720,180,180,10.0,0.2773738942217203,0.2611111111111111,0.26210474308300397,0.2586462092166907,0.5122794464668058,0.9999999999999997,3.125877068668145e-08,0.9999999999999997,0.0
7,bandpower,car_canonicalize,car,random_linear,720,180,180,10.0,0.2773738942217203,0.2611111111111111,0.26210474308300397,0.2586462092166907,0.5122794464668058,0.9999999999999997,2.496617868412523e-08,0.9999999999999999,0.0
