scope,base_view,target_view,base_balanced_accuracy,target_balanced_accuracy,balanced_accuracy_gap,prediction_disagreement
full_reference,car,cz,0.611212242089543,0.5739055722260291,0.03730666986351383,0.19245701608430393
full_reference,car,pz,0.611212242089543,0.5659707226599519,0.04524151942959109,0.27121464226289516
full_reference,car,fcz,0.611212242089543,0.58334498091672,0.0278672611728229,0.18635607321131448
montage_effect,car,native16@car,0.611212242089543,0.38443157166219133,0.22678067042735162,0.6089850249584027
within_montage_reference,native16@car,native16@cz,0.38443157166219133,0.38495884377244954,-0.0005272721102582145,0.115363283416528
