scope,base_view,target_view,class_index,class_name,base_recall,target_recall,recall_gap,base_predicted_fraction,target_predicted_fraction,base_auroc,target_auroc,auroc_gap,target_mean_true_class_probability
full_reference,car,cz,0,left_fist,0.6319290465631929,0.5033259423503326,0.12860310421286036,0.2113144758735441,0.14919578480310594,0.8787261050394258,0.860910665319671,0.017815439719754855,0.47826862420093125
full_reference,car,cz,1,right_fist,0.6815144766146993,0.6525612472160356,0.028953229398663738,0.26400443704936216,0.2562396006655574,0.8591848618133848,0.8448891842367579,0.014295677576626975,0.6185422184201114
full_reference,car,cz,2,both_fists,0.5088888888888888,0.43333333333333335,0.07555555555555549,0.24070992789794787,0.20299500831946754,0.7992411924119242,0.7649453888478279,0.03429580356409623,0.38572272672577773
full_reference,car,cz,3,both_feet,0.6225165562913907,0.7064017660044151,-0.08388520971302438,0.2839711591791459,0.3915696062118691,0.816149129261712,0.7871588586378873,0.028990270623824754,0.6426091702245034
full_reference,car,pz,0,left_fist,0.6319290465631929,0.43458980044345896,0.19733924611973397,0.2113144758735441,0.12035496394897394,0.8787261050394258,0.8632821212558548,0.015443983783571036,0.42970961348644127
full_reference,car,pz,1,right_fist,0.6815144766146993,0.5991091314031181,0.08240534521158127,0.26400443704936216,0.2041042706600111,0.8591848618133848,0.8459451990801814,0.013239662733203428,0.5694001076187973
full_reference,car,pz,2,both_fists,0.5088888888888888,0.42444444444444446,0.08444444444444438,0.24070992789794787,0.20354963948973934,0.7992411924119242,0.7646776710191344,0.03456352139278973,0.4012628358158445
full_reference,car,pz,3,both_feet,0.6225165562913907,0.8057395143487859,-0.1832229580573952,0.2839711591791459,0.4719911259012757,0.816149129261712,0.8056593900744011,0.010489739187310887,0.7237715329275275
full_reference,car,fcz,0,left_fist,0.6319290465631929,0.5875831485587583,0.04434589800443467,0.2113144758735441,0.18857459789240155,0.8787261050394258,0.8657601779083955,0.012965927131030286,0.5443166701381597
full_reference,car,fcz,1,right_fist,0.6815144766146993,0.6681514476614699,0.013363028953229383,0.26400443704936216,0.26622296173044924,0.8591848618133848,0.8487776874919811,0.0104071743214037,0.6246508922997772
full_reference,car,fcz,2,both_fists,0.5088888888888888,0.39111111111111113,0.1177777777777777,0.24070992789794787,0.1735995562950638,0.7992411924119242,0.7792756836659275,0.019965508745996674,0.3586095289267111
full_reference,car,fcz,3,both_feet,0.6225165562913907,0.6865342163355408,-0.0640176600441501,0.2839711591791459,0.3716028840820854,0.816149129261712,0.7973084784563813,0.018840650805330705,0.6133830704764063
montage_effect,car,native16@car,0,left_fist,0.6319290465631929,0.7716186252771619,-0.13968957871396892,0.2113144758735441,0.49528563505268997,0.8787261050394258,0.7735931985462943,0.10513290649313156,0.6972264040388026
montage_effect,car,native16@car,1,right_fist,0.6815144766146993,0.7616926503340757,-0.08017817371937641,0.26400443704936216,0.5013865779256794,0.8591848618133848,0.7513808792228256,0.10780398259055923,0.6738704091247216
montage_effect,car,native16@car,2,both_fists,0.5088888888888888,0.0,0.5088888888888888,0.24070992789794787,0.0011092623405435386,0.7992411924119242,0.6145241028167857,0.18471708959513844,0.05191648203555556
montage_effect,car,native16@car,3,both_feet,0.6225165562913907,0.004415011037527594,0.6181015452538631,0.2839711591791459,0.0022185246810870773,0.816149129261712,0.6809631264818903,0.13518600277982173,0.06053178206598234
within_montage_reference,native16@car,native16@cz,0,left_fist,0.7716186252771619,0.7760532150776053,-0.0044345898004434225,0.49528563505268997,0.511924570160843,0.7735931985462943,0.7614128366942626,0.01218036185203164,0.6915190818840354
within_montage_reference,native16@car,native16@cz,1,right_fist,0.7616926503340757,0.7483296213808464,0.013363028953229383,0.5013865779256794,0.47420965058236275,0.7513808792228256,0.7504252022383566,0.0009556769844689672,0.6534822835040088
within_montage_reference,native16@car,native16@cz,2,both_fists,0.0,0.0,0.0,0.0011092623405435386,0.0022185246810870773,0.6145241028167857,0.6178582573704525,-0.0033341545536668127,0.04918683037922223
within_montage_reference,native16@car,native16@cz,3,both_feet,0.004415011037527594,0.01545253863134658,-0.011037527593818985,0.0022185246810870773,0.011647254575707155,0.6809631264818903,0.6625868694301366,0.01837625705175372,0.08205426396488963
