seed,probe_seed,reference_seed,encoder,defense,train_view,training_views,test_view,reference_view,montage,n_observed_channels,observed_channel_fraction,missing_channel_fill,n_train,n_val,n_test,probe,probe_objective,consistency_weight,selected_c,selected_epoch,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,7,7,reve,car_canonicalize,car,car,car,car,full,64,1.0,none,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.5601774819744869,0.5606731540069089,0.5498217586384654,0.827842817188217,1.0,0.0,1.0,0.0
7,7,7,reve,car_canonicalize,car,car,sparse32@car,car,sparse32,32,0.5,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.2922906267332224,0.29137715361350214,0.18299278122047713,0.6133452902881172,0.9472010859565462,0.32694043348116014,0.7015430035962412,0.26929600039340673
7,7,7,reve,car_canonicalize,car,car,sparse16@car,car,sparse16,16,0.25,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.2506932889628397,0.24944812362030905,0.10022172949002217,0.5568476484152083,0.8922124810573099,0.47455635640216687,0.5256734584999282,0.3112250303865998
7,7,7,reve,car_canonicalize,car,car,sparse8@car,car,sparse8,8,0.125,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.2872989462007765,0.2870198895703265,0.19766080583857232,0.557062412353815,0.8766784000340586,0.5143635262645806,0.41669303501574345,0.2736532644365824
7,7,7,reve,car_canonicalize,car,car,sparse32@cz,cz,sparse32,32,0.5,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.30061009428729896,0.30029940354432516,0.2006825552370144,0.6050231189098478,0.9093510028061795,0.4290466378270128,0.5068046221819525,0.2603737504625837
7,7,7,reve,car_canonicalize,car,car,sparse16@cz,cz,sparse16,16,0.25,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.2512479201331115,0.2500098329867205,0.1024645874356857,0.540880398607818,0.8861369577576036,0.48849731074349856,0.3081660406838313,0.31066332102018834
7,7,7,reve,car_canonicalize,car,car,sparse8@cz,cz,sparse8,8,0.125,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.2789794786466999,0.2783976547476369,0.18176884572596358,0.5526800961296718,0.8711841454263921,0.5264801181093894,0.25614361306100475,0.282275499259272
7,7,7,reve,car_canonicalize,car,car,drop_left_motor@cz,cz,drop_left_motor,55,0.859375,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.4259567387687188,0.42683839918016875,0.376201620114983,0.7907960455156762,0.993472259100777,0.11349174777899083,0.9487888923842298,0.13383475482674012
7,7,7,reve,car_canonicalize,car,car,drop_right_motor@cz,cz,drop_right_motor,55,0.859375,zero,6300,1734,1803,reve_token,car_only,0.0,,9,0.5271997097230485,0.0,0.0,0.5085967831392124,0.5091283196445694,0.4751199353839153,0.8005179322768801,0.992969466467652,0.11783043754815373,0.9368695878443227,0.051544834362339476
