probe_seed,reference_seed,defense,test_view,n_subjects,n_resamples,confidence,point_gap,bootstrap_mean_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
7,7,car_canonicalize,sparse32@car,20,10000,0.95,0.26929600039340673,0.26933283415510983,0.21435235291672664,0.32270430048852816,1.0,True
7,7,car_canonicalize,sparse16@car,20,10000,0.95,0.3112250303865998,0.31118600112060424,0.26057491123801774,0.3586556396132262,1.0,True
7,7,car_canonicalize,sparse8@car,20,10000,0.95,0.2736532644365824,0.27357438438790826,0.22537772927181002,0.320978608463238,1.0,True
7,7,car_canonicalize,sparse32@cz,20,10000,0.95,0.2603737504625837,0.26044049743070663,0.21889398004117958,0.30207402470189065,1.0,True
7,7,car_canonicalize,sparse16@cz,20,10000,0.95,0.31066332102018834,0.31062163970171874,0.26004736281720886,0.3584844582909748,1.0,True
7,7,car_canonicalize,sparse8@cz,20,10000,0.95,0.282275499259272,0.2821100013754538,0.2320799641093852,0.33130901345379415,1.0,True
7,7,car_canonicalize,drop_left_motor@cz,20,10000,0.95,0.13383475482674012,0.13379179160951882,0.09057519936718234,0.1752554255376304,1.0,True
7,7,car_canonicalize,drop_right_motor@cz,20,10000,0.95,0.051544834362339476,0.05136537647891053,0.02591094931040792,0.08006177800385496,1.0,True
