epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,learning_rate
1.0,1.4285439713039096,1.4187224656816513,0.009821506398656065,0.32980653262937015,0.32424480764709,6.45769549087854e-06
2.0,1.3652857628322783,1.355699537216671,0.009586227787510743,0.26266081948784953,0.2607402490617637,1.6733570872048158e-05
3.0,1.2652996951057798,1.25583988348643,0.00945981044085726,0.3174706949554612,0.3130406326131053,3.301973581024263e-05
4.0,1.1612558615396893,1.1516171422080388,0.00963871993715801,0.43077055357387684,0.43097453493675486,5.883156775208591e-05
5.0,1.0432738433565412,1.0330287727477059,0.010245073142032775,0.4759905896699377,0.46694118302080884,9.974056448166367e-05
6.0,0.9041882734450083,0.8931876510665531,0.011000622004743606,0.4745949248436856,0.47710220765500244,9.974056448166367e-05
7.0,0.7730637861433484,0.7615653457338848,0.011498442557122972,0.4533847896296421,0.45241496011786975,9.974056448166367e-05
8.0,0.6542904433371529,0.6426558768560016,0.011634566840080041,0.4886094997356516,0.485889818192823,9.974056448166367e-05
9.0,0.5669671860952226,0.5548116053286053,0.012155579781484982,0.5126891089891743,0.5121272746970748,9.974056448166367e-05
10.0,0.5176498215160673,0.5055346867773268,0.012115134537101738,0.49911821100730325,0.5044666340404522,9.974056448166367e-05
11.0,0.4826834315345401,0.47007645319378566,0.012606977669610863,0.5090189833098059,0.5055445846747673,9.974056448166367e-05
12.0,0.4140972752798171,0.40130359032797436,0.012793685573907126,0.48533389331947907,0.48071533567698205,9.974056448166367e-05
13.0,0.38377864129959594,0.37092009143223836,0.01285855008141389,0.5345385195836734,0.5283816544834555,9.974056448166367e-05
14.0,0.3179994520119258,0.3054818694742899,0.012517582858720469,0.472066400681063,0.464573425591206,9.974056448166367e-05
15.0,0.2828061337603463,0.2703712750521917,0.012434860569617104,0.5288914395806564,0.5229390300562823,9.974056448166367e-05
16.0,0.2536178821230692,0.24155425375416165,0.012063628719557845,0.5093190050383394,0.5073922017551379,9.974056448166367e-05
17.0,0.21621201134863355,0.2043939880435429,0.01181802308866902,0.5085292044552654,0.5044769869987951,9.974056448166367e-05
18.0,0.19535430047247146,0.18360588293226937,0.011748417790328699,0.4872417905516573,0.48550569383981124,9.974056448166367e-05
19.0,0.18234210654856667,0.17083277482835074,0.011509331051437628,0.5236041990815786,0.5151453915432084,4.9870282240831836e-05
