method,clean_car_bacc,native32_reference_bacc_mean,native16_reference_bacc_mean,native16_class_0_recall_mean,native16_class_1_recall_mean,native16_class_2_recall_mean,native16_class_3_recall_mean
joint_multiview_ce,0.5500344670692267,0.4797818494360261,0.4415992838083327,0.4915708812260536,0.4913194444444444,0.3248847926267281,0.4586220169361047
gqba_odd_even,0.539658146421301,0.46524535590328575,0.44043818989880745,0.4273946360153256,0.45698302469135804,0.4299155145929339,0.44745958429561206
gated_spectral_control,0.5513731762465655,0.4781208277987769,0.44443599127940747,0.4704980842911877,0.4635416666666667,0.342741935483871,0.5009622786759045
gqba_gated_ce,0.5458296962800192,0.4770620996736703,0.4412036078466491,0.47126436781609193,0.46585648148148145,0.35867895545314904,0.4690146266358737
gsra,0.5431586652807671,0.4759676712927176,0.4408865696662282,0.453448275862069,0.45177469135802467,0.3460061443932412,0.5123171670515781
