method,run_dir,probe_seed,test_view,n_trials,n_subjects,balanced_accuracy,macro_f1,worst_class_recall,class_0_recall,class_1_recall,class_2_recall,class_3_recall
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,car,1734,19,0.5571571068509946,0.5548029657646877,0.4078341013824885,0.5839080459770115,0.5717592592592593,0.4078341013824885,0.6651270207852193
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,cz,1734,19,0.5185279186900905,0.5080772258022269,0.271889400921659,0.5816091954022988,0.5254629629629629,0.271889400921659,0.6951501154734411
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,fz,1734,19,0.5508060859395307,0.5478446806776863,0.39400921658986177,0.5908045977011495,0.5717592592592593,0.39400921658986177,0.6466512702078522
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native16@car,1734,19,0.4510049591595725,0.4443617738307708,0.2672811059907834,0.5333333333333333,0.47453703703703703,0.2672811059907834,0.5288683602771362
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native16@cz,1734,19,0.4388590171249551,0.4265769740420975,0.2073732718894009,0.5724137931034483,0.45601851851851855,0.2073732718894009,0.5196304849884527
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native16@fz,1734,19,0.45452374970951714,0.4448693612376826,0.23732718894009217,0.5172413793103449,0.5069444444444444,0.23732718894009217,0.5565819861431871
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native16@pz,1734,19,0.4325610445078413,0.42145658895161636,0.20506912442396313,0.5241379310344828,0.44907407407407407,0.20506912442396313,0.5519630484988453
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native32@car,1734,19,0.5034538022915216,0.5007143099433294,0.3640552995391705,0.5816091954022988,0.5092592592592593,0.3640552995391705,0.558891454965358
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native32@cz,1734,19,0.47349836461047407,0.4670499534616497,0.27880184331797236,0.5471264367816092,0.4722222222222222,0.27880184331797236,0.5958429561200924
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native32@fz,1734,19,0.49888678487166965,0.4921323179823007,0.29493087557603687,0.5793103448275863,0.5254629629629629,0.29493087557603687,0.5958429561200924
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,native32@pz,1734,19,0.48617126181111825,0.4845037843755039,0.347926267281106,0.5517241379310345,0.5,0.347926267281106,0.5450346420323325
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s7,7,pz,1734,19,0.5450497084209132,0.5417047633182525,0.3847926267281106,0.5839080459770115,0.5787037037037037,0.3847926267281106,0.6327944572748267
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,car,1734,19,0.5410547127236685,0.5388530118207417,0.3986175115207373,0.5540229885057472,0.6134259259259259,0.3986175115207373,0.5981524249422633
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,cz,1734,19,0.5082804712100124,0.49939993551988887,0.2857142857142857,0.5126436781609195,0.6527777777777778,0.2857142857142857,0.581986143187067
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,fz,1734,19,0.5266443743700597,0.5238731403461082,0.38018433179723504,0.5333333333333333,0.5949074074074074,0.38018433179723504,0.5981524249422633
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native16@car,1734,19,0.443033562355896,0.44045396090250527,0.3548387096774194,0.43908045977011495,0.5671296296296297,0.3548387096774194,0.4110854503464203
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native16@cz,1734,19,0.4344983342505368,0.42400747908288805,0.25806451612903225,0.42758620689655175,0.6643518518518519,0.25806451612903225,0.38799076212471134
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native16@fz,1734,19,0.4413039433594654,0.4402760479958855,0.37327188940092165,0.4091954022988506,0.5300925925925926,0.37327188940092165,0.45265588914549654
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native16@pz,1734,19,0.44593891265285834,0.4441477864671795,0.3433179723502304,0.41839080459770117,0.5462962962962963,0.3433179723502304,0.47575057736720555
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native32@car,1734,19,0.4683594433805809,0.4638182148862137,0.315668202764977,0.5241379310344828,0.5625,0.315668202764977,0.47113163972286376
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native32@cz,1734,19,0.4546357513561338,0.443526571658185,0.24193548387096775,0.4827586206896552,0.6365740740740741,0.24193548387096775,0.45727482678983833
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native32@fz,1734,19,0.46494702534153765,0.45779125127897075,0.271889400921659,0.496551724137931,0.5532407407407407,0.271889400921659,0.5381062355658198
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,native32@pz,1734,19,0.46724581466627896,0.463505582237019,0.30414746543778803,0.48735632183908045,0.5486111111111112,0.30414746543778803,0.5288683602771362
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s21,21,pz,1734,19,0.5232028668846779,0.520125291453202,0.35714285714285715,0.5379310344827586,0.6203703703703703,0.35714285714285715,0.5773672055427251
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,car,1734,19,0.5559077091650333,0.5574418194161136,0.5046296296296297,0.5724137931034483,0.5046296296296297,0.5276497695852534,0.6189376443418014
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,cz,1734,19,0.5346632103809055,0.5358042594420223,0.4781609195402299,0.4781609195402299,0.48148148148148145,0.48847926267281105,0.6905311778290993
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,fz,1734,19,0.5392078574592842,0.5415096556877852,0.5069444444444444,0.5310344827586206,0.5069444444444444,0.5368663594470046,0.581986143187067
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native16@car,1734,19,0.4479844931519168,0.44637129078213184,0.32407407407407407,0.45977011494252873,0.32407407407407407,0.49539170506912444,0.5127020785219399
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native16@cz,1734,19,0.4359516247658416,0.4347041135315103,0.35648148148148145,0.4459770114942529,0.35648148148148145,0.39631336405529954,0.5450346420323325
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native16@fz,1734,19,0.4543474934449109,0.4529592835229934,0.33564814814814814,0.4436781609195402,0.33564814814814814,0.5184331797235023,0.5196304849884527
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native16@pz,1734,19,0.45322476086957797,0.45251575317819115,0.35185185185185186,0.45517241379310347,0.35185185185185186,0.45622119815668205,0.5496535796766744
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native32@car,1734,19,0.48840053547664264,0.4891968543049936,0.4074074074074074,0.503448275862069,0.4074074074074074,0.49078341013824883,0.5519630484988453
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native32@cz,1734,19,0.47403807106907747,0.4741844865947038,0.39351851851851855,0.47126436781609193,0.39351851851851855,0.41705069124423966,0.6143187066974596
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native32@fz,1734,19,0.48381749885312186,0.4855862757278458,0.41898148148148145,0.4850574712643678,0.41898148148148145,0.4769585253456221,0.5542725173210161
gated_spectral_control,outputs/reve_gsra_screen/gated_spectral_control_s42,42,native32@pz,1734,19,0.47399557985716556,0.4755346337737175,0.40046296296296297,0.4942528735632184,0.40046296296296297,0.45161290322580644,0.5496535796766744
