method,test_view,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,class_0_recall_mean,class_1_recall_mean,class_2_recall_mean,class_3_recall_mean
gated_spectral_control,car,0.5513731762465655,0.008957860556485482,0.43702708084428515,0.5701149425287356,0.5632716049382717,0.4447004608294931,0.6274056966897613
gated_spectral_control,cz,0.5204905334270028,0.013300418188688762,0.3452548687253915,0.5241379310344828,0.5532407407407407,0.3486943164362519,0.6558891454965358
gated_spectral_control,fz,0.5388861059229583,0.012084068831727305,0.4270459976105137,0.5517241379310345,0.5578703703703703,0.4370199692780338,0.6089299461123941
gated_spectral_control,native16@car,0.4473410048891284,0.004024468860443026,0.3153979632474256,0.47739463601532567,0.4552469135802469,0.3725038402457757,0.48421862971516544
gated_spectral_control,native16@cz,0.43643632538044447,0.002220380552328521,0.2739730898333049,0.481992337164751,0.49228395061728397,0.28725038402457753,0.48421862971516555
gated_spectral_control,native16@fz,0.4500583955046311,0.0075820901365785155,0.31541574216305396,0.45670498084291183,0.4575617283950617,0.37634408602150543,0.5096227867590454
gated_spectral_control,native16@pz,0.4439082393434259,0.010480458913464007,0.3000796495420151,0.46590038314176246,0.4490740740740741,0.3348694316436252,0.5257890685142418
gated_spectral_control,native32@car,0.48673792704958174,0.01760615537046011,0.36237696990385165,0.5363984674329502,0.4930555555555556,0.3901689708141321,0.527328714395689
gated_spectral_control,native32@cz,0.4673907290118951,0.011049430393219015,0.3047519485691529,0.5003831417624521,0.5007716049382717,0.31259600614439326,0.5558121632024634
gated_spectral_control,native32@fz,0.4825504363554431,0.017005319896155,0.32860058599305914,0.5203065134099617,0.4992283950617284,0.34792626728110604,0.5627405696689761
gated_spectral_control,native32@pz,0.4758042187781876,0.009591481557507347,0.35084556522728566,0.5111111111111111,0.4830246913580247,0.36789554531490015,0.5411855273287144
gated_spectral_control,pz,0.5369691055943118,0.011981901469431447,0.41012046993229784,0.5540229885057472,0.5625,0.423963133640553,0.6073903002309469
gqba_gated_ce,car,0.5458296962800192,0.009160877215386094,0.435093666684323,0.5540229885057472,0.5956790123456791,0.4439324116743472,0.5896843725943034
