montage_size,base_view,target_view,reference,base_balanced_accuracy,target_balanced_accuracy,balanced_accuracy_gap,prediction_disagreement,target_macro_auroc_ovr,paired_cosine_to_full_car,linear_cka_to_full_car
32,native32@car,native32@cz,cz,0.490037479359131,0.4871224268729844,0.0029150524861465965,0.21797004991680533,0.7478008850712968,0.945782212659402,0.639329312459835
32,native32@car,native32@pz,pz,0.490037479359131,0.4816731239883193,0.008364355370811705,0.382140876317249,0.7525222579244534,0.9327758856803456,0.5797486899425245
32,native32@car,native32@fz,fz,0.490037479359131,0.43575096182035483,0.05428651753877617,0.2634498058790904,0.748850094755638,0.9370105734636838,0.6733026350978419
16,native16@car,native16@cz,cz,0.38443157166219133,0.38495884377244954,-0.0005272721102582145,0.115363283416528,0.6980707914333021,0.8682024500090599,0.4609478482664449
16,native16@car,native16@pz,pz,0.38443157166219133,0.4205482298532667,-0.036116658191075346,0.2839711591791459,0.6995990000237969,0.860954551785457,0.4466228316193348
16,native16@car,native16@fz,fz,0.38443157166219133,0.3725812010932232,0.01185037056896815,0.18136439267886856,0.6849928110463757,0.8621458437533709,0.5219794818049657
