montage_size,base_view,target_view,reference,class_index,class_name,base_recall,target_recall,recall_gap,base_predicted_fraction,target_predicted_fraction,base_auroc,target_auroc,auroc_gap
32,native32@car,native32@cz,cz,0,left_fist,0.6851441241685144,0.6164079822616408,0.0687361419068736,0.34775374376039936,0.310038824181919,0.8044057256064762,0.7842680302811635,0.02013769532531262
32,native32@car,native32@cz,cz,1,right_fist,0.732739420935412,0.7149220489977728,0.017817371937639215,0.3954520244037715,0.3777038269550749,0.8037506620653808,0.7860073098597573,0.017743352205623508
32,native32@car,native32@cz,cz,2,both_fists,0.21555555555555556,0.19111111111111112,0.024444444444444435,0.100942872989462,0.09428729894620078,0.7118748460211874,0.7043114067504311,0.007563439270756311
32,native32@car,native32@cz,cz,3,both_feet,0.32671081677704195,0.4260485651214128,-0.09933774834437087,0.15585135884636717,0.21797004991680533,0.7368179216744337,0.7166167933938353,0.02020112828059839
32,native32@car,native32@pz,pz,0,left_fist,0.6851441241685144,0.5299334811529933,0.15521064301552112,0.34775374376039936,0.21408763172490294,0.8044057256064762,0.8007862212834072,0.0036195043230690116
32,native32@car,native32@pz,pz,1,right_fist,0.732739420935412,0.5812917594654788,0.15144766146993316,0.3954520244037715,0.25734886300610094,0.8037506620653808,0.7924634753744575,0.011287186690923323
32,native32@car,native32@pz,pz,2,both_fists,0.21555555555555556,0.13555555555555557,0.07999999999999999,0.100942872989462,0.06600110926234054,0.7118748460211874,0.6967019791410035,0.015172866880183933
32,native32@car,native32@pz,pz,3,both_feet,0.32671081677704195,0.6799116997792495,-0.35320088300220753,0.15585135884636717,0.46256239600665555,0.7368179216744337,0.7201373558989453,0.016680565775488376
32,native32@car,native32@fz,fz,0,left_fist,0.6851441241685144,0.7716186252771619,-0.0864745011086474,0.34775374376039936,0.4581253466444814,0.8044057256064762,0.7965123525630091,0.007893373043467045
32,native32@car,native32@fz,fz,1,right_fist,0.732739420935412,0.7193763919821826,0.013363028953229383,0.3954520244037715,0.4248474764281753,0.8037506620653808,0.7956265852559273,0.008124076809453484
32,native32@car,native32@fz,fz,2,both_fists,0.21555555555555556,0.05333333333333334,0.1622222222222222,0.100942872989462,0.029950083194675542,0.7118748460211874,0.7013090252114642,0.010565820809723236
32,native32@car,native32@fz,fz,3,both_feet,0.32671081677704195,0.1986754966887417,0.12803532008830024,0.15585135884636717,0.08707709373266778,0.7368179216744337,0.7019524159921511,0.03486550568228264
16,native16@car,native16@cz,cz,0,left_fist,0.7716186252771619,0.7760532150776053,-0.0044345898004434225,0.49528563505268997,0.511924570160843,0.7735931985462943,0.7614128366942626,0.01218036185203164
16,native16@car,native16@cz,cz,1,right_fist,0.7616926503340757,0.7483296213808464,0.013363028953229383,0.5013865779256794,0.47420965058236275,0.7513808792228256,0.7504252022383566,0.0009556769844689672
16,native16@car,native16@cz,cz,2,both_fists,0.0,0.0,0.0,0.0011092623405435386,0.0022185246810870773,0.6145241028167857,0.6178582573704525,-0.0033341545536668127
16,native16@car,native16@cz,cz,3,both_feet,0.004415011037527594,0.01545253863134658,-0.011037527593818985,0.0022185246810870773,0.011647254575707155,0.6809631264818903,0.6625868694301366,0.01837625705175372
16,native16@car,native16@pz,pz,0,left_fist,0.7716186252771619,0.738359201773836,0.03325942350332589,0.49528563505268997,0.44980587909040487,0.7735931985462943,0.7699195738595365,0.0036736246867578037
16,native16@car,native16@pz,pz,1,right_fist,0.7616926503340757,0.6258351893095768,0.13585746102449892,0.5013865779256794,0.3632834165280089,0.7513808792228256,0.7362545357646896,0.015126343458136016
16,native16@car,native16@pz,pz,2,both_fists,0.0,0.017777777777777778,-0.017777777777777778,0.0011092623405435386,0.010537992235163616,0.6145241028167857,0.6238137472283815,-0.009289644411595743
16,native16@car,native16@pz,pz,3,both_feet,0.004415011037527594,0.30022075055187636,-0.29580573951434874,0.0022185246810870773,0.17637271214642264,0.6809631264818903,0.6684081432425804,0.012554983239309925
16,native16@car,native16@fz,fz,0,left_fist,0.7716186252771619,0.8514412416851441,-0.07982261640798227,0.49528563505268997,0.6062118691070438,0.7735931985462943,0.7590446607801203,0.01454853776617393
16,native16@car,native16@fz,fz,1,right_fist,0.7616926503340757,0.6035634743875279,0.15812917594654785,0.5013865779256794,0.3771491957848031,0.7513808792228256,0.7274807301964319,0.023900149026393702
16,native16@car,native16@fz,fz,2,both_fists,0.0,0.0,0.0,0.0011092623405435386,0.0,0.6145241028167857,0.6114116777531412,0.0031124250636445083
16,native16@car,native16@fz,fz,3,both_feet,0.004415011037527594,0.03532008830022075,-0.030905077262693155,0.0022185246810870773,0.016638935108153077,0.6809631264818903,0.6420341754558091,0.03892895102608118
