method,test_view,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,class_0_recall_mean,class_1_recall_mean,class_2_recall_mean,class_3_recall_mean
film_spectral_control,car,0.5385341266904217,0.00666598948739032,0.4512226703987115,0.5417624521072797,0.6118827160493827,0.4539170506912442,0.5465742879137798
film_spectral_control,cz,0.5192330347739584,0.014264424285179142,0.2941628264208909,0.5049808429118774,0.6157407407407408,0.2941628264208909,0.6620477290223249
film_spectral_control,fz,0.5354707602598805,0.007791654119920619,0.4443279128484912,0.5272030651340996,0.6118827160493827,0.4554531490015361,0.5473441108545035
film_spectral_control,native16@car,0.446765973748431,0.005292288317291508,0.35222381128943975,0.4904214559386973,0.4868827160493827,0.3740399385560676,0.4357197844495766
film_spectral_control,native16@cz,0.42418707555638796,0.014956823128621085,0.21658986175115205,0.47509578544061304,0.5254629629629629,0.21658986175115205,0.4795996920708237
film_spectral_control,native16@fz,0.4383151074401634,0.00824950345578132,0.3437929268852517,0.4666666666666666,0.4699074074074074,0.37480798771121354,0.44187836797536567
film_spectral_control,native16@pz,0.44042810900799495,0.007020862914976795,0.3453184314140933,0.46513409961685825,0.4637345679012346,0.3786482334869432,0.4541955350269438
film_spectral_control,native32@car,0.4732971367920195,0.004333618383740047,0.36975447260033417,0.5279693486590038,0.5277777777777778,0.3878648233486943,0.44957659738260203
film_spectral_control,native32@cz,0.45861054009883784,0.0070399505011051276,0.27419354838709675,0.47739463601532567,0.5424382716049383,0.27419354838709675,0.5404157043879908
film_spectral_control,native32@fz,0.4710244189295923,0.01079736385954505,0.35867895545314904,0.5095785440613027,0.5254629629629629,0.35867895545314904,0.49037721324095457
film_spectral_control,native32@pz,0.4698177191564978,0.014944238239950756,0.3851172294888305,0.5103448275862069,0.49382716049382713,0.4155145929339478,0.45958429561200925
film_spectral_control,pz,0.5308455958607664,0.0038184589877392895,0.44968834587399736,0.5287356321839081,0.6033950617283951,0.4546850998463901,0.5365665896843727
gqba_film_ce,car,0.5367638678141414,0.014985868856097736,0.43123920208029576,0.5601532567049808,0.5856481481481481,0.456989247311828,0.544264819091609
gqba_film_ce,cz,0.5199123615050082,0.015154996246619238,0.37748998004837825,0.5210727969348659,0.5871913580246914,0.3901689708141321,0.5812163202463433
gqba_film_ce,fz,0.5329701885113617,0.019504918093898073,0.4127918320721718,0.5333333333333333,0.6141975308641975,0.4431643625192012,0.5411855273287144
gqba_film_ce,native16@car,0.4336576426010676,0.008003695650361272,0.3174934281244346,0.5065134099616858,0.4498456790123457,0.34178187403993854,0.4364896073903002
gqba_film_ce,native16@cz,0.4317970586922178,0.00733107437259695,0.2875341897170103,0.49885057471264366,0.5015432098765432,0.2980030721966206,0.4287913779830639
gqba_film_ce,native16@fz,0.43697229032380847,0.012278750662130775,0.3377816180235535,0.4582375478927203,0.4552469135802469,0.36943164362519204,0.4649730561970747
gqba_film_ce,native16@pz,0.4465721527165589,0.010909546025819282,0.33824317181241864,0.49348659003831413,0.470679012345679,0.35407066052227343,0.4680523479599692
gqba_film_ce,native32@car,0.47172157338085924,0.010594660212904406,0.3536201189855366,0.5509578544061302,0.5054012345679012,0.38172043010752693,0.4488067744418784
gqba_film_ce,native32@cz,0.46083754591550447,0.010022950122106718,0.3444265883362956,0.5019157088122606,0.5246913580246914,0.35023041474654376,0.46651270207852197
gqba_film_ce,native32@fz,0.46985329729114306,0.020494031548229107,0.33057509676000324,0.5226053639846744,0.5200617283950617,0.3556067588325653,0.481139337952271
gqba_film_ce,native32@pz,0.4740234463004358,0.009191956286261703,0.38971488170623986,0.5417624521072797,0.4930555555555556,0.4009216589861751,0.46035411855273284
gqba_film_ce,pz,0.5329395678723737,0.004816199508913552,0.42202438600412223,0.5471264367816092,0.5918209876543209,0.44623655913978494,0.5465742879137798
gqra,car,0.525429647396029,0.01226706271063147,0.4339477726574501,0.5340996168582376,0.5462962962962963,0.4339477726574501,0.5873749037721324
gqra,cz,0.5197002957547321,0.013651338463048446,0.4147465437788018,0.5118773946360153,0.5594135802469136,0.4147465437788018,0.5927636643571979
gqra,fz,0.5294769828644929,0.022202541689227945,0.4481434398008369,0.5218390804597701,0.558641975308642,0.4608294930875576,0.5765973826020016
gqra,native16@car,0.4348371734952903,0.014573765462821653,0.3563748079877112,0.48275862068965525,0.4598765432098766,0.3563748079877112,0.4403387220939184
gqra,native16@cz,0.4350328439478181,0.006987522538385799,0.33200299415005513,0.49731800766283524,0.4868827160493827,0.3486943164362519,0.40723633564280215
gqra,native16@fz,0.4427353708631565,0.020476642395155235,0.3787753588643466,0.46513409961685825,0.46759259259259256,0.38632872503840243,0.45188606620477295
gqra,native16@pz,0.44252693453472575,0.01586484107352156,0.3806345675088723,0.4704980842911877,0.45601851851851855,0.39170506912442393,0.45188606620477295
gqra,native32@car,0.46887054017012914,0.02484188454888033,0.38632872503840243,0.514176245210728,0.49845679012345673,0.38632872503840243,0.47652040030792914
gqra,native32@cz,0.456966597848317,0.017620070783006078,0.3604527410308533,0.4904214559386973,0.49691358024691357,0.3832565284178187,0.45727482678983833
gqra,native32@fz,0.4673734183909504,0.016842996092879342,0.3709677419354838,0.48888888888888893,0.5061728395061729,0.3709677419354838,0.5034642032332562
gqra,native32@pz,0.467698899535159,0.019485251073366915,0.41587999276295484,0.5049808429118774,0.4868827160493827,0.4224270353302611,0.45650500384911474
gqra,pz,0.5196626169272996,0.0254594669745122,0.4381570351536981,0.5256704980842911,0.5509259259259259,0.4439324116743471,0.5581216320246344
gsra,car,0.5431586652807671,0.009473876923328642,0.4189646344262585,0.5210727969348659,0.5709876543209876,0.4447004608294931,0.6358737490377213
gsra,cz,0.5212789362902616,0.013503616082505993,0.32915232092095276,0.5057471264367815,0.5547839506172839,0.3548387096774193,0.6697459584295612
gsra,fz,0.5324152528689464,0.018838830231570604,0.4013242226812861,0.5026819923371647,0.5756172839506172,0.4270353302611367,0.6243264049268668
gsra,native16@car,0.44562346537531355,0.008824378863513,0.29237426750867607,0.46513409961685825,0.4405864197530864,0.35714285714285715,0.5196304849884527
gsra,native16@cz,0.434893037844148,0.005564662413952265,0.2778026682596575,0.4628352490421456,0.47608024691358025,0.3156682027649769,0.48498845265588914
gsra,native16@fz,0.437202751736997,0.01731507313388238,0.2954535756955112,0.421455938697318,0.44290123456790126,0.36482334869431643,0.5196304849884527
gsra,native16@pz,0.4458270237084543,0.0050719993185985865,0.2885446890823235,0.464367816091954,0.44753086419753085,0.34639016897081415,0.5250192455735181
gsra,native32@car,0.48483099104268185,0.02199887810441251,0.35163494908118564,0.5088122605363985,0.47685185185185186,0.3986175115207373,0.5550423402617398
gsra,native32@cz,0.46891426967636446,0.023377913249017872,0.32318512829265517,0.4727969348659004,0.4753086419753086,0.37019969278033793,0.5573518090839107
gsra,native32@fz,0.4704796990772994,0.020904305090079574,0.3086455310917677,0.47356321839080456,0.49845679012345684,0.34715821812596004,0.5627405696689761
gsra,native32@pz,0.4796457253745247,0.021345217324232633,0.35467869943676394,0.4957854406130268,0.47222222222222227,0.4009216589861751,0.5496535796766744
gsra,pz,0.5391264031527414,0.004253741192977662,0.4120592545509119,0.5187739463601532,0.5717592592592592,0.4339477726574501,0.632024634334103
joint_multiview_ce,car,0.5500344670692267,0.008875945197580297,0.4420078543225381,0.5670498084291188,0.5871913580246914,0.4600614439324116,0.5858352578906851
joint_multiview_ce,cz,0.5254740802433592,0.013036058544749407,0.3786482334869432,0.5379310344827587,0.5756172839506173,0.3786482334869432,0.6096997690531177
joint_multiview_ce,fz,0.5408240590654242,0.0177732765168954,0.4235569367432587,0.5509578544061302,0.5933641975308642,0.4508448540706606,0.5681293302540416
joint_multiview_ce,native16@car,0.44272577438301947,0.00447850857639817,0.33395559538032654,0.5080459770114942,0.4845679012345679,0.33410138248847926,0.44418783679753654
