method,clean_car_bacc,native32_reference_bacc_mean,native16_reference_bacc_mean,native16_class_0_recall_mean,native16_class_1_recall_mean,native16_class_2_recall_mean,native16_class_3_recall_mean
joint_multiview_ce,0.5500344670692267,0.4797818494360261,0.4415992838083327,0.4915708812260536,0.4913194444444444,0.3248847926267281,0.4586220169361047
gsra,0.5431586652807671,0.4759676712927176,0.4408865696662282,0.453448275862069,0.45177469135802467,0.3460061443932412,0.5123171670515781
film_spectral_control,0.5385341266904217,0.46818745374423687,0.43742406643824433,0.4743295019157088,0.48649691358024694,0.3360215053763441,0.45284834488067743
gqba_film_ce,0.5367638678141414,0.4691089657219856,0.4372497860834132,0.48927203065134095,0.46932870370370366,0.34082181259600614,0.449576597382602
gqra,0.525429647396029,0.4652273639861389,0.4387830807102477,0.4789272030651341,0.4675925925925926,0.37077572964669736,0.4378367975365666
