epoch,train_loss,train_ce_loss,train_consistency_loss,train_auxiliary_preservation_loss,train_auxiliary_residual_consistency_loss,train_auxiliary_gate_supervision_loss,validation_auxiliary_preservation_loss,validation_auxiliary_consistency_loss,validation_auxiliary_gate_target_mean,validation_auxiliary_gate_nontarget_mean,validation_auxiliary_gate_supervision_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.5081842864001238,1.4268528371387057,0.0,1.5726716765387066e-05,3.177668723988102e-08,0.8131572989181236,6.79176882840693e-05,8.170783927924363e-13,0.3310790956020355,0.33130455017089844,0.7540147417810659,0.2699442951959545,0.2581416465717719,0.001053103245794773,0.8877777777777778,6.450892358088527e-06
2.0,1.4831358552862097,1.4119567168200458,0.0,6.265269616388078e-05,4.454459503188412e-07,0.7111645176675585,9.968697122531012e-05,2.673637353178826e-12,0.481452614068985,0.481783002614975,0.6942307462903898,0.24444940476190474,0.252608024691358,0.0007752006640657783,0.43222222222222223,1.6722788633201854e-05
3.0,1.4870654664216219,1.4172110008310388,0.0,0.0003455432217473302,3.5354581821054497e-06,0.6950857453876071,0.0002324813831364736,7.705951328429439e-12,0.47419360280036926,0.47503551840782166,0.6955971045251471,0.259796626984127,0.25967482363315697,0.0006652916199527681,0.4077777777777778,3.3002647113295634e-05
4.0,1.4759256431791516,1.4057437838448419,0.0,0.0006829273301883842,7.781640160828829e-06,0.6949815757186325,0.0007759444997645915,4.174757414765473e-11,0.47863757610321045,0.4810048043727875,0.6976011330596995,0.3803194356651215,0.3601268953582744,0.007360689342021942,0.6044444444444445,5.880448399262659e-05
5.0,1.3684778321230853,1.29749834784755,0.0,0.0012749804975033772,1.3056271680532653e-05,0.6970319791193361,0.0004226454475428909,2.5501463163379867e-09,0.46132874488830566,0.4617833197116852,0.6983975487847035,0.49670174006180645,0.4309490691966725,0.027959613129496574,0.5122222222222222,9.969763961567034e-05
6.0,1.2655498103742246,1.1948818586490773,0.0,0.001137819070006824,1.5543961851141862e-05,0.695285845067766,0.0017096406081691384,1.8687062208755378e-07,0.5020552277565002,0.5027924180030823,0.6973258976899634,0.5624659362269981,0.48924340282655177,0.053849682211875916,0.64,9.969763961567034e-05
7.0,1.2071488869631732,1.1364630997622454,0.0,0.001245186363640069,2.279671450432269e-05,0.6943832342712968,0.0008759071351960301,8.394924861931941e-07,0.47239214181900024,0.46731269359588623,0.6910422557481803,0.5466002510886361,0.48114936457211527,0.06258994340896606,0.65,9.969763961567034e-05
8.0,1.162237897625676,1.0921117351673268,0.0,0.0012602044705353264,3.439929396672933e-05,0.6886253296887433,0.0010015423176810145,1.8655172198123182e-06,0.46598392724990845,0.4557739496231079,0.6897701398154018,0.5856797390785222,0.5076927207707075,0.0680333748459816,0.6233333333333333,9.969763961567034e-05
9.0,1.1373837287337691,1.0679964459383928,0.0,0.0009878188046126592,3.864062570587352e-05,0.6839560733018099,0.002740929601714015,5.157501618668903e-06,0.5139775276184082,0.5063872933387756,0.6922692160243661,0.569926341480545,0.5091420796850369,0.06438351422548294,0.6144444444444445,9.969763961567034e-05
10.0,1.1045924638818811,1.0357926771375867,0.0,0.0010126119548523867,5.307132071013459e-05,0.6778186873153403,0.0017025796696543694,1.053432424669154e-05,0.411300390958786,0.3943941593170166,0.703812008746153,0.6020902689984547,0.5350998501662217,0.07968136668205261,0.6322222222222222,9.969763961567034e-05
11.0,1.0836558693426628,1.0146817768944634,0.0,0.0013254859063912322,6.956836213012813e-05,0.6764164982018648,0.0013137372443452477,1.555385097162798e-05,0.5069607496261597,0.48168057203292847,0.6726370340442027,0.6087123367045933,0.5403671561626945,0.0813131108880043,0.6388888888888888,9.969763961567034e-05
12.0,1.0593827643217864,0.991545434527927,0.0,0.001466425328032562,0.00010217777342337218,0.6636068501295866,0.0012992341071367264,2.8469619792304002e-05,0.48777952790260315,0.4596903920173645,0.6709623773202403,0.5687981106897037,0.49736346201869797,0.08805722743272781,0.5877777777777777,9.969763961567034e-05
13.0,1.035260297987196,0.9679392531183031,0.0,0.0016050708849258996,0.00011707630442860708,0.6570426383724919,0.001517029944807291,3.2462485251016915e-05,0.4929008185863495,0.457827627658844,0.6666944669494577,0.631270587512291,0.5460097196859733,0.08067558705806732,0.7044444444444444,9.969763961567034e-05
