defense,test_view,n_probe_seeds,balanced_accuracy_mean,balanced_accuracy_std,gap_from_car_mean,gap_from_car_std,paired_cosine_mean,linear_cka_mean
none,car,3,0.5727141506743245,0.014728618570583418,0.0,0.0,1.0,1.0
none,cz,3,0.5374733913753051,0.02701787719609829,0.03524075929901937,0.02171931173735342,0.9802468118460798,0.7696884956064688
none,fcz,3,0.5501068445335987,0.02680330412885756,0.02260730614072573,0.020562589021101873,0.9796015676877232,0.7725128605043469
none,pz,3,0.5601336194487795,0.01689076957008328,0.012580531225545033,0.01582760924929966,0.9796095851304872,0.7506596117282506
none,random_linear,3,0.5725666023904504,0.012414655738227745,0.00014754828387413335,0.0027438435336583607,0.9997478882625611,0.9949260851422678
