condition,batch_size,repeat,target_view,montage,held_out_reference,base_prior_weight,class_trust_caps,applied_class_weights,safe_bias,target_reference_labels_used
random,16,0,native16@C1,native16,c1,0.2199996978793542,"[0.21619574204306796, 0.06849602727058686, 0.5302609647624494, 0.49278858524761615]","[0.21619574204306796, 0.06849602727058686, 0.2199996978793542, 0.2199996978793542]","[-0.6118342686979459, 0.8499846047892502, 0.8040312016309243]",False
random,16,0,native16@C2,native16,c2,0.2159355686074812,"[0.21266340349769763, 0.052993592335013016, 0.5260396007436161, 0.49976523965849634]","[0.21266340349769763, 0.052993592335013016, 0.2159355686074812, 0.2159355686074812]","[-0.4458097449372413, 0.8562293614725696, 0.8769625550927596]",False
random,16,0,native16@C3,native16,c3,0.2277536916321601,"[0.22422277268053378, 0.07322984013050966, 0.5255039983321884, 0.5053106316678027]","[0.22422277268053378, 0.07322984013050966, 0.2277536916321601, 0.2277536916321601]","[-0.5745702562570107, 0.9728700074547918, 0.7318626317743555]",False
random,16,0,native16@C4,native16,c4,0.2299757154690085,"[0.2246815998901182, 0.0767285490421757, 0.5315011499054225, 0.5054570287769977]","[0.2246815998901182, 0.0767285490421757, 0.2299757154690085, 0.2299757154690085]","[-0.16367208681084228, 0.8804945753856936, 0.8648877542258652]",False
random,16,0,native16@CP1,native16,cp1,0.2268947004044459,"[0.2218551997058541, 0.07475279292232036, 0.5238839826919109, 0.5037047692960145]","[0.2218551997058541, 0.07475279292232036, 0.2268947004044459, 0.2268947004044459]","[-0.5068275912487454, 0.7698088500809265, 0.8825729228842657]",False
random,16,0,native16@CP2,native16,cp2,0.2282083728497658,"[0.22154211475117394, 0.07709404156372103, 0.5289930459454572, 0.5059681043073283]","[0.22154211475117394, 0.07709404156372103, 0.2282083728497658, 0.2282083728497658]","[-0.5046973614636643, 0.7975704634519207, 0.9411974454990649]",False
random,16,0,native16@CP3,native16,cp3,0.2261609376995908,"[0.22064592453671678, 0.07655011005646524, 0.5234015629045371, 0.5046774956064723]","[0.22064592453671678, 0.07655011005646524, 0.2261609376995908, 0.2261609376995908]","[-0.4593546656520483, 0.8666180397573269, 0.825769397513119]",False
random,16,0,native16@CP4,native16,cp4,0.2232923347554762,"[0.21598599617485503, 0.07389023833304033, 0.5291207432113468, 0.5024181535945702]","[0.21598599617485503, 0.07389023833304033, 0.2232923347554762, 0.2232923347554762]","[-0.3429942405317453, 0.8323942308028873, 0.9554949842693411]",False
random,16,0,native16@CPz,native16,cpz,0.2301276240609233,"[0.22324023030500212, 0.07708070652358644, 0.5329956431076646, 0.5079229032693]","[0.22324023030500212, 0.07708070652358644, 0.2301276240609233, 0.2301276240609233]","[-0.5335093920213798, 0.7547525063856935, 0.9111292768655892]",False
random,16,0,native16@Cz,native16,cz,0.228126974619497,"[0.22099344656359676, 0.0790766795973, 0.5261560166112458, 0.5032166674456402]","[0.22099344656359676, 0.0790766795973, 0.228126974619497, 0.228126974619497]","[-0.5538093762738817, 0.7854763046809217, 0.8087062203757698]",False
