held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@C2,native16,random,32,0,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.6732879423840583, 0.7423237568434967, 1.080220568444727]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,random,32,1,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.6132944785043665, 1.0209194388753098, 0.9441136555012088]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,random,32,2,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.5128913159446645, 0.6731441930331736, 1.0863423625221087]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,random,32,3,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.24631516079513574, 0.7359666276434604, 1.0219815008847846]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,random,32,4,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.491418417776653, 0.7429597455569725, 1.0487433326813067]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,balanced,128,0,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.6934596473980875, 0.8768507994313091, 1.138419314888737]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,balanced,128,1,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.635308600389908, 0.8086251444805407, 1.0529437305661382]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,balanced,128,2,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.5538375205612128, 0.7410160248512823, 1.1438453162460114]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,balanced,128,3,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.5113763971050876, 0.7442481062150771, 1.0677337191166594]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,balanced,128,4,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.4288796829524025, 0.7275590837077893, 0.9958883458163638]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_0,128,0,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.9941035117111516, 0.9752860795132726, 1.0545701296964456]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_0,128,1,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.9797532978029376, 1.068205974508189, 1.0386986780570646]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_0,128,2,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-1.0932918319813116, 1.1406755636589212, 1.0578709886356137]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_0,128,3,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-1.000918221877381, 1.0544740262482397, 1.0557140470168118]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_0,128,4,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-1.1031277102527315, 1.0593105176464188, 1.0398982391387652]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_1,128,0,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.09109072138859557, 0.4310761650994472, 1.0438611050610462]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_1,128,1,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.024056334048548254, 0.44036650813071304, 1.0354965594365697]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_1,128,2,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.03584701393028631, 0.4410971715259788, 1.0336490393290447]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_1,128,3,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[0.05057017067966649, 0.4855679398888151, 0.9731034984839043]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_1,128,4,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.026049416947240327, 0.45030151289565284, 1.0209823064011456]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_2,128,0,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.42547517797540907, 0.8370904753279304, 0.8933679830940454]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_2,128,1,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.6154857057526144, 0.8833274877324825, 0.9485101615477175]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_2,128,2,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.5346665422603608, 0.8508398753569665, 0.9279434253675483]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_2,128,3,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.5656089862343092, 0.8579769431760024, 0.9200838766547328]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_2,128,4,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.4430797416005611, 0.8079459890896453, 0.954394674494956]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_3,128,0,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.45370142419435083, 0.8319630630263676, 1.0543160236918059]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_3,128,1,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.3375930872348306, 0.7400829681268687, 1.0534496484927098]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_3,128,2,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.38007878159560315, 0.8427200995966687, 1.0821223580056738]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_3,128,3,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.41345117471146275, 0.842708389316993, 1.1128099773085252]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
c1,native16@C2,native16,skew_0.7_class_3,128,4,"[-0.4842536374604083, 0.8799831551288033, 0.8834724523423876]","[-0.2787766132501467, 0.7260284863504607, 1.0782651072017555]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",False
