held_out_reference,n_source_examples,n_source_views,source_gate_resamples,class_trust_caps,cap_left_fist,cap_right_fist,cap_both_fists,cap_both_feet,source_condition_audit,all_source_conditions_improve_topology,target_reference_labels_used
cp5,1410,47,5,"[0.20323606263828406, 0.2586150664430668, 0.5687490142675843, 0.22210660549054653]",0.20323606263828406,0.2586150664430668,0.5687490142675843,0.22210660549054653,"{""balanced"": {""topology_mean_rmse"": 0.2208804857918934, ""safe_mean_rmse"": 0.16533912525135752}, ""random"": {""topology_mean_rmse"": 0.2208804857918934, ""safe_mean_rmse"": 0.1725498689921194}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2208804857918934, ""safe_mean_rmse"": 0.20176783074654148}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2208804857918934, ""safe_mean_rmse"": 0.21201456739804303}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2208804857918934, ""safe_mean_rmse"": 0.17301896033245714}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2208804857918934, ""safe_mean_rmse"": 0.18353142670635555}}",True,False
cp6,1410,47,5,"[0.21764218984874031, 0.24447908224638693, 0.5782487070408457, 0.22876943056747767]",0.21764218984874031,0.24447908224638693,0.5782487070408457,0.22876943056747767,"{""balanced"": {""topology_mean_rmse"": 0.22177998584143133, ""safe_mean_rmse"": 0.16532453050301615}, ""random"": {""topology_mean_rmse"": 0.22177998584143133, ""safe_mean_rmse"": 0.1723967792920908}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22177998584143133, ""safe_mean_rmse"": 0.20009533159657397}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22177998584143133, ""safe_mean_rmse"": 0.21160281920068608}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22177998584143133, ""safe_mean_rmse"": 0.1741787492951889}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22177998584143133, ""safe_mean_rmse"": 0.1845736328101308}}",True,False
cpz,1380,46,5,"[0.21554391610998627, 0.2640980671583233, 0.5834914923235958, 0.23637640296925452]",0.21554391610998627,0.2640980671583233,0.5834914923235958,0.23637640296925452,"{""balanced"": {""topology_mean_rmse"": 0.2294952650767665, ""safe_mean_rmse"": 0.16846965660221525}, ""random"": {""topology_mean_rmse"": 0.2294952650767665, ""safe_mean_rmse"": 0.1758131242757188}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2294952650767665, ""safe_mean_rmse"": 0.2050314509045052}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2294952650767665, ""safe_mean_rmse"": 0.21879914914819934}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2294952650767665, ""safe_mean_rmse"": 0.17723262910836365}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2294952650767665, ""safe_mean_rmse"": 0.18751477212636927}}",True,False
cz,1380,46,5,"[0.21343826483051428, 0.26204467478744453, 0.5821921954852084, 0.23632159856298243]",0.21343826483051428,0.26204467478744453,0.5821921954852084,0.23632159856298243,"{""balanced"": {""topology_mean_rmse"": 0.22869466960079868, ""safe_mean_rmse"": 0.1690203843470632}, ""random"": {""topology_mean_rmse"": 0.22869466960079868, ""safe_mean_rmse"": 0.17619364254365402}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22869466960079868, ""safe_mean_rmse"": 0.2042992744747672}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22869466960079868, ""safe_mean_rmse"": 0.21943898542538334}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22869466960079868, ""safe_mean_rmse"": 0.17765489771600546}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22869466960079868, ""safe_mean_rmse"": 0.188040441525412}}",True,False
f1,1410,47,5,"[0.20507570512554188, 0.2632960708303982, 0.5827526620291631, 0.22199716109661372]",0.20507570512554188,0.2632960708303982,0.5827526620291631,0.22199716109661372,"{""balanced"": {""topology_mean_rmse"": 0.22468486661081252, ""safe_mean_rmse"": 0.16627404481995506}, ""random"": {""topology_mean_rmse"": 0.22468486661081252, ""safe_mean_rmse"": 0.1735872368115253}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22468486661081252, ""safe_mean_rmse"": 0.20082609459098177}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22468486661081252, ""safe_mean_rmse"": 0.21530708870828977}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22468486661081252, ""safe_mean_rmse"": 0.17469645211267726}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22468486661081252, ""safe_mean_rmse"": 0.18457815517295523}}",True,False
f2,1410,47,5,"[0.2115139476783557, 0.26171002145387945, 0.5670550378283142, 0.2354113966112718]",0.2115139476783557,0.26171002145387945,0.5670550378283142,0.2354113966112718,"{""balanced"": {""topology_mean_rmse"": 0.2223410189658082, ""safe_mean_rmse"": 0.16592125720493353}, ""random"": {""topology_mean_rmse"": 0.2223410189658082, ""safe_mean_rmse"": 0.1735136499086467}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2223410189658082, ""safe_mean_rmse"": 0.2013048708076286}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2223410189658082, ""safe_mean_rmse"": 0.21617182138354654}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2223410189658082, ""safe_mean_rmse"": 0.174275082347095}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2223410189658082, ""safe_mean_rmse"": 0.18474609370895453}}",True,False
f3,1410,47,5,"[0.21172217964535567, 0.2626898271993635, 0.5841262448541953, 0.24067023362478165]",0.21172217964535567,0.2626898271993635,0.5841262448541953,0.24067023362478165,"{""balanced"": {""topology_mean_rmse"": 0.22563095899754462, ""safe_mean_rmse"": 0.16651663586140855}, ""random"": {""topology_mean_rmse"": 0.22563095899754462, ""safe_mean_rmse"": 0.17339006549398947}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22563095899754462, ""safe_mean_rmse"": 0.2047079751312702}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22563095899754462, ""safe_mean_rmse"": 0.21613306492545487}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22563095899754462, ""safe_mean_rmse"": 0.17412944224507088}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22563095899754462, ""safe_mean_rmse"": 0.18620520621553407}}",True,False
f4,1410,47,5,"[0.21235395961515674, 0.2198833036808974, 0.552484244482295, 0.2381469414031447]",0.21235395961515674,0.2198833036808974,0.552484244482295,0.2381469414031447,"{""balanced"": {""topology_mean_rmse"": 0.2155809117166284, ""safe_mean_rmse"": 0.16226309529285018}, ""random"": {""topology_mean_rmse"": 0.2155809117166284, ""safe_mean_rmse"": 0.16910270580761927}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2155809117166284, ""safe_mean_rmse"": 0.19536637431196593}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2155809117166284, ""safe_mean_rmse"": 0.20270222419994582}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2155809117166284, ""safe_mean_rmse"": 0.16918904369334925}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2155809117166284, ""safe_mean_rmse"": 0.18146399076306993}}",True,False
fc1,1380,46,5,"[0.2138387666849401, 0.2641813367098859, 0.581618726748673, 0.23783999293922412]",0.2138387666849401,0.2641813367098859,0.581618726748673,0.23783999293922412,"{""balanced"": {""topology_mean_rmse"": 0.2299311221312613, ""safe_mean_rmse"": 0.1694196984116823}, ""random"": {""topology_mean_rmse"": 0.2299311221312613, ""safe_mean_rmse"": 0.17686816168278696}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2299311221312613, ""safe_mean_rmse"": 0.20567098004602757}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2299311221312613, ""safe_mean_rmse"": 0.21919710294099837}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2299311221312613, ""safe_mean_rmse"": 0.1787120526403521}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2299311221312613, ""safe_mean_rmse"": 0.18860036149095347}}",True,False
fc2,1380,46,5,"[0.20089395499491625, 0.26230061862699383, 0.5730556877127845, 0.22149672793352243]",0.20089395499491625,0.26230061862699383,0.5730556877127845,0.22149672793352243,"{""balanced"": {""topology_mean_rmse"": 0.22673528945112634, ""safe_mean_rmse"": 0.1683608965672793}, ""random"": {""topology_mean_rmse"": 0.22673528945112634, ""safe_mean_rmse"": 0.1752780376061542}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22673528945112634, ""safe_mean_rmse"": 0.19972991225721148}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22673528945112634, ""safe_mean_rmse"": 0.21552946258775196}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22673528945112634, ""safe_mean_rmse"": 0.17649741352832454}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22673528945112634, ""safe_mean_rmse"": 0.18602168601030578}}",True,False
