condition,batch_size,repeat,target_view,montage,held_out_reference,base_prior_weight,class_trust_caps,applied_class_weights,safe_bias,target_reference_labels_used
random,16,0,native16@C1,native16,c1,0.1953806105301884,"[0.21176946536367788, 0.26521669284069876, 0.577782379957178, 0.23909556355924652]","[0.1953806105301884, 0.1953806105301884, 0.1953806105301884, 0.1953806105301884]","[-0.9351087372992812, -1.8128726122034573, 1.7256113530793344]",False
random,16,0,native16@C2,native16,c2,0.1950547478737816,"[0.21662621769434257, 0.25745323554925936, 0.5801023838041184, 0.23157573156043476]","[0.1950547478737816, 0.1950547478737816, 0.1950547478737816, 0.1950547478737816]","[-1.5963098410964185, -1.3234481300370915, 1.976683231747181]",False
random,16,0,native16@C3,native16,c3,0.1904042617177993,"[0.20736314459676727, 0.2578891823858586, 0.575509247613532, 0.2298362520177884]","[0.1904042617177993, 0.1904042617177993, 0.1904042617177993, 0.1904042617177993]","[-0.5207123949631308, -1.8948356846333791, 1.480205374015975]",False
random,16,0,native16@C4,native16,c4,0.1834295049109413,"[0.20753524835218293, 0.23070182172291742, 0.5830816089766359, 0.23369016748555074]","[0.1834295049109413, 0.1834295049109413, 0.1834295049109413, 0.1834295049109413]","[-1.8394550887081096, -0.8691669709558998, 1.903372687197641]",False
random,16,0,native16@CP1,native16,cp1,0.1926600819751851,"[0.20286432238856142, 0.2629098067038385, 0.5789866950415364, 0.2375829544007703]","[0.1926600819751851, 0.1926600819751851, 0.1926600819751851, 0.1926600819751851]","[-0.8602115785050304, -1.7279052264868864, 1.7442262765865006]",False
random,16,0,native16@CP2,native16,cp2,0.1983850924306374,"[0.21588814011703306, 0.26479606696345337, 0.5853075023750998, 0.23417098757190957]","[0.1983850924306374, 0.1983850924306374, 0.1983850924306374, 0.1983850924306374]","[-1.348162992443833, -1.2211603733810819, 1.9228218072507066]",False
random,16,0,native16@CP3,native16,cp3,0.1821369795430931,"[0.20058510064011145, 0.24026561048421688, 0.56875408578877, 0.22049791278227607]","[0.1821369795430931, 0.1821369795430931, 0.1821369795430931, 0.1821369795430931]","[-0.5048683365174269, -1.8339862271183092, 1.4519326021174601]",False
random,16,0,native16@CP4,native16,cp4,0.1971524780066577,"[0.21184491495359317, 0.2661732238989175, 0.5849677157576909, 0.23605821834769458]","[0.1971524780066577, 0.1971524780066577, 0.1971524780066577, 0.1971524780066577]","[-1.5620396914155894, -0.7799372025532946, 1.9347347552097327]",False
random,16,0,native16@CPz,native16,cpz,0.1971732582933757,"[0.21554391610998627, 0.2640980671583233, 0.5834914923235958, 0.23637640296925452]","[0.1971732582933757, 0.1971732582933757, 0.1971732582933757, 0.1971732582933757]","[-1.1266750642887988, -1.43915122032973, 1.8731196834311978]",False
random,16,0,native16@Cz,native16,cz,0.195664310014325,"[0.21343826483051428, 0.26204467478744453, 0.5821921954852084, 0.23632159856298243]","[0.195664310014325, 0.195664310014325, 0.195664310014325, 0.195664310014325]","[-1.3170409611402714, -1.5574832588441803, 1.9125464635472846]",False
random,16,0,native16@FC1,native16,fc1,0.195955251857728,"[0.2138387666849401, 0.2641813367098859, 0.581618726748673, 0.23783999293922412]","[0.195955251857728, 0.195955251857728, 0.195955251857728, 0.195955251857728]","[-1.0654133251574773, -1.8296695604975821, 1.880432491526261]",False
