held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@C4,native16,skew_0.7_class_0,128,4,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.515137650810673, -0.38218116923014406, 1.8230636216721705]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_1,128,0,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.3947032863625008, -1.356819491994561, 1.8214847618798733]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_1,128,1,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.4049669481256497, -1.336077058328408, 1.8252544499694614]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_1,128,2,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.3901175758641482, -1.2225011284660638, 1.8397955064776987]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_1,128,3,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.3618128090730908, -1.2978579300142463, 1.7591329900527242]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_1,128,4,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.4679157505636666, -1.277860222329968, 1.7871369559439678]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_2,128,0,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.7628656160427698, -0.8083003895673752, 1.6253983962080105]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_2,128,1,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8550354718631825, -0.8107806161106549, 1.6280221000157409]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_2,128,2,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8038242300893803, -0.6823053421085093, 1.5835441242778945]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_2,128,3,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.7539824004540172, -0.7506568784462776, 1.6126076624825592]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_2,128,4,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.7535170059510712, -0.7868015732512977, 1.6669502009164952]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_3,128,0,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.822781866624174, -0.4040780427729426, 1.883296668113606]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_3,128,1,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.755511925665711, -0.40582019780638146, 1.8244015816968933]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_3,128,2,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8039810878496774, -0.5773946655321676, 2.016590541167023]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_3,128,3,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.7785464745666621, -0.5020736107346637, 1.8940589259553036]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_3,128,4,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.6815727614881355, -0.6006711589046725, 1.8922570553390416]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@CP1,native16,random,32,0,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.7516970830104479, -1.6174347290000382, 1.5693499866663845]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,random,32,1,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.8427068906291985, -1.429814692822352, 1.4983354335618835]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,random,32,2,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.8104174596856467, -2.017579775344878, 1.678121349424969]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,random,32,3,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.2679080918720425, -1.9536972613389298, 1.6013015319183415]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,random,32,4,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.7289317577818577, -1.9274547305298382, 1.3907510332019568]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,balanced,128,0,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.86930390315167, -1.7994380714464318, 1.7447172016431358]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,balanced,128,1,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.7614016312532768, -2.006578849530354, 1.5225058945628827]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,balanced,128,2,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.7492660752289372, -1.8785097149354686, 1.7063338534635777]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
