epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,learning_rate
1.0,1.4187302549301632,1.4187302549301632,0.0,0.329791892654425,0.3242417158119673,6.45769549087854e-06
2.0,1.3557987989698137,1.3557987989698137,0.0,0.2643889300869279,0.2609322613505502,1.6733570872048158e-05
3.0,1.2553284478566002,1.2553284478566002,0.0,0.3134384923217444,0.3111165495025791,3.301973581024263e-05
4.0,1.1525600967709981,1.1525600967709981,0.0,0.4289285303460664,0.4258638233113791,5.883156775208591e-05
5.0,1.016410113364931,1.016410113364931,0.0,0.38805898227482577,0.3838501304054083,9.974056448166367e-05
6.0,0.9067802853054471,0.9067802853054471,0.0,0.47875001743203066,0.4741310982221463,9.974056448166367e-05
7.0,0.7386085810737004,0.7386085810737004,0.0,0.5060968780449561,0.5055243602627103,9.974056448166367e-05
8.0,0.6345719934455932,0.6345719934455932,0.0,0.48882174898098735,0.4790081841073352,9.974056448166367e-05
9.0,0.5468807627095117,0.5468807627095117,0.0,0.5021674853570602,0.49716316401159055,9.974056448166367e-05
10.0,0.4658942126849341,0.4658942126849341,0.0,0.4976092248141783,0.4935635978178115,9.974056448166367e-05
11.0,0.425150313831511,0.425150313831511,0.0,0.49917726218112585,0.49260939987639407,9.974056448166367e-05
12.0,0.3865872139400906,0.3865872139400906,0.0,0.4428480422242657,0.44053765579936893,9.974056448166367e-05
13.0,0.33909497913860137,0.33909497913860137,0.0,0.5292812033485048,0.525648053325377,9.974056448166367e-05
14.0,0.282559672518382,0.282559672518382,0.0,0.4426859881799551,0.44325579625270833,9.974056448166367e-05
15.0,0.261353506843249,0.261353506843249,0.0,0.5180189959913534,0.5180282675747977,9.974056448166367e-05
16.0,0.23398798320028516,0.23398798320028516,0.0,0.51741706788711,0.508188872713233,9.974056448166367e-05
17.0,0.21182551644151174,0.21182551644151174,0.0,0.5119877304278291,0.5073758715443333,9.974056448166367e-05
18.0,0.18509443183266927,0.18509443183266927,0.0,0.46432796189943915,0.4654827127344652,9.974056448166367e-05
19.0,0.167061600230989,0.167061600230989,0.0,0.5151447140839784,0.5080344352713452,4.9870282240831836e-05
