probe_seed,reference_seed,logit_run,e12_run,probe_validation_balanced_accuracy,selected_epoch,all_subject_splits_pairwise_disjoint,physionet_test_subjects_used,original_e12_gate
21,7,outputs/reve_set_probe_confirmation_logits_q4_s21,outputs/reve_set_class_safeguard_audit_s21,0.635403761061947,11,True,False,False
42,7,outputs/reve_set_probe_confirmation_logits_q4_s42,outputs/reve_set_class_safeguard_audit_s42,0.6331620487428009,12,True,False,True
