probe_seed,comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_repeats,n_reference_clusters,static_baseline_broadcast_across_repeats,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
42,balanced_stress_size,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.43504135395100063,0.4356991890959282,-0.0006578351449275426,-0.002409450280904942,0.0011654265873015876,0.95,5000,20,32,True,higher,0.01,False,False,True,True,False
21,balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.1785223645617667,0.126043823326432,0.05247854123533473,0.0362361380693582,0.06830499347610423,0.95,5000,20,32,True,lower,0.01,False,False,False,False,True
42,balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.08918278769841267,0.10192913216011039,-0.012746344461697718,-0.023048148777173913,-0.002192099076949636,0.95,5000,20,32,True,lower,0.01,True,True,True,True,False
21,severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.17263232902206743,0.25802816784553717,-0.08539583882346974,-0.10572184760617116,-0.061664293696066096,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
42,severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1746503072249666,0.2759024985730796,-0.10125219134811296,-0.1292933392834576,-0.06715509516679678,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
21,severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.42901999358393716,0.4287976925088423,0.0002223010750948934,-0.0008661895393913911,0.0012221703275966216,0.95,5000,20,32,False,higher,0.01,True,False,True,True,False
42,severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4351121395682367,0.43022330190001723,0.004888837668219464,0.0027979678199404794,0.007050635001509664,0.95,5000,20,32,False,higher,0.01,True,True,True,True,False
21,severe_skew,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.17814176802967563,0.193190845518461,-0.01504907748878537,-0.02042031950914424,-0.008907172646005879,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
42,severe_skew,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.08916724626897858,0.12092853638285024,-0.031761290113871646,-0.03935811941964286,-0.02268113010319618,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
21,severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.17263232902206743,0.1563889497341981,0.01624337928786932,-0.007885456620799444,0.039479079374582525,0.95,5000,20,32,True,lower,0.0,False,False,False,False,False
