seed,probe_seed,reference_seed,encoder,defense,train_view,training_views,test_view,reference_view,montage,n_observed_channels,observed_channel_fraction,missing_channel_fill,n_train,n_val,n_test,probe,probe_objective,consistency_weight,selected_c,selected_epoch,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,7,7,reve,none,car,car|pz|fcz,car,car,full,64,1.0,none,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.610648918469218,0.6107654590439915,0.6127875917254767,0.8350241101853094,1.0,0.0,1.0,0.0
7,7,7,reve,none,car,car|pz|fcz,sparse32@car,car,sparse32,32,0.5,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.2529118136439268,0.2516703786191537,0.10388852293178691,0.6516094824446531,0.9304614583941462,0.3774467828642743,0.7305935854696233,0.3590950804248378
7,7,7,reve,none,car,car|pz|fcz,sparse16@car,car,sparse16,16,0.25,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.2512479201331115,0.25,0.10039893617021277,0.595723787407874,0.8742198964711887,0.515020311827583,0.580319938965156,0.3607654590439915
7,7,7,reve,none,car,car|pz|fcz,sparse8@car,car,sparse8,8,0.125,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.25180255130338325,0.25055432372505543,0.10159177405485662,0.5635389589435169,0.866329884545282,0.5345811333008891,0.4691249336056986,0.36021113531893606
7,7,7,reve,none,car,car|pz|fcz,sparse32@cz,cz,sparse32,32,0.5,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.252357182473655,0.25111358574610243,0.102784770172405,0.6445410345161955,0.9220522660080455,0.3951663530129578,0.5882634540002641,0.35965187329788906
7,7,7,reve,none,car,car|pz|fcz,sparse16@cz,cz,sparse16,16,0.25,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.2512479201331115,0.25,0.10039893617021277,0.5750152701887336,0.8728020078359217,0.5179589693468493,0.46835860325613465,0.3607654590439915
7,7,7,reve,none,car,car|pz|fcz,sparse8@cz,cz,sparse8,8,0.125,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.2512479201331115,0.25,0.10039893617021277,0.5506456532501477,0.8635484290600631,0.5417559445202531,0.409525641748763,0.3607654590439915
7,7,7,reve,none,car,car|pz|fcz,drop_left_motor@cz,cz,drop_left_motor,55,0.859375,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.46921797004991683,0.47001109523189133,0.43188307849527463,0.7953944355536875,0.978447302559624,0.2024065661869672,0.7475531303696483,0.14075436381210016
7,7,7,reve,none,car,car|pz|fcz,drop_right_motor@cz,cz,drop_right_motor,55,0.859375,zero,6300,1734,1803,reve_token,rule_consistency,10.0,,18,0.5362578537527972,0.017461031675338745,0.1782006920415225,0.5019412090959512,0.5022430686809667,0.477697459414834,0.7929702350406469,0.9767972662404688,0.20952839810960805,0.7650374673372554,0.1085223903630248
