view,montage,reference,n_fit_trials,oracle_bias_objective,oracle_bias_optimizer_success,oracle_bias_parameters,topology_reference_x,topology_reference_y,topology_centroid_x,topology_centroid_y,topology_relative_x,topology_relative_y,topology_centroid_distance,topology_absolute_relative_x,topology_absolute_relative_y,topology_relative_xy,topology_relative_x_squared,topology_relative_y_squared,topology_log_montage_size,topology_car_flag,logit_centered_logit_mean_0,logit_centered_logit_mean_1,logit_centered_logit_mean_2,logit_centered_logit_mean_3,logit_centered_logit_std_0,logit_centered_logit_std_1,logit_centered_logit_std_2,logit_centered_logit_std_3,logit_predicted_fraction_0,logit_predicted_fraction_1,logit_predicted_fraction_2,logit_predicted_fraction_3,logit_confidence_mean,logit_confidence_std,logit_entropy_mean,logit_entropy_std
native16@C1,native16,c1,900,1.4559497060083468,True,"[-1.3155360377288208, -1.6018200770701398, 1.7047360333836008]",-0.25,0.0,0.0,-0.015625,-0.25,0.015625,0.25048780534189685,0.25,0.015625,-0.00390625,0.0625,0.000244140625,0.8,0.0,1.2745296946914297,1.384701566052649,-1.5486043687887852,-1.1106268919552935,1.2404411730574778,1.3453500518508696,0.7364593378677052,0.9690030590228915,0.42333333333333334,0.5588888888888889,0.0022222222222222222,0.015555555555555555,0.7409792469893273,0.1702475284647767,0.662937631951096,0.3170135051336213
native16@C2,native16,c2,900,1.4665885952461821,True,"[-1.9815356991836393, -1.2495263153035185, 1.955828344446812]",0.25,0.0,0.0,-0.015625,0.25,0.015625,0.25048780534189685,0.25,0.015625,0.00390625,0.0625,0.000244140625,0.8,0.0,1.8497349769926061,1.088766199445947,-1.7923788422166318,-1.1461223342219213,1.3082246859748328,1.3435702659972812,0.7298687246651561,0.9177345711156294,0.5833333333333334,0.4022222222222222,0.0011111111111111111,0.013333333333333334,0.7599258777157011,0.17386399028361588,0.6082974349077342,0.3255138903994018
native16@C3,native16,c3,900,1.522244806372898,True,"[-0.46457697431513595, -1.8704860039118247, 1.5013272079750106]",-0.55,0.0,0.0,-0.015625,-0.55,0.015625,0.5502219012589376,0.55,0.015625,-0.00859375,0.30250000000000005,0.000244140625,0.8,0.0,0.4674528589278149,1.6273726522221437,-1.3459005285890049,-0.7489249825609537,1.1137523279316996,1.3061721251482685,0.7105879919761687,0.9517877929009635,0.24222222222222223,0.7044444444444444,0.0044444444444444444,0.04888888888888889,0.7337610988477604,0.1800336091828818,0.6999068448433491,0.333700528043924
native16@C4,native16,c4,900,1.4813479628914838,True,"[-2.2069655966976276, -0.29854279458970545, 1.703898839900916]",0.55,0.0,0.0,-0.015625,0.55,0.015625,0.5502219012589376,0.55,0.015625,0.00859375,0.30250000000000005,0.000244140625,0.8,0.0,2.0947234376131867,0.19553528538439424,-1.543873498052255,-0.7463852249453258,1.2450296806075498,1.2404159676431292,0.7260477753807558,0.9732439310724782,0.7766666666666666,0.1922222222222222,0.0044444444444444444,0.02666666666666667,0.7563026395334921,0.1784865013499352,0.6392927472502401,0.34283767772412643
native16@CP1,native16,cp1,900,1.518830836321018,True,"[-0.8733963427490008, -1.5870516230821174, 1.4795414262249884]",-0.25,-0.25,0.0,-0.015625,-0.25,-0.234375,0.34268300311658295,0.25,0.234375,0.05859375,0.0625,0.054931640625,0.8,0.0,0.8670391585727015,1.3749437808170397,-1.31295991190942,-0.9290230274803212,1.2933574922544742,1.4366360674466856,0.8227638068582817,1.2263024958181201,0.3511111111111111,0.57,0.005555555555555556,0.07333333333333333,0.732499023492344,0.1767897925321382,0.6861769333940704,0.33071725900258564
native16@CP2,native16,cp2,900,1.4367198179676062,True,"[-1.6169053123170936, -0.9794349623086679, 1.7647469868729098]",0.25,-0.25,0.0,-0.015625,0.25,-0.234375,0.34268300311658295,0.25,0.234375,-0.05859375,0.0625,0.054931640625,0.8,0.0,1.5838800254076097,0.7850252551932095,-1.6004754973539255,-0.7684297832468938,1.2707646385154694,1.3942974629179044,0.7664649035626466,1.0717666980439373,0.5811111111111111,0.3688888888888889,0.0022222222222222222,0.04777777777777778,0.7267884838105091,0.17510999822245082,0.6907244688834215,0.3223004605617943
native16@CP3,native16,cp3,900,1.5280467300008564,True,"[-0.4886382508909813, -1.7725062171980417, 1.2305730558034382]",-0.55,-0.25,0.0,-0.015625,-0.55,-0.234375,0.5978558694409548,0.55,0.234375,0.12890625,0.30250000000000005,0.054931640625,0.8,0.0,0.3904399843061239,1.5731844696218873,-1.0376518391173644,-0.9259726148106469,1.3381230353460243,1.367206622582653,0.7541858892322637,0.9897869858019588,0.27666666666666667,0.66,0.014444444444444444,0.04888888888888889,0.7335050105189935,0.19012089826879716,0.6958263790651967,0.3583838531899228
native16@CP4,native16,cp4,900,1.4380684409155124,True,"[-1.8788122668122251, -0.4247392115977181, 1.7894501425527307]",0.55,-0.25,0.0,-0.015625,0.55,-0.234375,0.5978558694409548,0.55,0.234375,-0.12890625,0.30250000000000005,0.054931640625,0.8,0.0,1.8395190708199516,0.2277169419126585,-1.6159905493295648,-0.4512454634030453,1.2448646964169592,1.3733066033838048,0.7296149839070084,1.026807928951046,0.6977777777777778,0.24,0.0011111111111111111,0.06111111111111111,0.7317093278601605,0.17531967834083417,0.6871531518766002,0.3277336160952408
native16@CPz,native16,cpz,900,1.4560433228082497,True,"[-1.4243005433596079, -1.0405924819139158, 1.79733600022365]",0.0,-0.25,0.0,-0.015625,0.0,-0.234375,0.234375,0.0,0.234375,-0.0,0.0,0.054931640625,0.8,0.0,1.3797661459546846,0.8202227460383438,-1.573443541974088,-0.6265453500189404,1.2867531160040913,1.4092836209524613,0.7099392927791012,1.0991641334522415,0.5277777777777778,0.39222222222222225,0.0044444444444444444,0.07555555555555556,0.7103886636683143,0.18262314014245778,0.7219435057850195,0.3337454068503247
native16@Cz,native16,cz,900,1.4257229983223358,True,"[-1.5702543747481934, -1.468030605372972, 1.804005746311791]",0.0,0.0,0.0,-0.015625,0.0,0.015625,0.015625,0.0,0.015625,0.0,0.0,0.000244140625,0.8,0.0,1.531210131438242,1.2663666381221264,-1.6393250451909585,-1.15825172436941,1.2095950892379244,1.3220178525508055,0.7002232058781035,0.981179923693426,0.49444444444444446,0.4911111111111111,0.0011111111111111111,0.013333333333333334,0.7404366738608396,0.16595785562951673,0.655695806099722,0.305366395514671
native16@FC1,native16,fc1,900,1.3995979566555017,True,"[-1.2659276915877908, -1.5574613425993757, 1.7749792920685101]",-0.25,0.25,0.0,-0.015625,-0.25,0.265625,0.3647692978102735,0.25,0.265625,-0.06640625,0.0625,0.070556640625,0.8,0.0,1.2532593855132452,1.3130036183814,-1.624497308675717,-0.9417656952189282,1.1245636510550872,1.2817181613081203,0.6464409288864226,0.8288404932693516,0.4311111111111111,0.5577777777777778,0.0011111111111111111,0.01,0.7273806835561448,0.17122956357787908,0.6913719436526143,0.3082141461929836
native16@FC2,native16,fc2,900,1.4092013412853235,True,"[-2.575454634295988, -1.193069511535905, 2.245548386083042]",0.25,0.25,0.0,-0.015625,0.25,0.265625,0.3647692978102735,0.25,0.265625,0.06640625,0.0625,0.070556640625,0.8,0.0,2.446527683056322,1.015817320184627,-2.0918748322954506,-1.3704701709454983,1.239063361226418,1.2773511398934745,0.6630398233656851,0.7881521441972487,0.7011111111111111,0.2966666666666667,0.0,0.0022222222222222222,0.793486300514989,0.16508699828713624,0.5162828216776213,0.29589472573400943
native16@FC3,native16,fc3,900,1.4224779505620324,True,"[-0.24143858541703966, -1.5721293138474581, 1.1679899710754662]",-0.55,0.25,0.0,-0.015625,-0.55,0.265625,0.6107836283210283,0.55,0.265625,-0.14609375000000002,0.30250000000000005,0.070556640625,0.8,0.0,0.23888574104393936,1.3754958856949169,-1.0550448995978674,-0.5593367271409887,1.0575371824850246,1.2247690303174599,0.7116557598346929,0.8664800437338802,0.24,0.69,0.011111111111111112,0.058888888888888886,0.6956284760468834,0.18402433687912217,0.7907671537172112,0.33544524128969166
native16@FC4,native16,fc4,900,1.4576436619883748,True,"[-2.2707743968042804, -0.4320342305047052, 1.8392692359781655]",0.55,0.25,0.0,-0.015625,0.55,0.265625,0.6107836283210283,0.55,0.265625,0.14609375000000002,0.30250000000000005,0.070556640625,0.8,0.0,2.09495516181018,0.38663611644594414,-1.683363285702912,-0.7982279925532122,1.3041494927311468,1.15055367695207,0.7006100040096069,0.9834676816180713,0.77,0.19666666666666666,0.0,0.03333333333333333,0.7595340499571634,0.17584342180983742,0.6292396598400635,0.33774099008100583
native16@Fz,native16,fz,900,1.4003589367851523,True,"[-1.665618866053428, -1.053151602480042, 1.8819365715002185]",0.0,0.5,0.0,-0.015625,0.0,0.515625,0.515625,0.0,0.515625,0.0,0.0,0.265869140625,0.8,0.0,1.557200723895027,0.8321380102926762,-1.7311083233250408,-0.6582304108626623,1.2745189312235847,1.278312622706197,0.6433529860041799,0.6918863811369219,0.5844444444444444,0.3933333333333333,0.0,0.022222222222222223,0.7285160427609976,0.17318413940135133,0.6995644919613815,0.326471652743935
