target_view,montage,held_out_reference,method,n_bias_fit_subjects,n_evaluation_subjects,n_training_views,target_reference_labels_used,target_bias_rmse,car_anchor_balanced_accuracy,max_class_recall_gap_to_car,mean_class_recall_gap_to_car,prediction_disagreement_from_identity,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall
native16@C1,native16,c1,identity,10,9,48,False,1.5494716916188656,0.35702208419599724,0.12077294685990347,0.061197377501725346,0.0,0.36330935251798563,0.36345755693581777,0.25540739960493114,0.6636296743133127,2.0218426963047564,0.3717692580421825,0.0
native16@C1,native16,c1,global_mean,10,9,48,False,0.5521952966523828,0.4229296066252588,0.3140096618357488,0.21054175293305727,0.2841726618705036,0.3908872901678657,0.39082125603864737,0.358890000201633,0.6681550339016015,1.5262436851282113,0.2269619259293645,0.10628019323671498
native16@C1,native16,c1,pooled_bias,10,9,48,False,0.5280927066250573,0.4229296066252588,0.2995169082125604,0.19616977225672877,0.30815347721822545,0.38848920863309355,0.38838854382332644,0.3594241518081439,0.6682613612497765,1.5196357405741616,0.2260346045896672,0.1111111111111111
native16@C1,native16,c1,topology_ridge,10,9,48,False,0.1070631946457317,0.4229296066252588,0.1159420289855072,0.05636645962732918,0.4940047961630695,0.4244604316546763,0.42453416149068324,0.4249757439374884,0.6675220856141909,1.41745753536659,0.16541533843303832,0.3904761904761905
native16@C1,native16,c1,logit_ridge,10,9,48,False,0.03139691812993514,0.4229296066252588,0.05714285714285716,0.04192546583850931,0.5503597122302158,0.4172661870503597,0.41723602484472055,0.41840856918792313,0.6676135044663363,1.4221194997455389,0.1645792038633109,0.3961352657004831
native16@C1,native16,c1,combined_ridge,10,9,48,False,0.03784486064195728,0.4229296066252588,0.06280193236714976,0.04313319530710835,0.5455635491606715,0.4184652278177458,0.4184437543133196,0.41970811871474123,0.6675977822287891,1.421525944358385,0.16489194826146214,0.4057971014492754
native16@C1,native16,c1,oracle,10,9,48,True,0.0,0.4229296066252588,0.0579710144927536,0.04796411318150448,0.5575539568345323,0.42326139088729015,0.4232746721877157,0.4242882792789506,0.6676691436953165,1.4221209784130788,0.16201554421538641,0.40096618357487923
native16@C2,native16,c2,identity,10,9,48,False,1.7619179183224116,0.35702208419599724,0.14975845410628014,0.07698412698412697,0.0,0.3597122302158273,0.35912698412698413,0.270881366826623,0.6600048860739649,2.251375184691688,0.41779531789927254,0.004761904761904762
native16@C2,native16,c2,global_mean,10,9,48,False,0.6565377732666352,0.4229296066252588,0.26666666666666666,0.22522429261559693,0.19904076738609114,0.39688249400479614,0.396256038647343,0.36818436313738645,0.666853715427085,1.641819520742216,0.2722724338703546,0.14492753623188406
native16@C2,native16,c2,pooled_bias,10,9,48,False,0.6099397381532646,0.4229296066252588,0.2657004830917874,0.19182194616977224,0.23381294964028776,0.39448441247002397,0.39380607315389926,0.3724293713953003,0.6674736954449483,1.6260241799001658,0.2641310126030564,0.14492753623188406
native16@C2,native16,c2,topology_ridge,10,9,48,False,0.22353178945146793,0.4229296066252588,0.09999999999999998,0.06946169772256726,0.434052757793765,0.4040767386091127,0.40374396135265694,0.40237921954070766,0.6703881972760691,1.4737315687674122,0.2109280968424171,0.3333333333333333
native16@C2,native16,c2,logit_ridge,10,9,48,False,0.03472646354155627,0.4229296066252588,0.0531400966183575,0.02996894409937889,0.5443645083932853,0.39568345323741005,0.395376121463078,0.39367214360787883,0.6705840449225747,1.4795113017333956,0.2201065524801943,0.2898550724637681
native16@C2,native16,c2,combined_ridge,10,9,48,False,0.05580393147522681,0.4229296066252588,0.06666666666666665,0.03350586611456177,0.5323741007194245,0.38968824940047964,0.38942374051069706,0.3880075607628546,0.6706824605494514,1.4742863757756735,0.2230677097265701,0.2946859903381642
