method,n_held_out_views,mean_balanced_accuracy,worst_balanced_accuracy,mean_target_bias_rmse,worst_class_recall_gap_to_car,mean_class_recall_gap_to_car,mean_nll,mean_ece_15,bias_rmse_reduction_vs_global,bias_rmse_reduction_vs_pooled,bias_rmse_reduction_vs_best_simple,worst_recall_gap_reduction_vs_identity,mean_bacc_change_vs_global,mean_bacc_change_vs_identity,mean_bacc_change_vs_pooled,mean_bacc_change_vs_best_simple,passes_predictability_gate
identity,48,0.4197665056360709,0.30935127674258106,1.309277764787824,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144,-1.343300792490607,-1.3308379188094914,-1.343300792490607,0.0,-0.03178485162180805,0.0,-0.03161555383022768,-0.03178485162180805,False
global_mean,48,0.4515513572578789,0.3409592822636301,0.5587322673143644,0.4380952380952381,0.13160369220151827,1.5325616624786147,0.22905253145789561,0.0,0.005318512126592734,0.0,0.08398268398268405,0.0,0.03178485162180805,0.0001692977915803695,0.0,False
pooled_bias,48,0.45138205946629856,0.3469461697722567,0.5617197807801909,0.4238095238095238,0.12675012939958594,1.5407342256180232,0.23000185179235957,-0.0053469499447140745,0.0,-0.0053469499447140745,0.11385281385281387,-0.0001692977915803695,0.03161555383022768,0.0,-0.0001692977915803695,False
topology_ridge,48,0.4611549631930067,0.3711870255348516,0.22257884504599748,0.2857142857142857,0.05669427191166321,1.4303348885601472,0.20185391974516453,0.6016359568494977,0.6037546608437921,0.6016359568494977,0.4025974025974026,0.009603605935127768,0.04138845755693582,0.009772903726708138,0.009603605935127768,True
logit_ridge,48,0.4624266735679779,0.37544858523119395,0.037087505167135486,0.20476190476190476,0.03831521739130434,1.4137575544270646,0.19658275595139993,0.9336220452321422,0.9339750771895136,0.9336220452321422,0.5718614718614718,0.01087531631009897,0.04266016793190702,0.01104461410167934,0.01087531631009897,True
combined_ridge,48,0.4622458735909823,0.376656314699793,0.043769342329645154,0.18095238095238092,0.03884827179664136,1.414113529078289,0.19682314741087217,0.92166312044223,0.9220797560861174,0.92166312044223,0.6216450216450218,0.010694516333103365,0.04247936795491142,0.010863814124683735,0.010694516333103365,True
oracle,48,0.4631725184034967,0.3729641131815045,0.0,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.1962303624943319,1.0,1.0,1.0,0.6017316017316018,0.011621161145617787,0.04340601276742584,0.011790458937198156,0.011621161145617787,True
