probe_seed,reference_seed,defense,test_view,subject_id,n_trials,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,balanced_accuracy_gap_from_car
7,7,car_canonicalize,car,90,90,0.43333333333333335,0.4342885375494071,0.4236052949607937,0.708623927271339,0.0
7,7,car_canonicalize,car,91,90,0.3,0.3033596837944664,0.2801000726360831,0.5949464633354964,0.0
7,7,car_canonicalize,car,92,114,0.38596491228070173,0.3768518518518519,0.3547510079546693,0.6478645928358572,0.0
7,7,car_canonicalize,car,93,90,0.5777777777777777,0.5785573122529645,0.5867773687170834,0.7873642931008755,0.0
7,7,car_canonicalize,car,94,90,0.4111111111111111,0.40859683794466406,0.3677802460697197,0.7324782591344601,0.0
7,7,car_canonicalize,car,95,90,0.37777777777777777,0.37796442687747034,0.35927713427713426,0.654107579112112,0.0
7,7,car_canonicalize,car,96,90,0.5111111111111111,0.5085933088650479,0.5023938180473135,0.7267745989414978,0.0
7,7,car_canonicalize,car,97,90,0.3111111111111111,0.31521739130434784,0.27326797385620916,0.638306411733474,0.0
7,7,car_canonicalize,car,98,90,0.34444444444444444,0.3517433653303218,0.3138627831389049,0.6601619353520811,0.0
7,7,car_canonicalize,car,99,90,0.28888888888888886,0.2894786373047243,0.28197693962619336,0.5374428393070794,0.0
7,7,car_canonicalize,car,100,72,0.3888888888888889,0.38888888888888884,0.3458333333333333,0.7232510288065844,0.0
7,7,car_canonicalize,car,101,90,0.45555555555555555,0.4548983625070582,0.40859559630416137,0.7923772549892669,0.0
7,7,car_canonicalize,car,102,90,0.4777777777777778,0.48221343873517786,0.4360222433393165,0.7466292332224023,0.0
7,7,car_canonicalize,car,103,90,0.35555555555555557,0.35820158102766797,0.3505749914964285,0.6033740851658934,0.0
7,7,car_canonicalize,car,104,87,0.28735632183908044,0.2883022774327122,0.2674968474148802,0.6039358965310053,0.0
7,7,car_canonicalize,car,105,90,0.5,0.5015998494259364,0.5031023854194586,0.7597336644478254,0.0
7,7,car_canonicalize,car,106,90,0.37777777777777777,0.3802112742330134,0.36180347845352834,0.5680109757508887,0.0
7,7,car_canonicalize,car,107,90,0.32222222222222224,0.3258693299454169,0.2925835916669856,0.5808584393041822,0.0
7,7,car_canonicalize,car,108,90,0.4444444444444444,0.4421936758893281,0.43207457064063537,0.7301617855271422,0.0
7,7,car_canonicalize,car,109,90,0.4,0.39920948616600793,0.3962151933944309,0.6248948092599083,0.0
