condition,batch_size,n_rows,n_target_views,n_repeats,mean_soft_prior_rmse,mean_weak_confusion_prior_rmse,mean_regularized_confusion_prior_rmse,mean_uniform_bias_rmse,mean_fixed_shrinkage_bias_rmse,mean_soft_mean_shrinkage_bias_rmse,mean_weak_confusion_shrinkage_bias_rmse,mean_candidate_bias_rmse
balanced,32,960,48,20,0.06708592268374432,0.0774989820949278,0.010552764216571451,0.4341195193819507,0.16674948667935313,0.1417287404887304,0.17859929617404882,0.15310005983536265
balanced,128,960,48,20,0.06476774574053859,0.07503472790041761,0.010196756910856522,0.39739837564139363,0.27854361733129973,0.17441968827077897,0.23930003802345548,0.2403843956403328
random,16,960,48,20,0.10101105582853097,0.10976100657466462,0.08327344444832775,0.49320552529429074,0.14566072781332817,0.1396393184518324,0.15539876916865758,0.14110274907142395
random,32,960,48,20,0.10140686237559762,0.11219555313334806,0.07407228743097999,0.45187745262318,0.17201885251049007,0.13993311194004454,0.1808566157452628,0.15659518407402198
random,64,960,48,20,0.0770439212525055,0.08590614426810929,0.05164132421765954,0.3825673973793274,0.22931931693687072,0.15556542261393594,0.22224907967793472,0.1975836407370533
random,128,960,48,20,0.06758594021979092,0.07764295312148407,0.02697114559941982,0.40308641768847203,0.2823632373561575,0.17090000436813285,0.24743646122376756,0.24138270580414214
random,256,960,48,20,0.06681040299059975,0.07759540976792532,0.019647905450118255,0.37899939784612985,0.3156607647526897,0.18391481830241485,0.27798574652274444,0.266549804787816
random,450,48,48,1,0.06380137258839096,0.0737101337216863,0.009753523276436558,0.3699539984979106,0.36922517641379776,0.20293165376011524,0.319979792661789,0.30988115477411926
skew_0.4_class_0,128,960,48,20,0.1242453663450611,0.13444909467491592,0.09114013048369332,0.3253594009165303,0.22988969875230356,0.16802505112884253,0.24566446023939204,0.1973115529847241
skew_0.4_class_1,128,960,48,20,0.07616954059812274,0.07916033854556548,0.07964834286971476,0.429807696139919,0.3004222406020147,0.1585637423277279,0.24879840378091728,0.251791548453764
skew_0.4_class_2,128,960,48,20,0.10266662257072907,0.10847815762783439,0.08474386918202335,0.419271782287468,0.2935807357496138,0.17086312502126455,0.2397056892254442,0.2505252663014718
skew_0.4_class_3,128,960,48,20,0.09643986777770319,0.1151395476110625,0.08696544799968008,0.3885715100254845,0.2727415105927115,0.1643185637091434,0.2471283530784419,0.23100497260328245
skew_0.7_class_0,128,960,48,20,0.27481780098136455,0.28020923437133405,0.25975384504654386,0.20027318168675892,0.1467384323025462,0.17083345050783955,0.2386405520657573,0.13327062253232197
skew_0.7_class_1,128,960,48,20,0.22026059194002118,0.20563710878602967,0.2483226677031107,0.5875798431146053,0.40593981056393436,0.16437712693274822,0.2917385453602422,0.34096118708782114
skew_0.7_class_2,128,960,48,20,0.25488230215834545,0.2554668965986985,0.2555154058791114,0.39910095637076837,0.2802635070374231,0.1763803525572452,0.23819047107704422,0.24335140768898367
skew_0.7_class_3,128,960,48,20,0.25487430744432965,0.2686832189062112,0.25753679684829117,0.39110654083586344,0.27435051874041466,0.17127849307222923,0.24587781315113563,0.2346010037097702
