probe_seed,reference_seed,defense,test_view,n_subjects,n_resamples,confidence,point_gap,bootstrap_mean_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
42,7,none,cz,20,10000,0.95,0.023822343624360642,0.023854952543661666,-0.0019173849881203707,0.049678827473880846,0.9654,False
42,7,none,pz,20,10000,0.95,0.012457515928611884,0.012766655045243594,-0.01317933775623817,0.037957322785575336,0.8396,False
42,7,none,fcz,20,10000,0.95,0.010433794345975356,0.010440804888545943,-0.0060642233144534916,0.02782743411414648,0.8842,False
42,7,none,random_linear,20,10000,0.95,0.0032977349962186597,0.0033298898336497572,-0.003357625812129653,0.01002172177515508,0.8265,False
