epoch,train_loss,validation_balanced_accuracy,learning_rate
1.0,1.4100882939686852,0.3049967999311092,6.45769549087854e-06
2.0,1.3689819634149945,0.33042285740770166,1.6733570872048158e-05
3.0,1.2626624736331757,0.42983749419255124,3.301973581024263e-05
4.0,1.1140723378317696,0.40998472660180757,5.883156775208591e-05
5.0,1.002807919562809,0.4924210356279717,9.974056448166367e-05
6.0,0.8914097646682981,0.4931962031171651,9.974056448166367e-05
7.0,0.7298684953129481,0.5156238560442247,9.974056448166367e-05
8.0,0.6175180653541807,0.4904461403992333,9.974056448166367e-05
9.0,0.5408421499767001,0.4730719304593005,9.974056448166367e-05
10.0,0.45833686696158515,0.5036258409306744,9.974056448166367e-05
11.0,0.3938938792735811,0.5235765673165966,9.974056448166367e-05
12.0,0.3487727567127773,0.5116433476642296,9.974056448166367e-05
13.0,0.2870251849908677,0.5065034444384366,9.974056448166367e-05
14.0,0.2533469716518644,0.5190600425551549,9.974056448166367e-05
15.0,0.2357383110882744,0.4983909252796835,9.974056448166367e-05
16.0,0.2123396096532307,0.5124441096560088,9.974056448166367e-05
17.0,0.17096542285548316,0.4986539497743167,4.9870282240831836e-05
