epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4487172702506736,1.416860436686763,0.031856832493234566,0.25785161188369154,0.24933805368263337,0.0010037444687138002,0.13,6.450892358088527e-06
2.0,1.4362947845458984,1.4061310852898492,0.030163701126972833,0.2523008849557522,0.24749918059652573,0.0009505196164051691,0.18555555555555556,1.6722788633201854e-05
3.0,1.4436116889671042,1.4144995949003432,0.029112097692710382,0.25,0.25,0.0009765660700698693,0.0011111111111111111,3.3002647113295634e-05
4.0,1.44227463916496,1.4148897045629996,0.027384932582025175,0.27122519841269843,0.26265873015873015,0.0026965743551651635,0.051111111111111114,5.880448399262659e-05
5.0,1.3904653708140056,1.3227400479493319,0.0677253238470466,0.4465757128810226,0.41139863393735077,0.08850742379824321,0.3566666666666667,9.969763961567034e-05
6.0,1.3596293368162933,1.2560034324504712,0.10362591243452496,0.5001291877370417,0.46111314498759187,0.06584260364373525,0.37777777777777777,9.969763961567034e-05
7.0,1.313661385288945,1.187637109403257,0.12602427885488227,0.5264204066582385,0.46706033150723414,0.11336034536361694,0.39222222222222225,9.969763961567034e-05
8.0,1.2706243836438214,1.1247513380757084,0.14587305298557987,0.5409705541508638,0.48951375719904483,0.159278670946757,0.44555555555555554,9.969763961567034e-05
9.0,1.2290624948784157,1.0562876226283886,0.17277486973338657,0.5911913541227701,0.5315331624291801,0.17092559734980264,0.41888888888888887,9.969763961567034e-05
10.0,1.2053097415853429,1.020352399967335,0.1849573439801181,0.5876755864587724,0.5327599703844172,0.18647263447443643,0.44666666666666666,9.969763961567034e-05
11.0,1.179968041755535,0.982336636825844,0.19763140225851977,0.6009745048461863,0.544238276677436,0.23734360933303833,0.47444444444444445,9.969763961567034e-05
12.0,1.173253787888421,0.9738288612718935,0.19942493145112639,0.6100368731563421,0.5529122184763777,0.22075674931208292,0.47,9.969763961567034e-05
13.0,1.1390020236262568,0.9292144132543493,0.20978761516235492,0.6113547812192723,0.550567495434752,0.24457335472106934,0.45666666666666667,9.969763961567034e-05
14.0,1.1115890495865433,0.8996323846004627,0.211956664191352,0.64450014924849,0.578526039471836,0.2577614982922872,0.44555555555555554,9.969763961567034e-05
15.0,1.0941568966265078,0.8810085190667046,0.21314837707413567,0.6098423672566371,0.5464292884066114,0.23906485239664713,0.4222222222222222,9.969763961567034e-05
16.0,1.0924217354809795,0.8632303413638363,0.229191393410718,0.6299519771035258,0.5605834591702955,0.2753494183222453,0.4477777777777778,9.969763961567034e-05
17.0,1.0775722749144943,0.8538173175741125,0.22375495720792699,0.6041147369714848,0.5372683136676499,0.3353913227717082,0.4411111111111111,9.969763961567034e-05
18.0,1.078903016337642,0.8407692147184301,0.2381338009127864,0.6075468376878774,0.5433471607669617,0.23814547061920166,0.41888888888888887,9.969763961567034e-05
19.0,1.0577093698360303,0.8177844021055434,0.23992496737727412,0.6277891470009833,0.5665838337547409,0.29051629702250165,0.45111111111111113,9.969763961567034e-05
20.0,1.0367139768600464,0.7940165124999152,0.24269746391861527,0.6123228771597135,0.5618402924099827,0.275853435198466,0.4633333333333333,4.984881980783517e-05
