probe_seed,reference_seed,defense,test_view,subject_id,n_trials,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,balanced_accuracy_gap_from_car
7,7,none,car,90,90,0.7222222222222222,0.7252964426877471,0.7097207460059123,0.9148119840231532,0.0
7,7,none,car,91,90,0.6222222222222222,0.6259881422924902,0.6308202043857781,0.845160531913786,0.0
7,7,none,car,92,114,0.6228070175438597,0.6240740740740741,0.6160527161684346,0.8879967919479413,0.0
7,7,none,car,93,90,0.6444444444444445,0.6442687747035574,0.6452766798418972,0.8853197538233039,0.0
7,7,none,car,94,90,0.6555555555555556,0.6595849802371541,0.6639318885448916,0.9125102588082605,0.0
7,7,none,car,95,90,0.6444444444444445,0.6413043478260869,0.6414565826330533,0.8831192069182107,0.0
7,7,none,car,96,90,0.6666666666666666,0.6751364577451534,0.6627380374519962,0.9343809990222269,0.0
7,7,none,car,97,90,0.5777777777777777,0.5795454545454546,0.5786200556549395,0.779950297917527,0.0
7,7,none,car,98,90,0.5777777777777777,0.5717285431959345,0.5752525252525252,0.7845914472901818,0.0
7,7,none,car,99,90,0.35555555555555557,0.3535079051383399,0.35968375219616533,0.6361800965101199,0.0
7,7,none,car,100,72,0.6111111111111112,0.611111111111111,0.6133699633699633,0.8433641975308641,0.0
7,7,none,car,101,90,0.5888888888888889,0.5909032091097308,0.5385757256142818,0.9672678760706492,0.0
7,7,none,car,102,90,0.5777777777777777,0.5760869565217391,0.5846927208969892,0.8885998613651112,0.0
7,7,none,car,103,90,0.6111111111111112,0.6136363636363636,0.6073232323232323,0.8653078119632018,0.0
7,7,none,car,104,87,0.5977011494252874,0.5975202333897986,0.5998154875165773,0.8353078948527318,0.0
7,7,none,car,105,90,0.7,0.7014163372859025,0.715927562162981,0.9242131245503531,0.0
7,7,none,car,106,90,0.5,0.496388575192923,0.48165528165528165,0.727284130251908,0.0
7,7,none,car,107,90,0.4444444444444444,0.4461227178618483,0.39040365250042663,0.7448734524240547,0.0
7,7,none,car,108,90,0.7111111111111111,0.7070158102766799,0.6816379183252248,0.9150900345979935,0.0
7,7,none,car,109,90,0.43333333333333335,0.43577075098814233,0.4254283927454659,0.7129665697321346,0.0
7,7,none,cz,90,90,0.7666666666666667,0.7672924901185771,0.7669037311894454,0.9060428718416751,-0.041996047430830075
7,7,none,cz,91,90,0.6111111111111112,0.6141304347826086,0.62341322248443,0.8300899521805063,0.011857707509881577
7,7,none,cz,92,114,0.631578947368421,0.6351851851851852,0.6191752322716985,0.8839650611202337,-0.011111111111111072
7,7,none,cz,93,90,0.6555555555555556,0.6561264822134387,0.6543175738180363,0.8870006367835317,-0.011857707509881354
7,7,none,cz,94,90,0.6444444444444445,0.6467391304347826,0.6441626369016075,0.9040607312773496,0.012845849802371467
7,7,none,cz,95,90,0.5777777777777777,0.575592885375494,0.5775735294117648,0.8872542874444331,0.0657114624505929
7,7,none,cz,96,90,0.7333333333333333,0.7361013081121777,0.7409355474320085,0.9324974668155662,-0.06096485036702426
7,7,none,cz,97,90,0.4666666666666667,0.4703557312252964,0.45736480075901326,0.7746429370816228,0.1091897233201582
7,7,none,cz,98,90,0.6111111111111112,0.6089309241483154,0.611038961038961,0.7752929017309242,-0.03720238095238093
7,7,none,cz,99,90,0.36666666666666664,0.3595014586862413,0.3501769128704113,0.6346335180779488,-0.005993553547901376
7,7,none,cz,100,72,0.6111111111111112,0.6111111111111112,0.6145974692829635,0.8647119341563786,-1.1102230246251565e-16
7,7,none,cz,101,90,0.6555555555555556,0.6612554112554112,0.6103174603174603,0.9663182460514932,-0.07035220214568039
7,7,none,cz,102,90,0.5666666666666667,0.5657114624505929,0.5796513905209558,0.8789793548532623,0.01037549407114624
7,7,none,cz,103,90,0.4666666666666667,0.4683794466403162,0.45857331074722385,0.8334138711233418,0.14525691699604742
7,7,none,cz,104,87,0.5632183908045977,0.5618530020703933,0.5627545842042744,0.822256087813153,0.0356672313194053
7,7,none,cz,105,90,0.7222222222222222,0.7262198851872765,0.7358070040329935,0.9211939170689218,-0.024803547901374068
7,7,none,cz,106,90,0.4666666666666667,0.46806182947487296,0.4632620535145079,0.7306532849999183,0.02832674571805005
7,7,none,cz,107,90,0.4444444444444444,0.4474814135140222,0.4058065123282514,0.72337005872394,-0.0013586956521738913
7,7,none,cz,108,90,0.6777777777777778,0.6724308300395256,0.6443839943839944,0.912652862749725,0.034584980237154284
7,7,none,cz,109,90,0.4111111111111111,0.4135375494071146,0.40885223734060944,0.6989536449350551,0.022233201581027706
7,7,none,pz,90,90,0.6888888888888889,0.691205533596838,0.6751577323385834,0.8831705009595132,0.03409090909090906
7,7,none,pz,91,90,0.6666666666666666,0.6684782608695652,0.6795869060103222,0.8627889817362848,-0.042490118577074965
7,7,none,pz,92,114,0.631578947368421,0.6333333333333333,0.6254489942528736,0.88743918384723,-0.00925925925925919
7,7,none,pz,93,90,0.6111111111111112,0.6106719367588933,0.6051896159891254,0.8852660740126385,0.03359683794466406
7,7,none,pz,94,90,0.6222222222222222,0.6264822134387351,0.6233172993736373,0.9086569159549844,0.03310276679841895
7,7,none,pz,95,90,0.6222222222222222,0.6200592885375493,0.6323523762066343,0.8732632683478678,0.021245059288537593
7,7,none,pz,96,90,0.6777777777777778,0.6856825239977414,0.6883233883233884,0.9346496898417204,-0.010546066252588027
7,7,none,pz,97,90,0.5222222222222223,0.5242094861660079,0.5252073983408132,0.7802796425336697,0.055335968379446654
7,7,none,pz,98,90,0.5555555555555556,0.5490012704686618,0.5505597016872454,0.8007028395640403,0.022727272727272707
7,7,none,pz,99,90,0.36666666666666664,0.3673948334274421,0.36950555296597287,0.6222229274528918,-0.013886928289102207
7,7,none,pz,100,72,0.6527777777777778,0.6527777777777778,0.6486659356725146,0.8407921810699588,-0.04166666666666674
7,7,none,pz,101,90,0.6666666666666666,0.6667548936570676,0.6399566278124152,0.9636047466840353,-0.07585168454733682
7,7,none,pz,102,90,0.5555555555555556,0.5538537549407114,0.5674372980676959,0.8738123206335215,0.022233201581027706
7,7,none,pz,103,90,0.6,0.6027667984189724,0.592942567097761,0.8362608530817199,0.010869565217391242
7,7,none,pz,104,87,0.5747126436781609,0.5747459062676453,0.5785628019323672,0.8222725832440506,0.022774327122153326
7,7,none,pz,105,90,0.7333333333333333,0.7370423960097873,0.7453876287357047,0.937837347099381,-0.0356260587238848
7,7,none,pz,106,90,0.4444444444444444,0.4425348202522115,0.4416286416286417,0.72320698209278,0.053853754940711485
7,7,none,pz,107,90,0.45555555555555555,0.4569452286843591,0.41838561597675494,0.7444113619480789,-0.010822510822510789
7,7,none,pz,108,90,0.6777777777777778,0.6729249011857708,0.6451169675157971,0.9181724486148656,0.03409090909090917
7,7,none,pz,109,90,0.4,0.40167984189723316,0.39302655016199384,0.7067078291407414,0.03409090909090917
7,7,none,fcz,90,90,0.7,0.7015810276679841,0.6907936507936507,0.9151852484843859,0.02371541501976293
7,7,none,fcz,91,90,0.6444444444444445,0.6462450592885376,0.6554385154385155,0.8357729632470061,-0.02025691699604737
7,7,none,fcz,92,114,0.6052631578947368,0.6046296296296296,0.5913899926315312,0.8765439700784527,0.019444444444444486
7,7,none,fcz,93,90,0.6444444444444445,0.6447628458498024,0.649624060150376,0.8850245690866754,-0.0004940711462450009
7,7,none,fcz,94,90,0.6222222222222222,0.6264822134387351,0.623470839260313,0.895231866417737,0.03310276679841895
7,7,none,fcz,95,90,0.6888888888888889,0.6852766798418972,0.6843573988735279,0.8920322243698967,-0.0439723320158103
7,7,none,fcz,96,90,0.7444444444444445,0.7499941182006399,0.7471246505396915,0.9362242718012225,-0.07485766045548647
7,7,none,fcz,97,90,0.5777777777777777,0.5790513833992095,0.5803486299382332,0.7809248847022734,0.000494071146245112
7,7,none,fcz,98,90,0.5777777777777777,0.5757869847543761,0.578414195867026,0.7838073304509109,-0.0040584415584415945
7,7,none,fcz,99,90,0.3888888888888889,0.389945652173913,0.38949438632454464,0.6549885571547165,-0.03643774703557312
7,7,none,fcz,100,72,0.5972222222222222,0.5972222222222222,0.5900904392764857,0.8593106995884774,0.01388888888888884
7,7,none,fcz,101,90,0.5555555555555556,0.5546066252587992,0.460757497191254,0.962871800810663,0.036296583850931596
7,7,none,fcz,102,90,0.6,0.599802371541502,0.6103384199560786,0.8854723346184677,-0.02371541501976282
7,7,none,fcz,103,90,0.6222222222222222,0.625494071146245,0.6021474358974358,0.8415986866990322,-0.011857707509881354
7,7,none,fcz,104,87,0.5632183908045977,0.5627940899680031,0.5679993252361673,0.8180653057691101,0.034726143421795586
7,7,none,fcz,105,90,0.7,0.7029514869188782,0.7168265729636137,0.9212982746832041,-0.0015351496329757408
7,7,none,fcz,106,90,0.4888888888888889,0.4855190099755317,0.4682952182952183,0.7258230315605682,0.010869565217391297
7,7,none,fcz,107,90,0.4111111111111111,0.41454921889704494,0.3313666293118348,0.7414424759540613,0.03157349896480338
7,7,none,fcz,108,90,0.7222222222222222,0.7183794466403162,0.6994947045031934,0.9145545378200836,-0.011363636363636243
7,7,none,fcz,109,90,0.45555555555555555,0.4570158102766798,0.45723112128146454,0.7186337479655893,-0.021245059288537482
7,7,none,random_linear,90,90,0.7333333333333333,0.7356719367588933,0.7217872405372405,0.9137946702779984,-0.01037549407114624
7,7,none,random_linear,91,90,0.6222222222222222,0.6259881422924902,0.6282799836875881,0.8451605319137862,0.0
7,7,none,random_linear,92,114,0.6140350877192983,0.6157407407407407,0.6062182152038698,0.8900386942772001,0.008333333333333415
