epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4151667284587073,1.4151667284587073,0.0,0.2493493463117622,0.2493493463117622,0.0,0.0,6.45769549087854e-06
2.0,1.4103001670231894,1.4103001670231894,0.0,0.25823519371906467,0.25823519371906467,0.0,0.0,1.6733570872048158e-05
3.0,1.4149463272094727,1.4149463272094727,0.0,0.25344961236022995,0.25344961236022995,0.0,0.0,3.301973581024263e-05
4.0,1.332348605337597,1.332348605337597,0.0,0.40087252448853705,0.40087252448853705,0.0,0.0,5.883156775208591e-05
5.0,1.1891283575693767,1.1891283575693767,0.0,0.3859641587951704,0.3859641587951704,0.0,0.0,9.974056448166367e-05
6.0,1.1585535260609219,1.1585535260609219,0.0,0.46581020011964425,0.46581020011964425,0.0,0.0,9.974056448166367e-05
7.0,1.0666285558730837,1.0666285558730837,0.0,0.45860008332986396,0.45860008332986396,0.0,0.0,9.974056448166367e-05
8.0,0.9893718557509165,0.9893718557509165,0.0,0.5149634609770503,0.5149634609770503,0.0,0.0,9.974056448166367e-05
9.0,0.8860670672901093,0.8860670672901093,0.0,0.5387574453460304,0.5387574453460304,0.0,0.0,9.974056448166367e-05
10.0,0.8281632559640068,0.8281632559640068,0.0,0.5388052267799812,0.5388052267799812,0.0,0.0,9.974056448166367e-05
11.0,0.7818083163670131,0.7818083163670131,0.0,0.5382958975887159,0.5382958975887159,0.0,0.0,9.974056448166367e-05
12.0,0.7305700178373428,0.7305700178373428,0.0,0.5232566769383803,0.5232566769383803,0.0,0.0,9.974056448166367e-05
13.0,0.6950524982195052,0.6950524982195052,0.0,0.5594972475095404,0.5594972475095404,0.0,0.0,9.974056448166367e-05
14.0,0.6735570934272948,0.6735570934272948,0.0,0.5507597629090235,0.5507597629090235,0.0,0.0,9.974056448166367e-05
15.0,0.6227068253547426,0.6227068253547426,0.0,0.5491593117344289,0.5491593117344289,0.0,0.0,9.974056448166367e-05
16.0,0.5803298971009633,0.5803298971009633,0.0,0.535398136681406,0.535398136681406,0.0,0.0,9.974056448166367e-05
17.0,0.5550138224874224,0.5550138224874224,0.0,0.5474015835885309,0.5474015835885309,0.0,0.0,9.974056448166367e-05
18.0,0.527160127787363,0.527160127787363,0.0,0.5565451685815328,0.5565451685815328,0.0,0.0,9.974056448166367e-05
19.0,0.495047973413316,0.495047973413316,0.0,0.558745709002008,0.558745709002008,0.0,0.0,4.9870282240831836e-05
