montage,car_view,n_subjects,n_trials,oof_accuracy,oof_balanced_accuracy,soft_confusion_condition_number,source_prior,soft_confusion
native16,native16@car,5,450,0.4288888888888889,0.42886773072060685,37.61214287868806,"[0.2511111111111111, 0.24888888888888888, 0.24888888888888888, 0.2511111111111111]","[[0.3867818819576067, 0.1430935474700752, 0.255931491709365, 0.24130217717025834], [0.13454119626827166, 0.3690175796082233, 0.22700604618227094, 0.24149526324132328], [0.25179333472848564, 0.24795074323018665, 0.2755802274187946, 0.24680348019943754], [0.2268835870456359, 0.23993812969151493, 0.24148223468956934, 0.27039907938898095]]"
native32,native32@car,5,450,0.4888888888888889,0.4887010113780026,14.93366472418162,"[0.2511111111111111, 0.24888888888888888, 0.24888888888888888, 0.2511111111111111]","[[0.4433894889366661, 0.10882821313463968, 0.22740631555882826, 0.1958510289387272], [0.12093563130544614, 0.3968763879846905, 0.22850728932246048, 0.2518817458802261], [0.25064739254340407, 0.24936063068476602, 0.3124762238711605, 0.23672157860765689], [0.1850274872144837, 0.24493476819590376, 0.23161017124755062, 0.3155456465733899]]"
