condition,batch_size,n_rows,n_target_views,n_repeats,mean_soft_prior_rmse,mean_weak_confusion_prior_rmse,mean_regularized_confusion_prior_rmse,mean_uniform_bias_rmse,mean_fixed_shrinkage_bias_rmse,mean_soft_mean_shrinkage_bias_rmse,mean_weak_confusion_shrinkage_bias_rmse,mean_candidate_bias_rmse
balanced,32,960,48,20,0.12322380400134358,0.14439411553857984,0.023526767220505777,0.3473787519488359,0.20000342064671123,0.4346442912260925,0.905332727481538,0.20298763472247625
balanced,128,960,48,20,0.12109119030732103,0.14307860467711137,0.023341268310396915,0.2871709541732844,0.22673458428505439,0.6612767903172195,1.4436154543611612,0.23429562437671334
random,16,960,48,20,0.14464476067400078,0.16170770306990254,0.08441648845285529,0.4884482367276501,0.18439518435945393,0.2527726491106158,0.49830751294348385,0.17844785517526235
random,32,960,48,20,0.14500240323254987,0.16579755389118997,0.07687356573773212,0.3246478323193101,0.1889309444361271,0.42452435472206645,0.9014097622991746,0.18597887547214192
random,64,960,48,20,0.12520858168900698,0.14495208817043745,0.05520008257069274,0.3132228683504947,0.2017338765398869,0.5096354881747587,1.0604473435408406,0.21117857560313272
random,128,960,48,20,0.12235310611185699,0.1430359331114395,0.03222704829080748,0.30122320280690984,0.23680374333439966,0.6603887046046392,1.459869753928759,0.23289427193015907
random,256,960,48,20,0.11880787373214326,0.13929258272245384,0.02683190360825301,0.25475240235082536,0.23227645869539085,0.8017653196732123,1.7063445314375132,0.2562544721672422
random,450,48,48,1,0.11962729185325839,0.14031729020988784,0.022244430041085853,0.2569599047970192,0.2567021663831278,0.8756421966070264,1.8819577944324186,0.27443464972557735
skew_0.4_class_0,128,960,48,20,0.17684955446583078,0.1970645570429373,0.10231023103181816,0.270213372198365,0.2126931573648178,0.6998547423417893,1.3582336726108082,0.2658658121973044
skew_0.4_class_1,128,960,48,20,0.09054517332718247,0.09650325504141538,0.06765835988564192,0.2575681663319141,0.20499073858801362,0.6565338296484001,1.5120471945253064,0.1874274104776651
skew_0.4_class_2,128,960,48,20,0.10543151798314075,0.1507860413947629,0.08670212230213142,0.30048336159754396,0.23636489333323293,0.6619560429472515,1.3885530015780234,0.24590042331234477
skew_0.4_class_3,128,960,48,20,0.17657222936210368,0.18258539508592164,0.09044454505638075,0.2827539835621634,0.22368678179558357,0.6635349780987938,1.471145554668343,0.22589328691392238
skew_0.7_class_0,128,960,48,20,0.3263565468800137,0.34228861157124335,0.2700594778016334,0.37730444615220443,0.2918904657582587,0.7227000039439475,1.2447598146860313,0.35338108043845096
skew_0.7_class_1,128,960,48,20,0.17264646065746578,0.14108649914985658,0.23351857625046554,0.4161221054706832,0.3208744563378306,0.6175203133754171,1.8830608627739442,0.20721920015967227
skew_0.7_class_2,128,960,48,20,0.21155001101610033,0.26549173358567396,0.25522819153372894,0.3106913009904593,0.2447159197743183,0.6582505124099733,1.3274005975369476,0.2677438620554608
skew_0.7_class_3,128,960,48,20,0.3252268226242388,0.3169420822817179,0.2592134258046132,0.3177421830556601,0.24958119274529444,0.6634579739413492,1.4689360051342402,0.24633578708886156
