condition,batch_size,method,n_rows,n_target_views,n_repeats,mean_target_bias_rmse,p90_target_bias_rmse,worst_target_bias_rmse,mean_balanced_accuracy,worst_balanced_accuracy,mean_max_class_recall_gap,worst_class_recall_gap,mean_class_recall_gap,mean_nll,mean_ece_15
balanced,32,fixed_topology_shrinkage,960,48,20,0.20000342064671123,0.3491498435479108,0.6477318082076343,0.43148207456291693,0.37367149758454105,0.10071593915343917,0.25238095238095243,0.05209212172187717,1.3981814435734257,0.17122061827744942
balanced,32,identity,48,48,1,0.9511940099301174,1.1549812609193468,1.363744497435638,0.3975457211870255,0.2846100759144238,0.1423496089256959,0.41428571428571426,0.07865122498274672,1.5855172881708208,0.2789890748660009
balanced,32,operator_confusion_shrinkage,960,48,20,0.20298763472247625,0.31691033965040016,0.6812137734188869,0.4308815167069243,0.3739475500345065,0.10106438348286176,0.24761904761904763,0.05194737390729239,1.4060827323917722,0.170769398610692
balanced,32,oracle,48,48,1,0.0,0.0,0.0,0.434997196342305,0.372463768115942,0.06402547734069473,0.14009661835748793,0.03302025822406257,1.4141120870551,0.1713218331092331
balanced,32,topology_ridge,48,48,1,0.17612031450836826,0.31090467119091986,0.8061138274808127,0.4334900506096158,0.37493098688750864,0.09917040487692663,0.2560386473429952,0.05462315965033357,1.426959507111217,0.1767712123047089
balanced,32,uniform_prior_match,960,48,20,0.3473787519488359,0.6121844693477985,1.2565273492350015,0.42405610190936277,0.34420289855072467,0.15920634920634924,0.3952380952380953,0.08821637048539223,1.396593835099456,0.17610403950430734
balanced,128,fixed_topology_shrinkage,960,48,20,0.22673458428505439,0.36346963113733566,0.5982623831772266,0.42904887709914885,0.3700138026224983,0.11291105935127677,0.2463768115942029,0.058665243271221544,1.3864347528654508,0.16975598888545607
balanced,128,identity,48,48,1,0.9511940099301174,1.1549812609193468,1.363744497435638,0.3975457211870255,0.2846100759144238,0.1423496089256959,0.41428571428571426,0.07865122498274672,1.5855172881708208,0.2789890748660009
balanced,128,operator_confusion_shrinkage,960,48,20,0.23429562437671334,0.3355255328238065,0.4888611385895864,0.42812624007936506,0.37382677708764667,0.1161136272141707,0.25120772946859904,0.060755064556015655,1.3998208332604982,0.17021797209996378
balanced,128,oracle,48,48,1,0.0,0.0,0.0,0.434997196342305,0.372463768115942,0.06402547734069473,0.14009661835748793,0.03302025822406257,1.4141120870551,0.1713218331092331
