held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
c1,16,0.17672576194874715,0.0498456399702899,0.21999969787935428,0.7800003021206457,46,20,False
c1,32,0.0582730736540727,0.0498456399702899,0.46102694250940557,0.5389730574905944,46,20,False
c1,64,0.03903219965107108,0.0498456399702899,0.5608331636169739,0.4391668363830261,46,20,False
c1,128,0.016429479686591645,0.0498456399702899,0.7521018479989161,0.2478981520010839,46,20,False
c1,256,0.005425786521257284,0.0498456399702899,0.901833788891136,0.09816621110886403,46,20,False
c1,450,5.242205805561751e-05,0.0498456399702899,0.9989494169527898,0.001050583047210174,46,1,False
c2,16,0.17629042951162166,0.04855133406452383,0.2159355686074812,0.7840644313925188,46,20,False
c2,32,0.05771486220028119,0.04855133406452383,0.4568840870481393,0.5431159129518607,46,20,False
c2,64,0.039158894052686695,0.04855133406452383,0.5535424443275058,0.44645755567249423,46,20,False
c2,128,0.016295744796514973,0.04855133406452383,0.7487050290818,0.25129497091819997,46,20,False
c2,256,0.005452150527026398,0.04855133406452383,0.8990407643457978,0.10095923565420217,46,20,False
c2,450,5.2506050560880856e-05,0.04855133406452383,0.9989197139477753,0.001080286052224655,46,1,False
c3,16,0.17721938791479833,0.05226618682282072,0.2277536916321601,0.7722463083678399,46,20,False
c3,32,0.05807191147374203,0.05226618682282072,0.47369120575507434,0.5263087942449256,46,20,False
c3,64,0.0392811452700681,0.05226618682282072,0.5709198250560558,0.42908017494394424,46,20,False
c3,128,0.016481566752456173,0.05226618682282072,0.7602602864047142,0.23973971359528579,46,20,False
c3,256,0.005416566184657097,0.05226618682282072,0.9060973011472786,0.0939026988527214,46,20,False
c3,450,5.240712283903075e-05,0.05226618682282072,0.9989983078885213,0.0010016921114787136,46,1,False
c4,16,0.17635487690834,0.052670207691108355,0.22997571546900858,0.7700242845309915,46,20,False
c4,32,0.057812852448189775,0.052670207691108355,0.4767265463565296,0.5232734536434704,46,20,False
c4,64,0.03901201282281191,0.052670207691108355,0.5744866059729798,0.42551339402702015,46,20,False
c4,128,0.016377099444293153,0.052670207691108355,0.7628133503863123,0.23718664961368774,46,20,False
c4,256,0.005472151777943514,0.052670207691108355,0.9058835618658331,0.09411643813416692,46,20,False
c4,450,5.247403977757421e-05,0.052670207691108355,0.9990047160338805,0.0009952839661194757,46,1,False
c5,16,0.17557421173567245,0.051898011504344414,0.22815098373388792,0.771849016266112,47,20,False
c5,32,0.05787540448959619,0.051898011504344414,0.47277395018124546,0.5272260498187545,47,20,False
c5,64,0.038535977671688086,0.051898011504344414,0.5738772775280693,0.4261227224719307,47,20,False
c5,128,0.01637933879953517,0.051898011504344414,0.7601058224047033,0.23989417759529674,47,20,False
c5,256,0.0053695175717797805,0.051898011504344414,0.906238008546829,0.09376199145317099,47,20,False
c5,450,5.2055769688075525e-05,0.051898011504344414,0.9989979653074657,0.0010020346925343482,47,1,False
c6,16,0.1758023522225157,0.05178720538185639,0.22754649170626773,0.7724535082937323,47,20,False
c6,32,0.05759637495584102,0.05178720538185639,0.4734458793721594,0.5265541206278406,47,20,False
c6,64,0.038943379021563466,0.05178720538185639,0.5707800266290846,0.42921997337091544,47,20,False
c6,128,0.016182047553468783,0.05178720538185639,0.7619210620298196,0.23807893797018043,47,20,False
c6,256,0.0054299805770902316,0.05178720538185639,0.9050987830651748,0.09490121693482523,47,20,False
c6,450,5.217549215099696e-05,0.05178720538185639,0.9989935162945367,0.0010064837054633013,47,1,False
cp1,16,0.177155979602174,0.05199259782298686,0.22689470040444595,0.7731052995955541,46,20,False
