condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,topology_bias,uniform_bias,fixed_bias,candidate_bias,oracle_bias_audit_only,candidate_prior_displacement_from_nominal,candidate_update_norm_from_topology,target_reference_labels_used_for_candidate
random,16,0,native16@C1,native16,c1,False,"[0.25, 0.25, 0.125, 0.375]","[0.06543261861016146, 0.5343927670720892, 0.2972737109559656, 0.10290090336178388]","[0.0, 0.6040539352265092, 0.20263072291972611, 0.19331534185376478]","[0.19894537482234675, 0.305761646419762, 0.24698530466239374, 0.24830767409549756]",0.2338057495624811,0.2381648762916831,0.09571741738072401,0.7132076925864507,0.3900166413401875,0.1854228095643683,0.3314094274186508,0.3374633131119847,0.21999969787935428,"[-0.6304709070741437, 0.8810297099979238, 0.8452561434701237]","[-0.17119078163115325, 0.2696528638913804, 0.7231133054309242]","[-0.5294294182346938, 0.7465269885640519, 0.8183847560033729]","[-0.6003429475874646, 0.8165525104097132, 0.8150015882654522]","[-1.1495219319301038, 1.0106999832967394, 0.8635161738817494]",0.0756828138907299,0.07733266657888783,False
random,16,0,native16@C2,native16,c2,False,"[0.25, 0.25, 0.125, 0.375]","[0.0395567095946253, 0.6240874045357275, 0.2374863512261043, 0.09886953464354281]","[0.0, 0.674891972120532, 0.1541553336730853, 0.1709526942063828]","[0.18689770798687302, 0.3197265438104598, 0.24443547284965528, 0.2489402753530118]",0.26130871484656515,0.26716966727891184,0.09874155219809584,0.4744970960883228,0.1384951222338553,0.43453457638495274,0.8162337020748214,0.1959331410222313,0.2159355686074812,"[-0.5545566342608417, 0.902460923728115, 0.8808909093232263]","[0.426286337773405, 0.05569268865991718, 0.9747547493043501]","[-0.34275774937997483, 0.7196135434099105, 0.901159450981232]","[-0.42401859764206895, 0.7948121182964926, 0.8967756030332121]","[-0.23552997487404082, 0.5408771678401523, 1.0198953304381277]",0.09421134298902799,0.1699434253197205,False
random,16,0,native16@C3,native16,c3,False,"[0.25, 0.25, 0.125, 0.375]","[0.048304937902295446, 0.5800036632406288, 0.26061330979758696, 0.11107808905948875]","[0.0, 0.6409498861258837, 0.1750345758813955, 0.1840155379927209]","[0.192175984788569, 0.31328202403077643, 0.24553600278708296, 0.24900598839357158]",0.24373605636814316,0.25215091561091063,0.09714891948597788,0.6383227022879451,0.19140295438654434,0.1735624765607395,0.6062885607144496,0.12368665808395644,0.2277536916321601,"[-0.6885326589432339, 0.9850213719342853, 0.7919061144577441]","[0.22429114298588626, 0.49477500975766664, 0.5659307907980698]","[-0.4806336682441731, 0.8733659531393234, 0.740439400276481]","[-0.5688216356525019, 0.9593359618390767, 0.7357553442799589]","[-0.6765582958467083, 1.128675530977995, 0.6608414567958868]",0.08584373378875254,0.13469735847681527,False
random,16,0,native16@C4,native16,c4,False,"[0.25, 0.25, 0.125, 0.375]","[0.058987618924966304, 0.5444053869872877, 0.2695398874105888, 0.127067106677157]","[0.0, 0.612096815414593, 0.19052169154953316, 0.19738149303587388]","[0.19681605441371716, 0.3077314705087926, 0.24620547993256242, 0.24924699514492787]",0.22667309073597072,0.239507583289688,0.09574189437100519,0.4082616420069627,0.07165105467646876,0.20868227258223862,0.6739127389985949,0.04848990078845748,0.22997571546900858,"[-0.2439743681655866, 0.8943690151944235, 0.8652600366465201]","[0.43293654410541244, 0.48493165816034256, 0.9093021977627206]","[-0.0883012968072843, 0.8002083660707708, 0.8753886641600196]","[-0.15739065730056218, 0.8656366570821081, 0.869175998622518]","[-0.16520844452750139, 0.8596078481178155, 0.952580717318583]",0.07859020393208199,0.09131058070152628,False
random,16,0,native16@CP1,native16,cp1,False,"[0.25, 0.25, 0.125, 0.375]","[0.037614856485010985, 0.6014422777395941, 0.25937233479100286, 0.10157053098439202]","[0.0, 0.659717981557039, 0.16539709371572817, 0.17488492472723297]","[0.1888382749664422, 0.31704923518469047, 0.24522062423684193, 0.24889186561202542]",0.2556553943553799,0.26079052558676125,0.09822501794176963,0.7136051663492075,0.16074881464266288,0.1939227628046995,0.600375756208846,0.08800181952672259,0.22689470040444595,"[-0.6383728364825503, 0.8031548274859738, 0.9376663745558512]","[0.3876581103617358, 0.10316986522066048, 0.7930743865729555]","[-0.405571852192626, 0.6443319491851681, 0.9048592187615888]","[-0.49288641135176425, 0.7344480346385026, 0.8932827406569872]","[-0.5970996680261271, 0.8449691231781365, 0.8807269913213513]",0.09088689092734849,0.16690365555849732,False
random,16,0,native16@CP2,native16,cp2,False,"[0.25, 0.25, 0.125, 0.375]","[0.05536692485439334, 0.5513802911784287, 0.2760902147823761, 0.11716256918480185]","[0.0, 0.6185352366617951, 0.18916570771896501, 0.1922990556192399]","[0.1958038199914928, 0.3089556962450533, 0.24626388332208027, 0.24897660044137346]",0.2334633309450311,0.24280398152937205,0.0961766950486419,0.5044074633607649,0.12471814509004096,0.1819618444115517,0.6098360109569508,0.07873366561207389,0.22820837284976586,"[-0.593092450162666, 0.8087559388523226, 0.9794591037032294]","[0.14311600983404568, 0.38785395027643166, 0.8639315535493706]","[-0.42508351542858447, 0.7127025809101878, 0.9530947494632975]","[-0.49872465653325393, 0.785165556267164, 0.9444135466262381]","[-0.6240568259663625, 0.7837252329089184, 0.9981419662564102]",0.08017484619094156,0.10339234834277684,False
random,16,0,native16@CP3,native16,cp3,False,"[0.25, 0.25, 0.125, 0.375]","[0.05169736821631353, 0.5724327886966929, 0.27296861647495096, 0.1029012266120426]","[0.0, 0.6349311460500192, 0.18144218524332753, 0.18362666870665317]","[0.1934614817582109, 0.31196332175345287, 0.24592303300102786, 0.24865216348730843]",0.2445502458288504,0.25024061391225866,0.09698223160623877,0.43368913229703593,0.06571033194208432,0.3047153733069798,0.7288248709731732,0.07520491281529203,0.22616093769959084,"[-0.5380990014854283, 0.8877688233680857, 0.8767905073622776]","[0.21260197050537175, 0.3397028945962688, 0.7094503055855657]","[-0.36831976572799474, 0.7638177189958544, 0.8389446904136176]","[-0.4506377593092643, 0.8447328663775653, 0.8323535310316078]","[-0.3788594148310443, 0.8022060734153004, 0.7323201472091175]",0.0839910448254735,0.10712706167210992,False
random,16,0,native16@CP4,native16,cp4,False,"[0.25, 0.25, 0.125, 0.375]","[0.07510460750755446, 0.509076908111965, 0.29373358751095624, 0.1220848968695241]","[0.0, 0.5825265495607072, 0.21172826005866802, 0.2057451903806249]","[0.20240387583039696, 0.30162550759677936, 0.2472360187838406, 0.24873459778898313]",0.21802884876648718,0.22871537324524355,0.09462449491837022,0.4120946189550093,0.21416792285392436,0.08365569769807556,0.49159491544415646,0.1700451502409263,0.22329233475547622,"[-0.3514460004754161, 0.8391611622556236, 0.9463207705405895]","[-0.020784122468830282, 0.5058060642672624, 1.0169329947947054]","[-0.2776117377206951, 0.7647255241231619, 0.9620879389565683]","[-0.3404213216805266, 0.8253969503008493, 0.9577071650947508]","[-0.6050828330182755, 0.9142986083841746, 1.051498630419863]",0.07028388795102562,0.020991594846735104,False
random,16,0,native16@CPz,native16,cpz,False,"[0.25, 0.25, 0.125, 0.375]","[0.04851998982918308, 0.569504144327076, 0.26463540870072855, 0.11734045714301235]","[0.0, 0.6333383709128961, 0.17900410052525006, 0.18765752856185391]","[0.1931501259039879, 0.3119410249058713, 0.24576009951751146, 0.2491487496726293]",0.23904161778281455,0.24872773824618305,0.09681185050855602,0.5911287825427004,0.15304090612124044,0.16112152466919924,0.5862861759073774,0.09864148527811904,0.2301276240609233,"[-0.6396113054893109, 0.7752688755019268, 0.9408085324782918]","[0.20106594112399917, 0.25416240307894855, 0.878831013662278]","[-0.44614824812411097, 0.6553478811204578, 0.9265457933279714]","[-0.5238170730030561, 0.7326066639854872, 0.9173560385565306]","[-0.6643752827082287, 0.7883673118956139, 0.9968831891576917]",0.08418610416418763,0.1256120537197943,False
random,16,0,native16@Cz,native16,cz,False,"[0.25, 0.25, 0.125, 0.375]","[0.06447656432977117, 0.5421792410892177, 0.29972372308396145, 0.09362047149704981]","[0.0, 0.6101543882849781, 0.2008523812865967, 0.1889932304284252]","[0.1981840921218929, 0.3068248734081775, 0.24694359883067052, 0.24804743563925916]",0.23952581936777717,0.24112407878218373,0.09604835948707223,0.5547866426612427,0.22336536802890924,0.13836643029781262,0.5613799111303327,0.17501097860105783,0.22812697461949702,"[-0.5673220498097393, 0.8259274213249487, 0.842711099647134]","[-0.11315854632537492, 0.15533200381705606, 0.7696469704991418]","[-0.4637151037772599, 0.6729465175351746, 0.8260432009113943]","[-0.5401478489584162, 0.7461911966743588, 0.8215180107213184]","[-0.8085910512988256, 0.7921422118795386, 0.9546092546539644]",0.07698771747998893,0.08686454818655831,False
random,16,0,native16@FC1,native16,fc1,False,"[0.25, 0.25, 0.125, 0.375]","[0.05742544440414335, 0.5569826195212202, 0.282755454614462, 0.10283648146017456]","[0.0, 0.6223438668175971, 0.19007477959479635, 0.1875813535876066]","[0.1957086814515584, 0.3094294371804728, 0.24635279772904228, 0.24850908363892654]",0.23993908207899636,0.24520421648038884,0.09644410131242612,0.7253820424659096,0.35919058706331236,0.18203114629100992,0.3878071815961824,0.3064936342967002,0.22337409656889953,"[-0.7051227797190276, 0.9667558102470218, 0.8638827285990747]","[-0.10693918117083204, 0.32582258137432124, 0.81310974588673]","[-0.5715040588109911, 0.8235879292865946, 0.8525413594555963]","[-0.6491810249012374, 0.9003782351777899, 0.8446530380650531]","[-1.1660646594436788, 0.9927097814207392, 0.9228913758783037]",0.08059112971858079,0.08891143572229339,False
