probe_seed,reference_seed,defense,test_view,subject_id,n_trials,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,balanced_accuracy_gap_from_car
7,7,none,car,90,90,0.6444444444444445,0.6467391304347826,0.6540545203588681,0.8995194192950615,0.0
7,7,none,car,91,90,0.5666666666666667,0.5711462450592886,0.5763056419576184,0.8497896835862538,0.0
7,7,none,car,92,114,0.6929824561403509,0.6953703703703704,0.6917251130963173,0.8964293316304811,0.0
7,7,none,car,93,90,0.5888888888888889,0.5889328063241107,0.5840897787346123,0.893278897306076,0.0
7,7,none,car,94,90,0.6444444444444445,0.6482213438735178,0.64510854622264,0.9118564495587628,0.0
7,7,none,car,95,90,0.5666666666666667,0.5652173913043478,0.5637395739686345,0.8752002961824219,0.0
7,7,none,car,96,90,0.5888888888888889,0.5976555147750799,0.6066942925495558,0.915676525905035,0.0
7,7,none,car,97,90,0.5333333333333333,0.5345849802371542,0.5421717171717172,0.7704932166070368,0.0
7,7,none,car,98,90,0.5444444444444444,0.5472367306606437,0.5426406926406926,0.7926237466207453,0.0
7,7,none,car,99,90,0.3333333333333333,0.337397656691135,0.3254494547597996,0.6205061520901598,0.0
7,7,none,car,100,72,0.625,0.625,0.6264724967555155,0.8582818930041152,0.0
7,7,none,car,101,90,0.6888888888888889,0.6876293995859213,0.6654729360306179,0.9667673533633854,0.0
7,7,none,car,102,90,0.5888888888888889,0.5869565217391304,0.598773069354324,0.8693173142656863,0.0
7,7,none,car,103,90,0.45555555555555555,0.45948616600790515,0.44223625579095865,0.8310059791717996,0.0
7,7,none,car,104,87,0.5172413793103449,0.5135987201204593,0.5192099567099567,0.8186971882284382,0.0
7,7,none,car,105,90,0.6888888888888889,0.6835591944287597,0.6974116577775115,0.9185064614896752,0.0
7,7,none,car,106,90,0.4666666666666667,0.4636093073593074,0.44088733372078004,0.7308049732832389,0.0
7,7,none,car,107,90,0.4777777777777778,0.47764916243177113,0.4512748898008816,0.7316726195915606,0.0
7,7,none,car,108,90,0.6888888888888889,0.6862648221343873,0.6912447721769756,0.9109561469564523,0.0
7,7,none,car,109,90,0.4888888888888889,0.4911067193675889,0.49416844845966423,0.723720316691363,0.0
7,7,none,cz,90,90,0.5111111111111111,0.5118577075098814,0.5013105413105413,0.8751491105851815,0.13488142292490124
7,7,none,cz,91,90,0.5222222222222223,0.525691699604743,0.5223983532807062,0.8004990378842824,0.045454545454545525
7,7,none,cz,92,114,0.631578947368421,0.6305555555555555,0.6339820645473415,0.8853106185002737,0.06481481481481488
7,7,none,cz,93,90,0.5666666666666667,0.566699604743083,0.5547999128887318,0.881653043200644,0.022233201581027706
7,7,none,cz,94,90,0.6,0.6022727272727273,0.5954051459293395,0.8895598082014943,0.045948616600790526
7,7,none,cz,95,90,0.5111111111111111,0.5118577075098814,0.4648054648054648,0.8556420842775196,0.05335968379446643
7,7,none,cz,96,90,0.5555555555555556,0.5636410690758517,0.5661453849832616,0.9021049933994402,0.03401444569922829
7,7,none,cz,97,90,0.5,0.5044466403162056,0.48155148423005567,0.7531660243886357,0.03013833992094861
7,7,none,cz,98,90,0.45555555555555555,0.4672266139657444,0.43161269110636197,0.7830812242994458,0.08001011669489932
7,7,none,cz,99,90,0.26666666666666666,0.267186617730096,0.2304097951024488,0.6329757035795656,0.07021103896103897
7,7,none,cz,100,72,0.5416666666666666,0.5416666666666667,0.5304274269791511,0.8521090534979424,0.08333333333333326
7,7,none,cz,101,90,0.6555555555555556,0.6478625541125541,0.5987988520491576,0.9600932195140263,0.039766845473367174
7,7,none,cz,102,90,0.5333333333333333,0.5296442687747036,0.537785243407708,0.8497286295793758,0.05731225296442677
7,7,none,cz,103,90,0.3888888888888889,0.3908102766798419,0.3399810339377568,0.7783791603479926,0.06867588932806323
7,7,none,cz,104,87,0.4367816091954023,0.4343591191417278,0.4173451032644903,0.8000588745493638,0.07923960097873145
7,7,none,cz,105,90,0.6444444444444445,0.6351225766986637,0.6360409663400574,0.9015160793143482,0.048436617730096
7,7,none,cz,106,90,0.3888888888888889,0.3906867588932806,0.34643128196667217,0.7342101598618328,0.0729225484660268
7,7,none,cz,107,90,0.4666666666666667,0.47507293431206477,0.44926491081382386,0.7185257023925335,0.0025762281197063697
7,7,none,cz,108,90,0.6,0.5968379446640316,0.5939244255112246,0.8831338468665739,0.08942687747035571
