held_out_reference,batch_size,prior_match_mse_from_non_target_references,topology_mse_from_nested_non_target_references,prior_match_weight,topology_weight,n_source_views,n_random_resamples,target_reference_labels_used
c1,16,0.2612850546818222,0.06783874329133219,0.2061192284152773,0.7938807715847227,46,20,False
c1,32,0.11177603132046408,0.06783874329133219,0.37769021751107584,0.6223097824889241,46,20,False
c1,64,0.06131036718825239,0.06783874329133219,0.5252745685929899,0.47472543140701007,46,20,False
c1,128,0.02410085449069079,0.06783874329133219,0.7378620847588344,0.2621379152411656,46,20,False
c1,256,0.00881789891455946,0.06783874329133219,0.8849688864420188,0.11503111355798123,46,20,False
c1,512,0.003585416478354662,0.06783874329133219,0.9498010688551867,0.05019893114481333,46,20,False
c1,900,1.253877252944763e-05,0.06783874329133219,0.9998152021281241,0.0001847978718758636,46,1,False
c2,16,0.261525051167767,0.06684876754910306,0.20357520526550046,0.7964247947344996,46,20,False
c2,32,0.11094275215007489,0.06684876754910306,0.37599525366682685,0.6240047463331732,46,20,False
c2,64,0.06128725704061166,0.06684876754910306,0.5217015883171774,0.4782984116828226,46,20,False
c2,128,0.023923979549907694,0.06684876754910306,0.7364409438461467,0.26355905615385333,46,20,False
c2,256,0.008773834851930654,0.06684876754910306,0.8839786707497556,0.11602132925024444,46,20,False
c2,512,0.0035621560849523307,0.06684876754910306,0.9494090419340921,0.050590958065907854,46,20,False
c2,900,1.2548117250876898e-05,0.06684876754910306,0.9998123261990013,0.00018767380099871112,46,1,False
c3,16,0.2633048136345626,0.06220669963019143,0.1911044528234421,0.8088955471765579,46,20,False
c3,32,0.11220046905563227,0.06220669963019143,0.35667513037982,0.64332486962018,46,20,False
c3,64,0.06173225078037674,0.06220669963019143,0.5019140425517684,0.4980859574482316,46,20,False
c3,128,0.024176646017675444,0.06220669963019143,0.720123759547018,0.279876240452982,46,20,False
c3,256,0.00893545443789222,0.06220669963019143,0.8744000015891997,0.12559999841080027,46,20,False
c3,512,0.003596237785605323,0.06220669963019143,0.9453483700449214,0.05465162995507855,46,20,False
c3,900,1.2600782165773393e-05,0.06220669963019143,0.999797477919516,0.00020252208048399112,46,1,False
c4,16,0.2644851515233707,0.06093618858786465,0.18725320400633674,0.8127467959936633,46,20,False
c4,32,0.1118216405927997,0.06093618858786465,0.3527260609656054,0.6472739390343947,46,20,False
c4,64,0.06145681543055108,0.06093618858786465,0.49787313479695255,0.5021268652030475,46,20,False
c4,128,0.02406079066979236,0.06093618858786465,0.716921814399365,0.283078185600635,46,20,False
c4,256,0.008806851767583964,0.06093618858786465,0.8737242924498354,0.1262757075501646,46,20,False
c4,512,0.003558707085380821,0.06093618858786465,0.9448218801157455,0.05517811988425447,46,20,False
c4,900,1.2568171763070097e-05,0.06093618858786465,0.9997937911709562,0.00020620882904376359,46,1,False
